,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[77.04220287079993, 10.667334518150108], [77.01332668467846, 10.522437990073474], [77.23288475915955, 10.479577022075453], [77.26188567286756, 10.624451415542485], [77.04220287079993, 10.667334518150108]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_051224_03_105e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_051224_03_105e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190801_051224_03_105e/thumb,20190801_051224_03_105e,2019-08-01T05:12:24.03101Z,0.0,94,82,0.16,14,9045,32643,True,3.7,0,PS2.SD,PSScene4Band,0,720330,1179936,3,planetscope,2019-09-26T10:29:19Z,finalized,standard,6878,105e,3,0,2566317,70.5,63.4,2019-09-26T10:29:19Z,0.4,81,86
1,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[77.06831426683895, 10.797301420324123], [77.03940238703738, 10.652404283607515], [77.2590667075449, 10.609509758365686], [77.2880764995146, 10.754403440050574], [77.06831426683895, 10.797301420324123]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_051221_99_105e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_051221_99_105e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190801_051221_99_105e/thumb,20190801_051221_99_105e,2019-08-01T05:12:21.995724Z,0.0,96,93,0.14,5,9045,32643,True,3.7,0,PS2.SD,PSScene4Band,0,723093,1194333,3,planetscope,2019-09-26T10:29:19Z,finalized,standard,6878,105e,2,0,2566317,70.7,63.5,2019-09-26T10:29:19Z,0.5,81,95
2,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[77.09415602473838, 10.926704641945689], [77.06526713252595, 10.781856634798286], [77.28501721199069, 10.738990931386372], [77.31397913608482, 10.883854920370657], [77.09415602473838, 10.926704641945689]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_051219_96_105e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_051219_96_105e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190801_051219_96_105e/thumb,20190801_051219_96_105e,2019-08-01T05:12:19.960438Z,0.0,96,94,0.15,5,9042,32643,True,3.7,0,PS2.SD,PSScene4Band,0,725826,1208670,3,planetscope,2019-09-26T10:29:19Z,finalized,standard,6874,105e,1,0,2566317,71.0,63.5,2019-09-26T10:29:19Z,0.4,80,95
3,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[75.04954555696598, 11.938781602091039], [75.08124409280506, 11.781590231965481], [75.32119496302639, 11.82579337228712], [75.29021955997064, 11.983927602984256], [75.04954555696598, 11.938781602091039]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_060528_61_106d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_060528_61_106d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190801_060528_61_106d/thumb,20190801_060528_61_106d,2019-08-01T06:05:28.613858Z,0.0,89,35,0.27,65,9866,32643,False,4.0,0,PS2.SD,PSScene4Band,0,505392,1324794,3,planetscope,2019-09-26T10:11:58Z,finalized,test,7464,106d,0,0,2566002,65.4,73.9,2019-09-26T10:11:58Z,4.0,63,35
4,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[75.0756871167709, 11.80768040181632], [75.10704939188618, 11.651201407153435], [75.34632998902559, 11.695215193624268], [75.31557112131712, 11.852623758591676], [75.0756871167709, 11.80768040181632]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_060526_56_106d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190801_060526_56_106d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190801_060526_56_106d/thumb,20190801_060526_56_106d,2019-08-01T06:05:26.56127Z,0.0,72,20,0.29,77,9833,32643,False,4.0,0,PS2.SD,PSScene4Band,3,508245,1310277,3,planetscope,2019-09-26T10:11:58Z,finalized,test,7431,106d,0,0,2566002,65.0,73.9,2019-09-26T10:11:58Z,4.0,58,23
5,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[76.70214850950282, 11.679422551170514], [76.73230091794137, 11.523993200718278], [76.96879743762683, 11.56942712315724], [76.93819978149196, 11.72461436641022], [76.70214850950282, 11.679422551170514]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190813_055557_13_1062,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190813_055557_13_1062/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190813_055557_13_1062/thumb,20190813_055557_13_1062,2019-08-13T05:55:57.139382Z,0.0,45,14,0.24,36,9721,32643,True,4.0,51,PS2.SD,PSScene4Band,0,685533,1296831,3,planetscope,2019-08-14T04:03:49Z,finalized,standard,7448,1062,0,0,2596443,76.5,74.8,2019-08-14T04:03:49Z,2.0,44,14
6,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[76.91011217474848, 10.630497964973017], [76.94096319574264, 10.47478217667753], [77.17676129927287, 10.520289959230036], [77.14630203949726, 10.675712823069142], [76.91011217474848, 10.630497964973017]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190813_055540_50_1062,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190813_055540_50_1062/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190813_055540_50_1062/thumb,20190813_055540_50_1062,2019-08-13T05:55:40.506346Z,0.0,44,19,0.28,52,9757,32643,True,4.0,29,PS2.SD,PSScene4Band,0,708957,1180941,3,planetscope,2019-08-14T04:03:40Z,finalized,standard,7460,1062,0,0,2596443,72.7,74.7,2019-08-14T04:03:40Z,2.0,48,19
7,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[76.92267227911867, 11.060469995519867], [77.154088864387, 11.015260761315801], [77.13944166207787, 10.941492701901069], [76.9076695279832, 10.986876050275086], [76.9199365267773, 11.049002034804833], [76.92039399192674, 11.048912458110575], [76.92267227911867, 11.060469995519867]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190812_045936_1044,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190812_045936_1044/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190812_045936_1044/thumb,20190812_045936_1044,2019-08-12T04:59:36.660003Z,0.0,79,95,0.05,4,8973,32643,True,3.9,0,PS2,PSScene4Band,0,708444,1223343,3,planetscope,2019-08-13T04:50:57Z,finalized,standard,4335,1044,1,0,2594421,78.7,61.1,2019-08-13T04:50:57Z,1.0,58,96
8,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[76.93585081177754, 11.126752634986918], [77.16762144230798, 11.081474483002658], [77.1529999429515, 11.007703591395495], [76.92121627314285, 11.053083813657727], [76.93350831935174, 11.115440212095788], [76.93361840278766, 11.115418665607397], [76.93585081177754, 11.126752634986918]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190812_045935_1044,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190812_045935_1044/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190812_045935_1044/thumb,20190812_045935_1044,2019-08-12T04:59:35.604612Z,0.0,79,94,0.04,4,8970,32643,True,3.9,0,PS2,PSScene4Band,2,709878,1230687,3,planetscope,2019-08-13T04:50:49Z,finalized,standard,4338,1044,1,0,2594421,78.8,61.1,2019-08-13T04:50:49Z,1.0,58,96
9,assets.analytic_sr:download,76.0842,11.4575,"{'type': 'Polygon', 'coordinates': [[[75.0842, 10.4575], [77.0842, 10.4575], [77.0842, 12.4575], [75.0842, 12.4575], [75.0842, 10.4575]]]}","[[[77.01010012907005, 11.507784438722693], [77.0121603281051, 11.517939080429409], [77.01271872414047, 11.517829834436707], [77.01479399096951, 11.528355266392836], [77.24664563941319, 11.483144275776528], [77.23198325329624, 11.40935681098074], [76.99967827744507, 11.454779841479773], [77.01010012907005, 11.507784438722693]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190812_045929_1044,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190812_045929_1044/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190812_045929_1044/thumb,20190812_045929_1044,2019-08-12T04:59:29.27331Z,0.0,62,57,0.2,4,8978,32643,True,3.9,0,PS2,PSScene4Band,38,718149,1275174,3,planetscope,2019-08-13T04:50:47Z,finalized,standard,4331,1044,0,0,2594421,79.5,61.2,2019-08-13T04:50:47Z,1.0,50,95
