,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[78.08805811229718, 25.68449490181466], [78.04498466211558, 25.49887461782217], [78.38909079804482, 25.434763436653803], [78.43206389297609, 25.620923044429887], [78.08805811229718, 25.68449490181466]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200827_044134_39_2304,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200827_044134_39_2304/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200827_044134_39_2304/thumb,20200827_044134_39_2304,2020-08-27T04:41:34.39561Z,0.0,46,1,0.08,58,13065,32644,False,4.0,39,PSB.SD,PSScene4Band,1,202941,2843967,3,planetscope,2020-08-27T19:46:34Z,finalized,test,9436,2304,0,0,3680955,111.5,56.0,2020-08-28T05:56:19Z,2.0,56,3
1,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[78.12082830203066, 25.82227349119798], [78.07771646831506, 25.638531827879874], [78.42201651041404, 25.5740779271534], [78.46387336068246, 25.758114636508104], [78.12082830203066, 25.82227349119798]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200827_044132_19_2304,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200827_044132_19_2304/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200827_044132_19_2304/thumb,20200827_044132_19_2304,2020-08-27T04:41:32.192278Z,0.0,45,3,0.07,54,13016,32644,True,4.0,33,PSB.SD,PSScene4Band,10,206574,2859165,3,planetscope,2020-08-27T19:46:34Z,finalized,test,9378,2304,0,0,3680955,111.8,55.9,2020-08-28T05:50:17Z,2.0,57,13
2,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[77.9841296221265, 25.622306913724422], [77.73438616287764, 25.667859251249748], [77.75086896417366, 25.740704685796203], [78.00011816373734, 25.69498181024756], [77.99736625854034, 25.682695888502792], [77.99769902437221, 25.68263556664352], [77.9841296221265, 25.622306913724422]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_050654_0f34,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_050654_0f34/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200826_050654_0f34/thumb,20200826_050654_0f34,2020-08-26T05:06:54.338451Z,0.02,83,69,0.22,27,8875,32643,True,3.9,0,PS2,PSScene4Band,0,774480,2849850,3,planetscope,2020-08-27T08:11:04Z,finalized,standard,4206,0f34,4,0,3678552,117.8,61.4,2020-08-27T15:02:23Z,4.0,70,73
3,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[77.74793424134765, 25.7332018673347], [77.76399806093276, 25.80512818191205], [78.01424619503236, 25.75948269544958], [78.0113327217758, 25.746535547789694], [78.01165254847908, 25.74647785738381], [78.01164719204928, 25.74645332888425], [77.99828718790506, 25.68680739136991], [77.74772712722402, 25.73224251674576], [77.74793424134765, 25.7332018673347]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_050653_0f34,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_050653_0f34/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200826_050653_0f34/thumb,20200826_050653_0f34,2020-08-26T05:06:53.311895Z,0.05,82,62,0.25,31,8896,32643,True,3.9,0,PS2,PSScene4Band,0,775671,2857017,3,planetscope,2020-08-27T08:11:03Z,finalized,standard,4201,0f34,7,0,3678552,117.9,61.4,2020-08-27T15:01:28Z,4.0,72,69
4,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[76.9032661786971, 24.334669944792], [76.91493699485137, 24.280632367815127], [76.69146402713261, 24.241138324702437], [76.67957994386515, 24.295168785298277], [76.68012165325143, 24.295264446745136], [76.67744611286024, 24.307807653726314], [76.90053888034944, 24.346821627124218], [76.90302896237263, 24.334628054329343], [76.9032661786971, 24.334669944792]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031152_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031152_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031152_104a/thumb,20200826_031152_104a,2020-08-26T03:11:52.738514Z,0.0,69,69,0.14,18,8050,32643,False,3.5,1,PS2,PSScene4Band,9,670221,2693946,3,planetscope,2020-08-27T07:12:15Z,finalized,test,3994,104a,4,0,3678391,94.8,35.7,2020-08-27T15:18:28Z,5.0,56,81
5,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[76.69488584881844, 24.223601489169482], [76.69210692218249, 24.23666143479808], [76.6924359278057, 24.236719621144115], [76.68973091727149, 24.24901783227166], [76.91313127262184, 24.28815964674191], [76.923691057251, 24.23879884174596], [76.92718484478267, 24.2220675847607], [76.70392654650426, 24.182522414469926], [76.69488584881844, 24.223601489169482]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031151_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031151_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031151_104a/thumb,20200826_031151_104a,2020-08-26T03:11:51.827825Z,0.0,74,76,0.1,15,8052,32643,False,3.5,1,PS2,PSScene4Band,3,671547,2687466,3,planetscope,2020-08-27T07:12:15Z,finalized,test,3993,104a,5,0,3678391,94.8,35.8,2020-08-27T15:17:49Z,5.0,59,84
6,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[76.70659516803227, 24.1690658339504], [76.70467619808818, 24.17807404165188], [76.70489693486961, 24.178113168908066], [76.70219742925627, 24.190379168347043], [76.92538077461741, 24.22961165405404], [76.93616533018765, 24.179416522770484], [76.9394558349985, 24.163616725068717], [76.71644533255522, 24.124003810969423], [76.70659516803227, 24.1690658339504]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031150_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031150_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031150_104a/thumb,20200826_031150_104a,2020-08-26T03:11:50.917661Z,0.0,75,77,0.05,9,8050,32643,False,3.5,0,PS2,PSScene4Band,12,672891,2680998,3,planetscope,2020-08-27T07:12:15Z,finalized,test,3992,104a,3,0,3678391,94.7,35.8,2020-08-27T15:18:31Z,5.0,63,91
7,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[76.95166978648196, 24.105260559170873], [76.7288984738797, 24.065581326083787], [76.71715394691029, 24.11955703338954], [76.71740750762739, 24.119602102235245], [76.71472728821391, 24.131863431325023], [76.93758986022458, 24.17115703900857], [76.95072806365499, 24.10980255055551], [76.95166978648196, 24.105260559170873]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031150_1_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031150_1_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031150_1_104a/thumb,20200826_031150_1_104a,2020-08-26T03:11:50.007498Z,0.0,77,67,0.07,17,8043,32643,False,3.5,0,PS2,PSScene4Band,14,674244,2674542,3,planetscope,2020-08-27T05:10:49Z,finalized,test,3991,104a,2,0,3678391,94.7,35.8,2020-08-27T15:18:33Z,5.0,59,83
8,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[76.7271896065228, 24.07343496927611], [76.94925713824837, 24.112696835459847], [76.96340913147375, 24.04687482338691], [76.74126392357026, 24.007216245027795], [76.72949224112357, 24.061119101019813], [76.7298553240056, 24.061183817144922], [76.7271896065228, 24.07343496927611]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031149_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031149_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031149_104a/thumb,20200826_031149_104a,2020-08-26T03:11:49.096809Z,0.0,82,83,0.05,8,8022,32643,True,3.5,1,PS2,PSScene4Band,7,675591,2668083,3,planetscope,2020-08-27T05:10:48Z,finalized,standard,3988,104a,1,0,3678391,94.6,35.8,2020-08-27T15:17:59Z,5.0,60,91
9,assets.analytic_sr:download,77.4698,24.7095,"{'type': 'Polygon', 'coordinates': [[[76.4698, 23.7095], [78.4698, 23.7095], [78.4698, 25.7095], [76.4698, 25.7095], [76.4698, 23.7095]]]}","[[[76.73957713792217, 24.014906934366508], [76.9613208020398, 24.054196461746166], [76.97547948787984, 23.988393023540276], [76.75323020886117, 23.94866587217818], [76.74143277019877, 24.002672785473145], [76.74222231917155, 24.00281390196717], [76.73957713792217, 24.014906934366508]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031148_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031148_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200826_031148_104a/thumb,20200826_031148_104a,2020-08-26T03:11:48.186645Z,0.0,85,98,0.02,2,8014,32643,True,3.5,0,PS2,PSScene4Band,0,676932,2661621,3,planetscope,2020-08-27T05:10:48Z,finalized,standard,3990,104a,0,0,3678391,94.6,35.8,2020-08-27T15:18:25Z,5.0,62,98
