,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[79.77755337086998, 26.57353868759714], [80.02528555650942, 26.528683436050226], [80.00942539779336, 26.45649880563198], [79.76087066585804, 26.501157924371697], [79.7739846495007, 26.561372615777923], [79.7748703162312, 26.56121359128119], [79.77755337086998, 26.57353868759714]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200712_045632_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200712_045632_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200712_045632_1003/thumb,20200712_045632_1003,2020-07-12T04:56:32.927797Z,0.0,81,72,0.24,19,8792,32644,True,3.8,0,PS2,PSScene4Band,0,376515,2939784,3,planetscope,2020-08-17T04:00:47Z,finalized,standard,4388,1003,9,0,3563234,94.6,65.0,2020-08-17T10:09:44Z,5.0,70,81
1,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[79.79214597407268, 26.637718764775844], [80.04032322125288, 26.59280047509478], [80.0244437384406, 26.520613282033146], [79.77576856070216, 26.565290898883273], [79.78886179479751, 26.625446479839166], [79.78945015866454, 26.62534093526957], [79.79214597407268, 26.637718764775844]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200712_045631_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200712_045631_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200712_045631_1003/thumb,20200712_045631_1003,2020-07-12T04:56:31.913299Z,0.0,74,83,0.23,10,8793,32644,True,3.8,0,PS2,PSScene4Band,2,378066,2946879,3,planetscope,2020-08-17T02:59:31Z,finalized,standard,4390,1003,5,0,3563234,94.7,65.0,2020-08-17T10:10:14Z,5.0,58,90
2,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[80.70845350745998, 28.1271941232935], [80.72409272412855, 28.195184460188187], [80.97429196140536, 28.150412357404186], [80.9714915682676, 28.138463412141913], [80.97168635831022, 28.138428758761936], [80.97082484619729, 28.134644195352536], [80.95786291336654, 28.079323582461434], [80.70771915349539, 28.123897767884184], [80.70845350745998, 28.1271941232935]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200716_045429_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200716_045429_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200716_045429_1003/thumb,20200716_045429_1003,2020-07-16T04:54:29.819534Z,0.0,80,71,0.23,25,8728,32644,True,3.8,0,PS2,PSScene4Band,0,471294,3118857,3,planetscope,2020-08-15T12:41:10Z,finalized,standard,4289,1003,4,0,3574397,99.6,64.8,2020-08-15T19:16:45Z,3.0,70,75
3,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[80.95039335825933, 27.694459839990305], [80.91663846220597, 27.54456217928325], [81.16927178590825, 27.49958271620928], [81.20316678317123, 27.64873375021223], [80.95039335825933, 27.694459839990305]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052259_28_105d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052259_28_105d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052259_28_105d/thumb,20200717_052259_28_105d,2020-07-17T05:22:59.287692Z,0.0,56,46,0.28,50,9424,32644,True,3.9,0,PS2.SD,PSScene4Band,3,491769,3063360,3,planetscope,2020-07-25T01:23:17Z,finalized,standard,7193,105d,1,0,3581471,105.7,71.3,2020-07-25T07:04:16Z,5.0,54,50
4,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[80.97900623621199, 27.821755726014118], [80.9449008044559, 27.672057126750374], [81.19777065100455, 27.62688449807661], [81.231821591045, 27.775872525894123], [80.97900623621199, 27.821755726014118]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052257_27_105d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052257_27_105d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052257_27_105d/thumb,20200717_052257_27_105d,2020-07-17T05:22:57.272329Z,0.0,62,48,0.25,51,9426,32644,True,3.9,0,PS2.SD,PSScene4Band,1,494565,3077460,3,planetscope,2020-07-25T01:23:17Z,finalized,standard,7191,105d,0,0,3581471,106.1,71.3,2020-07-25T07:04:33Z,5.0,54,49
5,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[81.00780169569494, 27.94961803038543], [80.97422131408143, 27.800064489691508], [81.22714829336552, 27.75462836857497], [81.2613703915627, 27.90348125866583], [81.00780169569494, 27.94961803038543]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052255_25_105d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052255_25_105d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052255_25_105d/thumb,20200717_052255_25_105d,2020-07-17T05:22:55.256966Z,0.0,67,49,0.26,49,9421,32644,True,3.9,0,PS2.SD,PSScene4Band,1,497460,3091623,3,planetscope,2020-07-25T01:23:17Z,finalized,standard,7194,105d,1,0,3581471,106.5,71.3,2020-07-25T10:07:40Z,5.0,56,51
6,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[81.03674519040675, 28.076234870493742], [81.00265187725114, 27.926358769093184], [81.25629243051317, 27.880920572459654], [81.29044860571807, 28.030206184843806], [81.03674519040675, 28.076234870493742]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052253_24_105d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052253_24_105d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052253_24_105d/thumb,20200717_052253_24_105d,2020-07-17T05:22:53.242127Z,0.0,70,49,0.23,49,9431,32644,True,3.9,0,PS2.SD,PSScene4Band,1,500259,3105648,3,planetscope,2020-07-25T01:23:17Z,finalized,standard,7204,105d,1,0,3581471,106.9,71.3,2020-07-25T07:04:33Z,5.0,58,51
7,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[81.06561345812322, 28.203044416031926], [81.03159099125918, 28.05330048584302], [81.28545088035412, 28.008117212748896], [81.31957303862906, 28.157254846372577], [81.06561345812322, 28.203044416031926]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052251_22_105d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052251_22_105d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052251_22_105d/thumb,20200717_052251_22_105d,2020-07-17T05:22:51.226764Z,0.0,74,60,0.24,37,9425,32644,True,3.9,0,PS2.SD,PSScene4Band,1,503103,3119697,3,planetscope,2020-07-25T01:23:17Z,finalized,standard,7188,105d,1,0,3581471,107.3,71.2,2020-07-25T07:04:05Z,5.1,61,63
8,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[81.18410909634953, 28.710804963102436], [81.148446019193, 28.56292173519106], [81.40366166604754, 28.517039115039612], [81.43773634933244, 28.665209838184442], [81.18410909634953, 28.710804963102436]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052243_16_105d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052243_16_105d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052243_16_105d/thumb,20200717_052243_16_105d,2020-07-17T05:22:43.165836Z,0.0,61,14,0.0,77,9419,32644,True,3.8,0,PS2.SD,PSScene4Band,9,514518,3175962,3,planetscope,2020-07-25T01:23:17Z,finalized,test,7139,105d,0,0,3581471,108.8,71.1,2020-07-25T07:04:14Z,5.0,55,23
9,assets.analytic_sr:download,80.538,27.5459,"{'type': 'Polygon', 'coordinates': [[[79.538, 26.5459], [81.538, 26.5459], [81.538, 28.5459], [79.538, 28.5459], [79.538, 26.5459]]]}","[[[80.89335578103906, 27.439942575568658], [80.85983745281874, 27.29008737314933], [81.11201476004305, 27.24532354792093], [81.14563351934673, 27.39445835230011], [80.89335578103906, 27.439942575568658]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052303_31_105d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052303_31_105d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_052303_31_105d/thumb,20200717_052303_31_105d,2020-07-17T05:23:03.317894Z,0.0,50,36,0.28,57,9424,32644,True,3.9,0,PS2.SD,PSScene4Band,6,486129,3035169,3,planetscope,2020-07-25T00:28:08Z,finalized,standard,7186,105d,1,0,3581471,105.0,71.3,2020-07-25T07:04:38Z,5.0,49,43
