,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.48473015410221, 19.500410876206445], [75.4832872779727, 19.507730605202553], [75.69600952027115, 19.546069390540367], [75.70412503473554, 19.506004030968533], [75.70910269135105, 19.480633072160938], [75.49632667251456, 19.44245037572796], [75.49135540988733, 19.466800869161922], [75.48571795219732, 19.49539976387929], [75.48574862275127, 19.495405270614537], [75.48473015410221, 19.500410876206445]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_033616_1049,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_033616_1049/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_033616_1049/thumb,20200602_033616_1049,2020-06-02T03:36:16.438475Z,0.0,44,11,0.17,10,7903,32643,True,3.4,39,PS2,PSScene4Band,40,550710,2161401,3,planetscope,2020-06-03T13:02:04Z,finalized,standard,3848,1049,0,0,3450373,77.4,43.4,2020-06-03T19:26:25Z,3.0,49,51
1,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.51560904962703, 19.34726624997355], [75.5068887585702, 19.39159875868517], [75.71923703807852, 19.4298808379598], [75.7216222833546, 19.41772147284037], [75.72195720986355, 19.41778154777843], [75.72657640152067, 19.394907595462357], [75.73253442627119, 19.364465258382577], [75.51986435520755, 19.32630542502343], [75.51560904962703, 19.34726624997355]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_033614_1049,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_033614_1049/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_033614_1049/thumb,20200602_033614_1049,2020-06-02T03:36:14.62339Z,0.0,53,10,0.18,5,7903,32643,True,3.4,21,PS2,PSScene4Band,65,553224,2148552,3,planetscope,2020-06-03T13:02:04Z,finalized,standard,3846,1049,0,0,3450373,77.3,43.3,2020-06-03T19:22:13Z,3.0,53,74
2,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.52645891559239, 19.293054378756555], [75.51851662691742, 19.333453689832776], [75.73103773729434, 19.37178006285526], [75.73313120599997, 19.361416031427897], [75.73348205607273, 19.35962337419218], [75.73349291787558, 19.359625322430674], [75.73927346413993, 19.331007859465906], [75.74409006077138, 19.3063301935066], [75.53150315684395, 19.268168856142225], [75.52645891559239, 19.293054378756555]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_033613_1049,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_033613_1049/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_033613_1049/thumb,20200602_033613_1049,2020-06-02T03:36:13.715847Z,0.0,68,59,0.0,0,7904,32643,True,3.4,2,PS2,PSScene4Band,40,554463,2142129,3,planetscope,2020-06-03T10:27:24Z,finalized,standard,3848,1049,0,0,3450373,77.2,43.3,2020-06-03T19:06:49Z,3.0,57,98
3,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.4236666528445, 19.562078643931496], [75.66291142425308, 19.516926206255768], [75.6474745229476, 19.443274803761664], [75.40790499248693, 19.48878455231251], [75.42055345594774, 19.549703497219987], [75.42107807018506, 19.549603794818402], [75.4236666528445, 19.562078643931496]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051246_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051246_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051246_1003/thumb,20200602_051246_1003,2020-06-02T05:12:46.359451Z,0.0,93,85,0.1,11,8917,32643,True,3.9,0,PS2,PSScene4Band,0,542805,2163078,3,planetscope,2020-06-03T04:11:26Z,finalized,standard,4359,1003,4,0,3450789,79.0,65.5,2020-06-03T10:04:02Z,4.0,74,89
4,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.44449522116962, 19.661064495536912], [75.44858615739332, 19.680172425129086], [75.44887334022624, 19.68011793790366], [75.4513769040452, 19.692132465454275], [75.69099963149027, 19.646938309451134], [75.67943432790197, 19.591376404027592], [75.67555560786471, 19.573302677954107], [75.43575283807208, 19.618835015387145], [75.44449522116962, 19.661064495536912]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051244_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051244_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051244_1003/thumb,20200602_051244_1003,2020-06-02T05:12:44.283271Z,0.0,94,91,0.05,6,8918,32643,True,3.9,0,PS2,PSScene4Band,0,545691,2177478,3,planetscope,2020-06-03T04:11:26Z,finalized,standard,4358,1003,3,0,3450789,79.2,65.5,2020-06-03T10:20:35Z,4.0,67,94
5,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.47923480489933, 19.823078812780132], [75.71931828082964, 19.777895969718294], [75.70381756084248, 19.704237216284707], [75.46381231481463, 19.749734140966996], [75.47662987914102, 19.81130907634862], [75.4767805037036, 19.811280526575977], [75.47923480489933, 19.823078812780132]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051242_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051242_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051242_1003/thumb,20200602_051242_1003,2020-06-02T05:12:42.20709Z,0.0,84,85,0.05,4,8920,32643,True,3.9,3,PS2,PSScene4Band,6,548592,2191977,3,planetscope,2020-06-03T04:11:26Z,finalized,standard,4358,1003,2,0,3450789,79.5,65.6,2020-06-03T10:23:27Z,4.0,64,93
6,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.48228778659517, 19.837755068443457], [75.49320916263979, 19.888690877738682], [75.73311515592661, 19.843572094214732], [75.73051102854002, 19.83146204915551], [75.73093144372963, 19.831382416874117], [75.7270854449984, 19.813049225793993], [75.71778285988731, 19.769902470789972], [75.47763779877823, 19.81540170480369], [75.48228778659517, 19.837755068443457]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051241_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051241_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051241_1003/thumb,20200602_051241_1003,2020-06-02T05:12:41.169Z,0.0,86,74,0.16,17,8915,32643,True,3.9,1,PS2,PSScene4Band,1,550020,2199240,3,planetscope,2020-06-03T04:11:26Z,finalized,standard,4354,1003,7,0,3450789,79.7,65.6,2020-06-03T10:50:28Z,4.0,65,82
7,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.39113609318441, 19.412397896375666], [75.3926363464304, 19.419408006431127], [75.39301817236782, 19.41933543892693], [75.39545150124373, 19.431052556494496], [75.63474226511927, 19.385878223941646], [75.61931773949465, 19.312865895985578], [75.61919127731518, 19.312282088382187], [75.37977911415793, 19.357732583517286], [75.39113609318441, 19.412397896375666]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051248_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051248_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051248_1003/thumb,20200602_051248_1003,2020-06-02T05:12:48.435632Z,0.0,93,84,0.11,11,8924,32643,True,3.9,0,PS2,PSScene4Band,0,539883,2148573,3,planetscope,2020-06-03T02:32:45Z,finalized,standard,4359,1003,4,0,3450789,78.7,65.4,2020-06-03T10:41:24Z,4.0,74,89
8,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.63341298348206, 19.377948771689066], [75.3938744243199, 19.423458516941366], [75.40660228143078, 19.484746491463568], [75.40704895489864, 19.484661608301096], [75.40956474324065, 19.4967784295957], [75.64883895029897, 19.451598464715612], [75.63360339046622, 19.378832594071064], [75.63341298348206, 19.377948771689066]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051247_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051247_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051247_1003/thumb,20200602_051247_1003,2020-06-02T05:12:47.397542Z,0.0,95,88,0.07,8,8920,32643,True,3.9,0,PS2,PSScene4Band,0,541347,2155848,3,planetscope,2020-06-03T02:32:45Z,finalized,standard,4360,1003,4,0,3450789,78.8,65.5,2020-06-03T10:02:25Z,3.9,81,92
9,assets.analytic_sr:download,75.2676,20.3337,"{'type': 'Polygon', 'coordinates': [[[74.2676, 19.3337], [76.2676, 19.3337], [76.2676, 21.3337], [74.2676, 21.3337], [74.2676, 19.3337]]]}","[[[75.43745408264431, 19.627052760261883], [75.67696140108286, 19.581865204978406], [75.66151635049606, 19.50821118284472], [75.42193346252253, 19.553726085564474], [75.43460030831312, 19.614769911767933], [75.43489951105934, 19.614713077953883], [75.43745408264431, 19.627052760261883]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051245_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051245_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_051245_1003/thumb,20200602_051245_1003,2020-06-02T05:12:45.321361Z,0.0,93,84,0.1,11,8915,32643,True,3.9,0,PS2,PSScene4Band,0,544257,2170272,3,planetscope,2020-06-03T02:32:45Z,finalized,standard,4359,1003,5,0,3450789,79.1,65.5,2020-06-03T10:51:58Z,4.0,77,89
