,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[94.12721385545296, 29.035116409854286], [94.1304443947607, 29.04861785581048], [94.13089463152319, 29.04853705543243], [94.13338423575509, 29.05930572710925], [94.38374292076779, 29.014154718091227], [94.36743525042937, 28.94342395647763], [94.11676096448677, 28.988407617595687], [94.12721385545296, 29.035116409854286]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_040242_1012,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_040242_1012/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_040242_1012/thumb,20200727_040242_1012,2020-07-27T04:02:42.57882Z,0.23,88,49,0.22,44,8660,32646,True,3.8,0,PS2,PSScene4Band,0,608787,3215088,3,planetscope,2020-07-28T15:11:44Z,finalized,test,4201,1012,7,0,3603365,106.2,63.9,2020-08-03T03:28:02Z,2.0,79,56
1,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[96.53735129582411, 28.635359394669145], [96.28619326365263, 28.68191252794206], [96.30045710811446, 28.744648340213846], [96.30095589017192, 28.74455686540619], [96.30314556484548, 28.753542040140946], [96.55414894886928, 28.707403694734936], [96.54186979560684, 28.654196499358495], [96.53735129582411, 28.635359394669145]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_035746_0f4e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_035746_0f4e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_035746_0f4e/thumb,20200727_035746_0f4e,2020-07-27T03:57:46.316204Z,0.0,50,3,0.21,96,8751,32647,False,3.8,0,PS2,PSScene4Band,0,234816,3183666,3,planetscope,2020-07-28T06:59:33Z,finalized,test,4533,0f4e,1,0,3604553,106.3,64.3,2020-07-28T13:13:43Z,5.1,50,4
2,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[94.1342435766347, 26.97906573365144], [94.16672056488493, 26.832932002389736], [94.41246855909047, 26.87624458252146], [94.3803526981204, 27.023024387173617], [94.1342435766347, 26.97906573365144]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200725_042101_41_1069,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200725_042101_41_1069/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200725_042101_41_1069/thumb,20200725_042101_41_1069,2020-07-25T04:21:01.417457Z,0.0,74,70,0.23,24,9248,32646,True,3.8,0,PS2.SD,PSScene4Band,5,612558,2989737,3,planetscope,2020-07-28T02:59:44Z,finalized,standard,7092,1069,0,0,3598215,104.8,68.1,2020-07-28T10:14:30Z,5.1,62,76
3,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[94.77734390598458, 28.350859040420644], [94.81124694736681, 28.2044436340609], [95.0608445199448, 28.24832239618159], [95.02772052553922, 28.39555863816862], [94.77734390598458, 28.350859040420644]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_041748_83_106d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_041748_83_106d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_041748_83_106d/thumb,20200727_041748_83_106d,2020-07-27T04:17:48.831761Z,0.0,73,54,0.28,35,9329,32646,True,3.8,0,PS2.SD,PSScene4Band,9,674199,3142695,3,planetscope,2020-07-27T17:03:54Z,finalized,standard,7173,106d,2,0,3602799,108.9,67.4,2020-07-28T04:39:55Z,5.1,62,65
4,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[94.82151212395846, 28.156848942413685], [94.85436040770702, 28.01032037416299], [95.10287970765422, 28.054053566242416], [95.07061117574968, 28.201067175327392], [94.82151212395846, 28.156848942413685]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_041745_76_106d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_041745_76_106d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_041745_76_106d/thumb,20200727_041745_76_106d,2020-07-27T04:17:45.762579Z,0.0,44,3,0.0,91,9278,32646,True,3.8,0,PS2.SD,PSScene4Band,5,678852,3121212,3,planetscope,2020-07-27T17:03:54Z,finalized,standard,7161,106d,0,0,3602799,108.5,67.4,2020-07-28T04:39:50Z,5.1,47,9
5,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[94.31426715904537, 28.924395299553954], [94.0792348281427, 28.88356072537515], [94.06691428341179, 28.937122663797833], [94.06757512222633, 28.93723731607899], [94.06445457780167, 28.950753812622896], [94.29877885422842, 28.991322107118418], [94.31402365306373, 28.925487199006565], [94.31426715904537, 28.924395299553954]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_020610_1050,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_020610_1050/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_020610_1050/thumb,20200727_020610_1050,2020-07-27T02:06:10.648359Z,0.01,77,33,0.15,42,8127,32646,True,3.5,0,PS2,PSScene4Band,0,603729,3207720,3,planetscope,2020-07-27T10:18:53Z,finalized,standard,4052,1050,25,0,3602712,87.7,38.5,2020-07-28T05:09:31Z,0.1,77,58
6,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[95.20267497727055, 29.064565456628497], [95.2357140740809, 28.920168870873216], [95.48423410821229, 28.96265284339172], [95.4512688686323, 29.108164152002256], [95.20267497727055, 29.064565456628497]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200726_041509_48_1062,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200726_041509_48_1062/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200726_041509_48_1062/thumb,20200726_041509_48_1062,2020-07-26T04:15:09.483405Z,0.0,42,9,0.21,87,9219,32646,True,3.7,0,PS2.SD,PSScene4Band,4,714435,3222453,3,planetscope,2020-07-26T19:00:11Z,finalized,test,7085,1062,0,0,3600441,109.7,67.0,2020-07-27T04:20:37Z,4.9,41,13
7,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[96.10725554566433, 29.039163267299287], [96.10801490323533, 29.04231450914301], [96.1083995496637, 29.04224504498558], [96.11103399716563, 29.053944799281158], [96.36239013804719, 29.008485424487247], [96.34587469032115, 28.937195709668362], [96.34576919853836, 28.936752949437057], [96.09396726975388, 28.98234284485059], [96.10725554566433, 29.039163267299287]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200726_035441_1009,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200726_035441_1009/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200726_035441_1009/thumb,20200726_035441_1009,2020-07-26T03:54:41.489096Z,0.03,50,12,0.19,82,8745,32647,True,3.8,0,PS2,PSScene4Band,4,216837,3217410,3,planetscope,2020-07-26T16:52:52Z,finalized,standard,4511,1009,2,0,3600775,105.6,63.9,2020-07-27T04:38:33Z,1.0,51,18
8,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[96.06439792039419, 28.8565884116244], [96.08070311199695, 28.926405016702073], [96.33247500925994, 28.880556012062762], [96.32971076067145, 28.868888342766088], [96.32985983021614, 28.868861335837728], [96.3157321078603, 28.808954194864643], [96.06391703462158, 28.85446300868964], [96.06439792039419, 28.8565884116244]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200726_035443_1009,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200726_035443_1009/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200726_035443_1009/thumb,20200726_035443_1009,2020-07-26T03:54:43.511799Z,0.13,67,13,0.23,83,8759,32647,True,3.8,1,PS2,PSScene4Band,2,213558,3203343,3,planetscope,2020-07-26T14:48:31Z,finalized,standard,4522,1009,1,0,3600775,105.3,63.9,2020-07-27T04:38:15Z,1.1,55,17
9,assets.analytic_sr:download,95.3099,27.9475,"{'type': 'Polygon', 'coordinates': [[[94.3099, 26.9475], [96.3099, 26.9475], [96.3099, 28.9475], [94.3099, 28.9475], [94.3099, 26.9475]]]}","[[[96.08239808925404, 28.93502233821809], [96.09285927952911, 28.97834380430208], [96.09302501950052, 28.97831380016423], [96.09581438287462, 28.990241066451244], [96.34731083030306, 28.944590318024364], [96.33510013285749, 28.891636446046455], [96.33066141807836, 28.872900990646055], [96.07855332702776, 28.918602910216556], [96.08239808925404, 28.93502233821809]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200726_035442_1009,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200726_035442_1009/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200726_035442_1009/thumb,20200726_035442_1009,2020-07-26T03:54:42.500448Z,0.1,75,19,0.19,76,8761,32647,True,3.8,0,PS2,PSScene4Band,1,215160,3210384,3,planetscope,2020-07-26T14:48:31Z,finalized,standard,4517,1009,4,0,3600775,105.5,63.9,2020-07-27T04:38:05Z,1.0,61,24
