,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.32537481502976, 21.60705591381886], [84.3220078707256, 21.62384808692618], [84.53840684010797, 21.662533897048576], [84.55178190326487, 21.59693318458044], [84.33547128630433, 21.558386025577494], [84.32539638322207, 21.607059728279463], [84.32537481502976, 21.60705591381886]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030203_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030203_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030203_0f3d/thumb,20200521_030203_0f3d,2020-05-21T03:02:03.206599Z,0.0,72,77,0.0,0,7918,32645,True,3.5,0,PS2,PSScene4Band,23,222777,2397498,3,planetscope,2020-05-26T05:15:50Z,finalized,standard,3731,0f3d,0,0,3415152,82.2,44.0,2020-05-26T05:21:25Z,3.1,64,100
1,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.33399744209481, 21.56550643698966], [84.54996371786436, 21.604156687791818], [84.56357615142241, 21.538514820991296], [84.34717608832138, 21.50000815839446], [84.33603096462654, 21.55397800303223], [84.33637114461382, 21.554038645213385], [84.33399744209481, 21.56550643698966]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030202_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030202_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030202_0f3d/thumb,20200521_030202_0f3d,2020-05-21T03:02:02.296959Z,0.0,67,80,0.0,0,7914,32645,True,3.5,0,PS2,PSScene4Band,20,223908,2391012,3,planetscope,2020-05-26T05:15:50Z,finalized,standard,3731,0f3d,0,0,3415152,82.1,44.0,2020-05-26T05:21:27Z,3.1,62,100
2,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.34570281790094, 21.50714241530155], [84.56167995420358, 21.545779550397025], [84.57524612636638, 21.48013977555737], [84.35879515294515, 21.441649965011653], [84.3477198293875, 21.49558541314315], [84.3480763152702, 21.495648843065414], [84.34570281790094, 21.50714241530155]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030201_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030201_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030201_0f3d/thumb,20200521_030201_0f3d,2020-05-21T03:02:01.38732Z,0.0,71,56,0.0,0,7916,32645,True,3.5,0,PS2,PSScene4Band,44,225012,2384529,3,planetscope,2020-05-26T05:15:50Z,finalized,standard,3732,0f3d,0,0,3415152,82.1,44.0,2020-05-26T05:21:18Z,3.1,65,100
3,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.36632386432126, 21.40377577442178], [84.35958334381357, 21.43728503808161], [84.3596876573742, 21.437303579455598], [84.35735238861916, 21.44867604782227], [84.57350638751817, 21.487385923981506], [84.58198659799187, 21.446260256048646], [84.58685192815976, 21.42173664030023], [84.37059841564681, 21.383243060707425], [84.36632386432126, 21.40377577442178]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030200_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030200_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030200_0f3d/thumb,20200521_030200_0f3d,2020-05-21T03:02:00.47768Z,0.0,72,20,0.0,0,7918,32645,True,3.5,1,PS2,PSScene4Band,79,226110,2378043,3,planetscope,2020-05-26T05:15:50Z,finalized,standard,3733,0f3d,0,0,3415152,82.0,44.0,2020-05-26T05:21:18Z,3.1,65,99
4,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.37840159639688, 21.34485869478753], [84.36924002168757, 21.39031047729349], [84.58534196285711, 21.4290487758871], [84.58683146893881, 21.421839764662977], [84.58771842598698, 21.417369072421337], [84.58775388741357, 21.41737538199307], [84.5913360694893, 21.400038097434027], [84.5987175592565, 21.363377431138257], [84.38255275062144, 21.324862844883146], [84.37840159639688, 21.34485869478753]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030159_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030159_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030159_0f3d/thumb,20200521_030159_0f3d,2020-05-21T03:01:59.56804Z,0.0,52,28,0.0,0,7921,32645,True,3.5,1,PS2,PSScene4Band,71,227232,2371563,3,planetscope,2020-05-26T05:15:50Z,finalized,standard,3735,0f3d,0,0,3415152,81.9,44.0,2020-05-26T05:21:09Z,3.1,53,99
5,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.38232117460669, 21.32597833204213], [84.38112942622486, 21.331930451243966], [84.59706435871867, 21.37061694279833], [84.60798798649459, 21.318078459192392], [84.61061281044198, 21.30497466297075], [84.39447086320851, 21.266464192372087], [84.38668709407976, 21.30417299668309], [84.38341642134515, 21.320508184784437], [84.38345534236859, 21.320515116968288], [84.38232117460669, 21.32597833204213]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030158_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030158_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030158_0f3d/thumb,20200521_030158_0f3d,2020-05-21T03:01:58.657876Z,0.0,65,53,0.0,0,7923,32645,True,3.5,0,PS2,PSScene4Band,47,228360,2365071,3,planetscope,2020-05-26T05:15:50Z,finalized,standard,3734,0f3d,0,0,3415152,81.9,44.0,2020-05-26T05:21:21Z,3.1,60,100
6,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.395151494281, 21.261983504961403], [84.3951336972895, 21.262072949570605], [84.39536865542757, 21.2621147993543], [84.39302293871988, 21.273478724830042], [84.60882901647807, 21.312165434954327], [84.62237118682306, 21.246515236701573], [84.40628103802912, 21.208056667128172], [84.395151494281, 21.261983504961403]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030157_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030157_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030157_0f3d/thumb,20200521_030157_0f3d,2020-05-21T03:01:57.748237Z,0.0,60,14,0.0,0,7923,32645,True,3.5,0,PS2,PSScene4Band,86,229485,2358579,3,planetscope,2020-05-26T05:15:50Z,finalized,standard,3734,0f3d,0,0,3415152,81.8,44.0,2020-05-26T05:21:30Z,3.1,59,100
7,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.41186944100292, 21.179111328190906], [84.40694139656574, 21.203660634349518], [84.40717955532077, 21.203703011904384], [84.40483372329538, 21.215069452980504], [84.62060943528607, 21.253727726856138], [84.63127838817195, 21.201547892744266], [84.63394592248333, 21.188050574546565], [84.41798686981164, 21.149560030602395], [84.41186944100292, 21.179111328190906]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030156_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030156_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030156_0f3d/thumb,20200521_030156_0f3d,2020-05-21T03:01:56.838597Z,0.0,52,17,0.0,0,7917,32645,True,3.5,7,PS2,PSScene4Band,76,230607,2352090,3,planetscope,2020-05-26T05:15:50Z,finalized,standard,3737,0f3d,0,0,3415152,81.8,44.0,2020-05-26T05:21:21Z,3.1,55,93
8,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.41679147702386, 21.15533458215201], [84.41654757645907, 21.156555495290803], [84.63232300616215, 21.195215121513556], [84.64402617291569, 21.13810482837692], [84.6457295544018, 21.129543645517234], [84.42984996830799, 21.091079520989222], [84.42287998657618, 21.124856828587284], [84.41881547654721, 21.14520288109158], [84.41888623660353, 21.14521548381011], [84.41679147702386, 21.15533458215201]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030155_1_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030155_1_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030155_1_0f3d/thumb,20200521_030155_1_0f3d,2020-05-21T03:01:55.928957Z,0.0,45,0,0.0,0,7923,32645,True,3.5,16,PS2,PSScene4Band,84,231717,2345592,3,planetscope,2020-05-26T05:15:49Z,finalized,standard,3737,0f3d,0,0,3415152,81.7,44.0,2020-05-26T05:21:37Z,3.1,54,84
9,assets.analytic_sr:download,85.4517,21.3074,"{'type': 'Polygon', 'coordinates': [[[84.4517, 20.3074], [86.4517, 20.3074], [86.4517, 22.3074], [84.4517, 22.3074], [84.4517, 20.3074]]]}","[[[84.43427222517067, 21.068469356888816], [84.43062469094302, 21.086709174530395], [84.43074728766318, 21.086731011475067], [84.4284106534009, 21.098054601300433], [84.64404212987667, 21.136682853505683], [84.65316884315156, 21.091997819447013], [84.65730312991296, 21.070997307749444], [84.44166827626887, 21.032567756903845], [84.43427222517067, 21.068469356888816]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030155_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030155_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200521_030155_0f3d/thumb,20200521_030155_0f3d,2020-05-21T03:01:55.019318Z,0.0,45,0,0.0,0,7916,32645,True,3.5,5,PS2,PSScene4Band,95,232845,2339091,3,planetscope,2020-05-26T05:15:49Z,finalized,standard,3736,0f3d,0,0,3415152,81.7,44.0,2020-05-26T05:21:31Z,3.1,51,95
