,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[94.28729307693592, 27.108769784278124], [94.3220734224312, 26.9538521838423], [94.58321177390742, 26.99989051714386], [94.54878711163853, 27.155693311911516], [94.28729307693592, 27.108769784278124]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_042248_31_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_042248_31_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_042248_31_1067/thumb,20200602_042248_31_1067,2020-06-02T04:22:48.313733Z,0.0,53,21,0.25,37,9831,32646,True,4.0,1,PS2.SD,PSScene4Band,40,627600,3004629,3,planetscope,2020-06-02T12:37:49Z,finalized,test,7540,1067,2,0,3449977,100.8,71.5,2020-06-03T03:58:30Z,3.1,54,62
1,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[94.3447181981875, 26.85241661415806], [94.37928422466285, 26.69717089205697], [94.63963956547092, 26.74354002485205], [94.60506011390459, 26.89941103497068], [94.3447181981875, 26.85241661415806]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_042244_25_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_042244_25_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_042244_25_1067/thumb,20200602_042244_25_1067,2020-06-02T04:22:44.253122Z,0.0,49,15,0.25,45,9821,32646,True,4.0,0,PS2.SD,PSScene4Band,40,633597,2976306,3,planetscope,2020-06-02T10:51:49Z,finalized,test,7557,1067,0,0,3449977,100.0,71.6,2020-06-03T03:58:53Z,3.1,52,55
2,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[94.4014403533779, 26.59749676442597], [94.43574546315372, 26.44270398390926], [94.69519778908834, 26.488703619564053], [94.66217192728723, 26.643618504467906], [94.4014403533779, 26.59749676442597]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_042240_19_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200602_042240_19_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200602_042240_19_1067/thumb,20200602_042240_19_1067,2020-06-02T04:22:40.191987Z,0.0,50,4,0.28,56,9806,32646,True,4.0,0,PS2.SD,PSScene4Band,40,639543,2948043,3,planetscope,2020-06-02T10:51:49Z,finalized,test,7511,1067,0,0,3449977,99.3,71.7,2020-06-03T03:58:43Z,3.1,55,44
3,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[95.07161924152801, 27.212442136713637], [95.1062046329886, 27.05703855934341], [95.36834135505798, 27.10297321326104], [95.33405433107852, 27.259328304350785], [95.07161924152801, 27.212442136713637]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200601_042027_15_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200601_042027_15_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200601_042027_15_1065/thumb,20200601_042027_15_1065,2020-06-01T04:20:27.154456Z,0.0,43,5,0.21,54,9876,32646,True,4.0,0,PS2.SD,PSScene4Band,41,705174,3017316,3,planetscope,2020-06-01T16:41:28Z,finalized,standard,7606,1065,0,0,3447122,101.4,71.5,2020-06-02T03:59:19Z,5.0,46,46
4,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[95.52290736701302, 28.193832200646828], [95.75072936576825, 28.23373825460637], [95.76556657943321, 28.16823956141246], [95.53713944472948, 28.128021224042683], [95.52481849137119, 28.181992272042926], [95.52546512456537, 28.18210618406145], [95.52290736701302, 28.193832200646828]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020922_1052,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020922_1052/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020922_1052/thumb,20200531_020922_1052,2020-05-31T02:09:22.996095Z,0.01,94,99,0.01,0,7966,32646,True,3.5,0,PS2,PSScene4Band,0,747657,3126165,3,planetscope,2020-05-31T16:10:41Z,finalized,standard,4060,1052,0,1,3444428,85.6,43.6,2020-06-01T04:38:44Z,3.0,73,100
5,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[95.77849046131482, 28.10964732512895], [95.55002700420407, 28.06940296819988], [95.53762674507182, 28.123567179223464], [95.53813578348311, 28.123656833955838], [95.5354957075501, 28.135221496264172], [95.76370259698601, 28.175190768911254], [95.77494353842252, 28.125749258235746], [95.77849046131482, 28.10964732512895]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020922_1_1052,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020922_1_1052/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020922_1_1052/thumb,20200531_020922_1_1052,2020-05-31T02:09:22.087504Z,0.0,97,100,0.0,0,7982,32646,True,3.5,0,PS2,PSScene4Band,0,749028,3119703,3,planetscope,2020-05-31T16:10:40Z,finalized,standard,4063,1052,0,0,3444428,85.6,43.6,2020-06-01T04:39:07Z,3.0,72,100
6,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[95.79142977948509, 28.051178170684178], [95.56308457952606, 28.010959245601978], [95.54845884082937, 28.076700985301525], [95.7768848170869, 28.116757501734778], [95.77824998165671, 28.110739028412524], [95.77945020018619, 28.105290407435444], [95.77948451556233, 28.10529645427858], [95.78175509609869, 28.09528635829001], [95.79142977948509, 28.051178170684178]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020921_1052,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020921_1052/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020921_1052/thumb,20200531_020921_1052,2020-05-31T02:09:21.178388Z,0.01,98,100,0.0,0,7985,32646,True,3.5,0,PS2,PSScene4Band,0,750438,3113256,3,planetscope,2020-05-31T16:10:40Z,finalized,standard,4064,1052,0,0,3444428,85.5,43.6,2020-06-01T04:38:47Z,3.0,98,100
7,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[95.57532221291983, 27.957477563903232], [95.56172985370573, 28.018579251862295], [95.78980198974514, 28.05859948385433], [95.79238548752906, 28.04682096869457], [95.79271934700215, 28.046879788441515], [95.80454861219971, 27.99305095012049], [95.57638950676889, 27.952820301727925], [95.57532221291983, 27.957477563903232]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020920_1052,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020920_1052/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020920_1052/thumb,20200531_020920_1052,2020-05-31T02:09:20.269797Z,0.01,99,100,0.0,0,7985,32646,True,3.5,0,PS2,PSScene4Band,0,751878,3106836,3,planetscope,2020-05-31T16:10:40Z,finalized,standard,4063,1052,0,0,3444428,85.5,43.6,2020-06-01T04:38:38Z,3.0,99,100
8,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[95.57597704045524, 27.9546201469747], [95.57467837599376, 27.960459032811176], [95.80289725507068, 28.00056541821502], [95.80550557882324, 27.988696292346177], [95.80562038176396, 27.988716542905888], [95.81609956099324, 27.942503022093653], [95.81774191320274, 27.935030480896177], [95.58964320827215, 27.894745607952544], [95.57765106551518, 27.947093613753637], [95.57734919261893, 27.94845085531264], [95.57738922432102, 27.94845791666811], [95.57597704045524, 27.9546201469747]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020919_1052,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020919_1052/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020919_1052/thumb,20200531_020919_1052,2020-05-31T02:09:19.360682Z,0.0,98,100,0.0,0,7997,32646,True,3.5,0,PS2,PSScene4Band,0,753288,3100434,3,planetscope,2020-05-31T16:10:40Z,finalized,standard,4065,1052,0,0,3444428,85.4,43.6,2020-06-01T04:38:54Z,3.0,98,100
9,assets.analytic_sr:download,94.7779,27.3406,"{'type': 'Polygon', 'coordinates': [[[93.7779, 26.3406], [95.7779, 26.3406], [95.7779, 28.3406], [93.7779, 28.3406], [93.7779, 26.3406]]]}","[[[95.59211470429005, 27.882361170693], [95.59034267681419, 27.890329483909376], [95.59064273206127, 27.890382494689867], [95.58793467449303, 27.902203685961943], [95.81585619317677, 27.94226798034593], [95.8279655402102, 27.888792778193974], [95.83062088873676, 27.876704256605898], [95.60263852308934, 27.836434780253963], [95.59211470429005, 27.882361170693]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020918_1052,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020918_1052/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200531_020918_1052/thumb,20200531_020918_1052,2020-05-31T02:09:18.452091Z,0.01,96,99,0.01,1,7989,32646,True,3.5,0,PS2,PSScene4Band,0,754728,3094002,3,planetscope,2020-05-31T16:10:40Z,finalized,standard,4067,1052,0,0,3444428,85.4,43.6,2020-06-01T04:38:28Z,3.0,75,99
