,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[79.53878486615366, 10.204891587267142], [79.50682708207793, 10.058034859911212], [79.73211207202502, 10.012989854817851], [79.76171864390524, 10.161214246568067], [79.53878486615366, 10.204891587267142]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050857_68_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050857_68_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050857_68_1059/thumb,20191204_050857_68_1059,2019-12-04T05:08:57.684298Z,0.0,97,97,0.01,3,9328,32644,False,3.8,0,PS2.SD,PSScene4Band,0,336366,1128429,3,planetscope,2019-12-06T16:45:40Z,finalized,test,7105,1059,0,0,2901010,147.8,51.8,2019-12-06T16:45:40Z,3.1,90,97
1,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[79.48492514348847, 9.945095342336142], [79.44565760970468, 9.78309528547446], [79.66452805072872, 9.726112681884256], [79.70409671361692, 9.889023664544602], [79.48492514348847, 9.945095342336142]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050901_78_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050901_78_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050901_78_1059/thumb,20191204_050901_78_1059,2019-12-04T05:09:01.787375Z,0.0,83,81,0.04,17,9467,32644,False,3.8,0,PS2.SD,PSScene4Band,2,329517,1099722,3,planetscope,2019-12-06T16:45:26Z,finalized,test,8101,1059,0,0,2901010,147.6,52.0,2019-12-06T16:45:26Z,3.1,63,83
2,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[79.51102621192015, 10.074356573445659], [79.47952491750166, 9.925767131134048], [79.70690494823221, 9.879873710414765], [79.73579943415474, 10.029949377580916], [79.51102621192015, 10.074356573445659]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050859_73_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050859_73_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050859_73_1059/thumb,20191204_050859_73_1059,2019-12-04T05:08:59.735837Z,0.0,96,97,0.01,3,9382,32644,False,3.8,0,PS2.SD,PSScene4Band,0,333306,1114005,3,planetscope,2019-12-06T16:45:16Z,finalized,test,7200,1059,0,0,2901010,147.7,51.9,2019-12-06T16:45:16Z,3.0,71,97
3,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[79.64356601451993, 10.726869893361796], [79.61402293842345, 10.580027379196016], [79.83740732282257, 10.535970859206635], [79.86704118209434, 10.683343701826056], [79.64356601451993, 10.726869893361796]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050849_47_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050849_47_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050849_47_1059/thumb,20191204_050849_47_1059,2019-12-04T05:08:49.478666Z,0.0,89,81,0.06,14,9243,32644,True,3.8,0,PS2.SD,PSScene4Band,0,348366,1186107,3,planetscope,2019-12-06T15:17:12Z,finalized,test,7067,1059,5,0,2901010,148.3,51.4,2019-12-06T15:17:12Z,3.1,68,86
4,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[79.66921600830591, 10.856399172867068], [79.63981796615384, 10.709631403515312], [79.86316222640234, 10.665670080208699], [79.8928089576749, 10.812958191042847], [79.66921600830591, 10.856399172867068]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050847_42_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050847_42_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050847_42_1059/thumb,20191204_050847_42_1059,2019-12-04T05:08:47.427127Z,0.0,90,79,0.1,18,9239,32644,True,3.8,0,PS2.SD,PSScene4Band,0,351249,1200420,3,planetscope,2019-12-06T15:16:55Z,finalized,test,7060,1059,4,0,2901010,148.4,51.3,2019-12-06T15:16:55Z,3.0,76,82
5,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[79.77529856310632, 11.377450409101685], [79.745750516541, 11.230620250843305], [79.9693319966034, 11.186503996476812], [79.99918286551392, 11.33374685975211], [79.77529856310632, 11.377450409101685]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050839_22_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050839_22_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050839_22_1059/thumb,20191204_050839_22_1059,2019-12-04T05:08:39.221496Z,0.0,87,79,0.11,17,9237,32644,True,3.8,0,PS2.SD,PSScene4Band,2,363078,1257999,3,planetscope,2019-12-06T15:16:55Z,finalized,test,7068,1059,2,0,2901010,148.8,50.9,2019-12-06T15:16:55Z,3.1,61,83
6,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[79.56486569595666, 10.335049480931447], [79.53509036510135, 10.188907666890337], [79.75801283301413, 10.144728270442185], [79.78818416050763, 10.29133106126989], [79.56486569595666, 10.335049480931447]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050855_63_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050855_63_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050855_63_1059/thumb,20191204_050855_63_1059,2019-12-04T05:08:55.632759Z,0.0,92,88,0.1,11,9258,32644,True,3.8,0,PS2.SD,PSScene4Band,0,339528,1142811,3,planetscope,2019-12-06T15:16:37Z,finalized,test,7046,1059,1,0,2901010,147.9,51.7,2019-12-06T15:16:37Z,3.0,74,89
7,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[79.61744673447188, 10.596525553205009], [79.5879347699208, 10.449590131119198], [79.81122008531717, 10.40546904968651], [79.84095795568652, 10.55288821743493], [79.61744673447188, 10.596525553205009]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050851_53_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050851_53_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191204_050851_53_1059/thumb,20191204_050851_53_1059,2019-12-04T05:08:51.530205Z,0.0,88,74,0.07,21,9248,32644,True,3.8,0,PS2.SD,PSScene4Band,0,345444,1171704,3,planetscope,2019-12-06T15:16:24Z,finalized,test,7073,1059,5,0,2901010,148.1,51.5,2019-12-06T15:16:24Z,3.1,76,79
8,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[77.96962865633273, 11.34261329122631], [77.98044994201513, 11.396068959198479], [78.20998715474927, 11.351778938112213], [78.20793446912505, 11.341726908058666], [78.20825071290218, 11.341665404975934], [78.20473756776616, 11.3238068130521], [78.19568373257545, 11.279076364712813], [77.96591224200473, 11.32369738488322], [77.96962865633273, 11.34261329122631]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191205_045738_1035,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191205_045738_1035/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191205_045738_1035/thumb,20191205_045738_1035,2019-12-05T04:57:38.867565Z,0.0,56,53,0.04,6,8900,32644,True,3.9,2,PS2,PSScene4Band,38,168765,1261491,3,planetscope,2019-12-06T08:10:12Z,finalized,standard,4396,1035,1,0,2904552,143.5,48.1,2019-12-06T08:10:12Z,4.0,52,92
9,assets.analytic_sr:download,78.8554,10.8488,"{'type': 'Polygon', 'coordinates': [[[77.8554, 9.8488], [79.8554, 9.8488], [79.8554, 11.8488], [77.8554, 11.8488], [77.8554, 9.8488]]]}","[[[77.97946955415189, 11.392575366842747], [77.99377141889896, 11.463060013306002], [78.22334199417486, 11.418745860397314], [78.22126580277946, 11.408554544591706], [78.22156904494226, 11.408495615485151], [78.20881847263045, 11.346055885520675], [77.97910360720083, 11.390712048947744], [77.97946955415189, 11.392575366842747]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191205_045737_1035,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191205_045737_1035/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191205_045737_1035/thumb,20191205_045737_1035,2019-12-05T04:57:37.819513Z,0.0,60,60,0.05,8,8903,32644,True,3.9,0,PS2,PSScene4Band,30,170286,1268895,3,planetscope,2019-12-06T08:10:12Z,finalized,standard,4397,1035,3,0,2904552,143.6,48.1,2019-12-06T08:10:12Z,4.0,57,92
