,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[95.23226572376683, 27.874119667807523], [95.26795495491204, 27.71658979213943], [95.53538205111097, 27.763526178998475], [95.50007995768145, 27.92200872160371], [95.23226572376683, 27.874119667807523]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043033_44_106b,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043033_44_106b/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043033_44_106b/thumb,20191104_043033_44_106b,2019-11-04T04:30:33.442695Z,0.0,88,95,0.05,3,10036,32646,True,4.1,0,PS2.SD,PSScene4Band,2,719766,3091080,3,planetscope,2019-11-29T15:24:56Z,finalized,test,7738,106b,0,0,2809259,161.7,45.1,2019-11-29T15:24:56Z,5.1,62,97
1,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[93.54043798532027, 26.649999127406], [93.57468196984347, 26.493885575598846], [93.83747561326604, 26.54009963587787], [93.8029331473586, 26.6973050593991], [93.54043798532027, 26.649999127406]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043809_01_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043809_01_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043809_01_1067/thumb,20191104_043809_01_1067,2019-11-04T04:38:09.012617Z,0.0,67,25,0.28,73,9881,32646,True,4.0,0,PS2.SD,PSScene4Band,0,553785,2953164,3,planetscope,2019-11-29T15:24:33Z,finalized,test,7552,1067,2,0,2809684,161.5,46.3,2019-11-29T15:24:33Z,5.0,57,27
2,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[93.25035971511637, 27.938234323789224], [93.28471942915122, 27.782449480020954], [93.55072069006097, 27.828677314996806], [93.51645094202443, 27.985733576921657], [93.25035971511637, 27.938234323789224]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043829_45_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043829_45_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043829_45_1067/thumb,20191104_043829_45_1067,2019-11-04T04:38:29.452509Z,0.0,93,61,0.19,36,9869,32646,True,4.0,0,PS2.SD,PSScene4Band,0,524628,3095730,3,planetscope,2019-11-29T15:24:30Z,finalized,standard,7532,1067,3,0,2809684,161.7,45.0,2019-11-29T15:24:30Z,4.9,68,64
3,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[93.39575842276253, 27.293608310737657], [93.43105236532185, 27.137869822083477], [93.69468721838473, 27.184155756129332], [93.6586657120788, 27.340630248460453], [93.39575842276253, 27.293608310737657]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043819_23_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043819_23_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043819_23_1067/thumb,20191104_043819_23_1067,2019-11-04T04:38:19.232563Z,0.0,97,93,0.01,6,9884,32646,True,4.0,0,PS2.SD,PSScene4Band,0,539160,3024339,3,planetscope,2019-11-29T15:24:30Z,finalized,standard,7520,1067,2,0,2809684,161.6,45.7,2019-11-29T15:24:30Z,4.9,83,94
4,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[93.62487084898284, 26.265544556093847], [93.65944831062626, 26.109372507361208], [93.92135205959997, 26.155465931599775], [93.88712455432895, 26.312608049910253], [93.62487084898284, 26.265544556093847]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043802_88_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043802_88_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043802_88_1067/thumb,20191104_043802_88_1067,2019-11-04T04:38:02.880545Z,0.0,92,66,0.13,32,9898,32646,True,4.0,0,PS2.SD,PSScene4Band,0,562395,2910609,3,planetscope,2019-11-29T15:16:25Z,finalized,standard,7549,1067,2,0,2809684,161.5,46.7,2019-11-29T15:16:25Z,5.0,66,68
5,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[95.20338550505075, 28.004129491735508], [95.23908504868147, 27.846609193404433], [95.50701786356152, 27.8935504738253], [95.47156262344122, 28.05195120613077], [95.20338550505075, 28.004129491735508]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043035_49_106b,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043035_49_106b/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043035_49_106b/thumb,20191104_043035_49_106b,2019-11-04T04:30:35.491089Z,0.0,97,100,0.07,0,10040,32646,True,4.1,0,PS2.SD,PSScene4Band,0,716664,3105423,3,planetscope,2019-11-29T15:16:25Z,finalized,test,7734,106b,0,0,2809259,161.7,44.9,2019-11-29T15:16:25Z,5.0,74,100
6,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[93.30871522392562, 27.679601815795344], [93.34324247226967, 27.524024547731113], [93.60864377628724, 27.570138383018392], [93.5739460622694, 27.726948912432174], [93.30871522392562, 27.679601815795344]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043825_36_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043825_36_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043825_36_1067/thumb,20191104_043825_36_1067,2019-11-04T04:38:25.364636Z,0.0,94,66,0.16,28,9880,32646,True,4.0,0,PS2.SD,PSScene4Band,0,530442,3067089,3,planetscope,2019-11-29T15:16:22Z,finalized,standard,7522,1067,6,0,2809684,161.7,45.3,2019-11-29T15:16:22Z,4.9,72,72
7,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[95.17261205171256, 28.133923088450693], [95.20859095884498, 27.976706567753585], [95.476879245833, 28.023600614956518], [95.44067374765818, 28.18170346762801], [95.17261205171256, 28.133923088450693]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043037_53_106b,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043037_53_106b/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043037_53_106b/thumb,20191104_043037_53_106b,2019-11-04T04:30:37.538958Z,0.0,98,99,0.03,0,10048,32646,True,4.1,0,PS2.SD,PSScene4Band,0,713379,3119742,3,planetscope,2019-11-29T15:16:16Z,finalized,test,7719,106b,0,0,2809259,161.7,44.8,2019-11-29T15:16:16Z,5.1,71,100
8,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[93.36623508067642, 27.421445799304287], [93.40227221566278, 27.266064813252637], [93.66570839949182, 27.312400784454255], [93.63163856702552, 27.469276123671442], [93.36623508067642, 27.421445799304287]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043821_27_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043821_27_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043821_27_1067/thumb,20191104_043821_27_1067,2019-11-04T04:38:21.276762Z,0.0,97,82,0.09,14,9889,32646,True,4.1,0,PS2.SD,PSScene4Band,0,536199,3038574,3,planetscope,2019-11-29T15:16:13Z,finalized,standard,7536,1067,3,0,2809684,161.6,45.5,2019-11-29T15:16:13Z,4.9,75,86
9,assets.analytic_sr:download,94.2459,27.0678,"{'type': 'Polygon', 'coordinates': [[[93.2459, 26.0678], [95.2459, 26.0678], [95.2459, 28.0678], [93.2459, 28.0678], [93.2459, 26.0678]]]}","[[[93.56784916976257, 26.522580921036756], [93.60209089515881, 26.366449771548947], [93.86477883128137, 26.412579055423], [93.8304874490073, 26.56974465775037], [93.56784916976257, 26.522580921036756]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043806_96_1067,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043806_96_1067/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191104_043806_96_1067/thumb,20191104_043806_96_1067,2019-11-04T04:38:06.968943Z,0.0,89,69,0.09,29,9890,32646,True,4.0,0,PS2.SD,PSScene4Band,0,556575,2939052,3,planetscope,2019-11-29T15:12:23Z,finalized,standard,7549,1067,2,0,2809684,161.5,46.4,2019-11-29T15:12:23Z,5.0,64,71
