,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[75.34967636329907, 26.121408155983875], [75.59715995328983, 26.075806678954514], [75.5810568349702, 26.00344553605126], [75.33345579081964, 26.04886791861405], [75.34689701410184, 26.109852410839945], [75.34711448581257, 26.109812546090907], [75.34967636329907, 26.121408155983875]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051339_103c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051339_103c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051339_103c/thumb,20190922_051339_103c,2019-09-22T05:13:39.855935Z,0.01,91,82,0.08,12,8790,32643,True,3.8,0,PS2,PSScene4Band,0,533355,2889177,3,planetscope,2019-09-23T04:35:02Z,finalized,standard,4328,103c,6,0,2695278,133.9,55.5,2019-09-23T04:35:02Z,3.0,79,88
1,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[75.2912970439175, 25.857107000094185], [75.53697721113143, 25.811749068115038], [75.52087542182613, 25.739412615681665], [75.27448908265886, 25.78463282573547], [75.28795611332147, 25.846100090698542], [75.28883926179432, 25.845938001106287], [75.2912970439175, 25.857107000094185]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051344_103c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051344_103c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051344_103c/thumb,20190922_051344_103c,2019-09-22T05:13:44.006199Z,0.03,79,56,0.24,38,8769,32643,True,3.8,0,PS2,PSScene4Band,0,527520,2859894,3,planetscope,2019-09-23T04:34:44Z,finalized,standard,4322,103c,6,0,2695278,133.6,55.6,2019-09-23T04:34:44Z,3.0,71,62
2,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[75.30554652375443, 25.923311570877754], [75.55272008876656, 25.877645114465903], [75.53660329456105, 25.80526062628071], [75.28985735568422, 25.85056456646313], [75.30235532135916, 25.90735957878684], [75.30204645003695, 25.907415928486007], [75.30554652375443, 25.923311570877754]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051342_103c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051342_103c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051342_103c/thumb,20190922_051342_103c,2019-09-22T05:13:42.968633Z,0.02,80,54,0.24,39,8777,32643,True,3.8,0,PS2,PSScene4Band,0,529044,2867229,3,planetscope,2019-09-23T04:34:34Z,finalized,standard,4334,103c,7,0,2695278,133.7,55.6,2019-09-23T04:34:34Z,3.0,72,61
3,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[75.3560348327615, 26.150187959776602], [75.36172268886233, 26.175256228666807], [75.36199547763832, 26.17520631361506], [75.3645796801318, 26.186928320062606], [75.6122181923564, 26.14133202909718], [75.5997248391761, 26.085252807503675], [75.59600073032088, 26.068984807660442], [75.34813531519868, 26.114433040002503], [75.3560348327615, 26.150187959776602]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051338_103c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051338_103c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051338_103c/thumb,20190922_051338_103c,2019-09-22T05:13:38.818369Z,0.0,94,91,0.04,6,8798,32643,True,3.8,0,PS2,PSScene4Band,0,534804,2896437,3,planetscope,2019-09-23T04:34:30Z,finalized,standard,4326,103c,2,0,2695278,134.0,55.4,2019-09-23T04:34:30Z,3.0,78,94
4,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[75.27602635523071, 25.791649364337193], [75.52183918106687, 25.74622105722476], [75.50582875285876, 25.67398695965826], [75.25910939057108, 25.71949487768031], [75.27243695590259, 25.780198214867802], [75.27347573630189, 25.78000763176485], [75.27602635523071, 25.791649364337193]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051345_103c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051345_103c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051345_103c/thumb,20190922_051345_103c,2019-09-22T05:13:45.043765Z,0.03,80,55,0.25,37,8783,32643,True,3.8,0,PS2,PSScene4Band,0,525990,2852640,3,planetscope,2019-09-23T04:34:19Z,finalized,standard,4321,103c,8,0,2695278,133.5,55.7,2019-09-23T04:34:19Z,3.0,68,63
5,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[75.56603791738974, 25.93779295121008], [75.31873162388963, 25.983119081839636], [75.33518513057443, 26.055614637742014], [75.5826094129784, 26.010064291019052], [75.57882979825636, 25.993575269731398], [75.57881137753702, 25.993578632456842], [75.56603791738974, 25.93779295121008]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051340_103c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051340_103c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051340_103c/thumb,20190922_051340_103c,2019-09-22T05:13:40.893501Z,0.01,88,76,0.11,17,8801,32643,True,3.8,0,PS2,PSScene4Band,0,531900,2881887,3,planetscope,2019-09-23T04:34:16Z,finalized,standard,4324,103c,6,0,2695278,133.8,55.5,2019-09-23T04:34:16Z,3.0,77,83
6,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[75.55153545010315, 25.871708384762748], [75.30448075924338, 25.916928190748088], [75.32090791591902, 25.98941420399836], [75.56747184348951, 25.944055353363574], [75.56498420751247, 25.933191071792752], [75.56559009880654, 25.93308005501591], [75.55153545010315, 25.871708384762748]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051341_103c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051341_103c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051341_103c/thumb,20190922_051341_103c,2019-09-22T05:13:41.931067Z,0.0,84,71,0.14,24,8776,32643,True,3.8,0,PS2,PSScene4Band,0,530493,2874552,3,planetscope,2019-09-23T04:33:58Z,finalized,standard,4320,103c,6,0,2695278,133.8,55.6,2019-09-23T04:33:58Z,3.0,73,76
7,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[75.21059645637573, 25.501563184974074], [75.21697433488382, 25.52989938169927], [75.46309035991209, 25.48434254711387], [75.46057920690515, 25.47330050339121], [75.4610281563362, 25.473218152827343], [75.45131671032128, 25.428868699698654], [75.4474816493448, 25.411856691573576], [75.20092420727865, 25.457348295103667], [75.21059645637573, 25.501563184974074]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051349_103c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051349_103c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051349_103c/thumb,20190922_051349_103c,2019-09-22T05:13:49.194028Z,0.01,74,50,0.27,43,8783,32643,True,3.8,0,PS2,PSScene4Band,0,520197,2823645,3,planetscope,2019-09-23T04:33:56Z,finalized,standard,4339,103c,7,0,2695278,133.2,55.8,2019-09-23T04:33:56Z,3.0,56,57
8,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[74.78271018250749, 26.431732391908767], [74.7860654891415, 26.44653818203692], [74.78761229701712, 26.44625860833634], [74.7902173972922, 26.458139683232794], [75.03967915493114, 26.41256457176785], [75.02477068953083, 26.345264268020735], [75.02348552218476, 26.339609709992875], [74.7725200728784, 26.385176660723996], [74.78271018250749, 26.431732391908767]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051702_0f17,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051702_0f17/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051702_0f17/thumb,20190922_051702_0f17,2019-09-22T05:17:02.53438Z,0.03,79,65,0.19,30,8883,32643,True,3.9,0,PS2,PSScene4Band,0,477309,2926440,3,planetscope,2019-09-23T04:27:06Z,finalized,standard,4382,0f17,5,0,2695288,134.8,55.5,2019-09-23T04:27:06Z,4.0,60,70
9,assets.analytic_sr:download,74.3521,25.3928,"{'type': 'Polygon', 'coordinates': [[[73.3521, 24.3928], [75.3521, 24.3928], [75.3521, 26.3928], [73.3521, 26.3928], [73.3521, 24.3928]]]}","[[[74.99438336507458, 26.207780048879854], [74.74388739946153, 26.253255793246545], [74.76042179905559, 26.32643680953972], [75.01012797734693, 26.280820452922306], [75.00750151917386, 26.269302043880668], [75.00839512545626, 26.269139549971612], [74.99438336507458, 26.207780048879854]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051704_0f17,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051704_0f17/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_051704_0f17/thumb,20190922_051704_0f17,2019-09-22T05:17:04.616853Z,0.08,81,54,0.29,42,8863,32643,True,3.9,0,PS2,PSScene4Band,0,474423,2911860,3,planetscope,2019-09-23T04:27:00Z,finalized,standard,4389,0f17,4,0,2695288,134.6,55.6,2019-09-23T04:27:00Z,4.0,67,58
