,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[78.29531622247269, 23.64632416500691], [78.04707694308857, 23.691978110160942], [78.06307762162183, 23.76513929605036], [78.31098163626095, 23.719200277630826], [78.30752513219996, 23.70354474684299], [78.30786046019234, 23.70348311621265], [78.29531622247269, 23.64632416500691]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045216_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045216_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045216_0e2f/thumb,20190922_045216_0e2f,2019-09-22T04:52:16.791927Z,0.0,57,24,0.21,6,8996,32644,True,3.9,24,PS2,PSScene4Band,46,198852,2631321,3,planetscope,2019-09-23T04:30:05Z,finalized,standard,4546,0e2f,0,0,2694892,128.1,55.3,2019-09-23T04:30:05Z,4.0,52,70
1,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[77.92400687041741, 23.125735457278314], [77.93155285983934, 23.1602970369805], [77.93195410196282, 23.16022337844089], [77.93534473652053, 23.176192088704376], [78.18252393797655, 23.130413961139833], [78.17484621887286, 23.094431496429618], [78.16674695884733, 23.05753945006], [77.9192235533761, 23.10308688189682], [77.92400687041741, 23.125735457278314]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045226_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045226_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045226_0e2f/thumb,20190922_045226_0e2f,2019-09-22T04:52:26.094893Z,0.01,84,80,0.15,19,9016,32644,True,3.9,0,PS2,PSScene4Band,0,184410,2566332,3,planetscope,2019-09-23T04:30:02Z,finalized,standard,4544,0e2f,1,0,2694892,127.3,55.6,2019-09-23T04:30:02Z,4.0,57,81
2,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[78.09166290667926, 23.89478722132846], [78.33912637543256, 23.84893521082924], [78.32350798726536, 23.776047832533564], [78.0750279177277, 23.82177505047659], [78.08733942495243, 23.87962776009902], [78.08839194667821, 23.879430433286064], [78.09166290667926, 23.89478722132846]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045214_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045214_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045214_0e2f/thumb,20190922_045214_0e2f,2019-09-22T04:52:14.72466Z,0.0,62,34,0.3,37,8994,32644,True,3.9,2,PS2,PSScene4Band,26,201999,2645625,3,planetscope,2019-09-23T04:30:02Z,finalized,standard,4541,0e2f,0,0,2694892,128.3,55.2,2019-09-23T04:30:02Z,4.0,54,60
3,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[78.41079563923051, 24.169260667241428], [78.16181229297224, 24.214740665558104], [78.17788493529942, 24.287847473525854], [78.42649738880193, 24.242167915063636], [78.42318183107314, 24.227254377405938], [78.4236475312036, 24.227169199877263], [78.41079563923051, 24.169260667241428]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045208_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045208_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045208_0e2f/thumb,20190922_045208_0e2f,2019-09-22T04:52:08.522856Z,0.0,66,73,0.06,11,8985,32644,True,3.9,2,PS2,PSScene4Band,14,211725,2689002,3,planetscope,2019-09-23T04:30:02Z,finalized,standard,4534,0e2f,1,0,2694892,128.8,55.0,2019-09-23T04:30:02Z,4.0,54,87
4,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[78.12080953333621, 24.025134888594796], [78.36898429244737, 23.979377468295542], [78.35336333234932, 23.906408933011832], [78.1045919881894, 23.951978739031365], [78.11703464790457, 24.010289518332304], [78.11762926677758, 24.01018097428411], [78.12080953333621, 24.025134888594796]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045212_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045212_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045212_0e2f/thumb,20190922_045212_0e2f,2019-09-22T04:52:12.657392Z,0.0,69,29,0.14,36,8994,32644,True,3.9,11,PS2,PSScene4Band,23,205311,2660007,3,planetscope,2019-09-23T04:30:00Z,finalized,standard,4540,0e2f,0,0,2694892,128.4,55.1,2019-09-23T04:30:00Z,4.0,61,52
5,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[78.1493967331325, 24.1567002697224], [78.39861452013423, 24.110884949235206], [78.38297245364612, 24.037970465598605], [78.13375224931112, 24.08350245559252], [78.14605384133105, 24.141346688624274], [78.1461189901953, 24.141334799505433], [78.1493967331325, 24.1567002697224]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045210_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045210_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045210_0e2f/thumb,20190922_045210_0e2f,2019-09-22T04:52:10.590125Z,0.0,80,95,0.01,1,9001,32644,True,3.9,0,PS2,PSScene4Band,4,208575,2674527,3,planetscope,2019-09-23T04:29:59Z,finalized,standard,4540,0e2f,0,0,2694892,128.6,55.1,2019-09-23T04:29:59Z,4.0,60,99
6,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[78.30917334610585, 23.71100999586148], [78.06061094666245, 23.75672396381923], [78.07324564096658, 23.814307243291214], [78.07343143900134, 23.81427307541474], [78.07674326013604, 23.829835575028262], [78.32500845819483, 23.783840697710236], [78.31825634755292, 23.752149600008103], [78.30917334610585, 23.71100999586148]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045215_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045215_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045215_0e2f/thumb,20190922_045215_0e2f,2019-09-22T04:52:15.758031Z,0.0,57,20,0.22,21,9008,32644,True,3.9,20,PS2,PSScene4Band,39,200382,2638461,3,planetscope,2019-09-23T04:29:57Z,finalized,standard,4546,0e2f,0,0,2694892,128.2,55.2,2019-09-23T04:29:57Z,4.0,52,60
7,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[78.17400100236925, 23.19183391804706], [77.95671734818782, 23.23184930475565], [77.96570184963751, 23.288198688176088], [77.96550887184368, 23.288242739238825], [77.96599478812847, 23.290035952429207], [77.96652461116753, 23.293358919400777], [77.96687353803705, 23.29327886890778], [77.97016536809086, 23.305426955435976], [78.19640851275645, 23.263513602546684], [78.19047257475917, 23.24198097617692], [78.1909134947067, 23.241879820713535], [78.17400100236925, 23.19183391804706]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045224_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045224_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045224_0e2f/thumb,20190922_045224_0e2f,2019-09-22T04:52:24.027102Z,0.01,65,51,0.25,25,8205,32644,True,3.9,3,PS2,PSScene4Band,21,188553,2580576,3,planetscope,2019-09-23T04:29:56Z,finalized,standard,4337,0e2f,0,0,2694892,127.5,55.5,2019-09-23T04:29:56Z,4.0,55,72
8,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[78.13530466826813, 24.090802200517135], [78.38383057429884, 24.045110707762298], [78.36826403613343, 23.972194303415005], [78.11922545560469, 24.017686405198173], [78.13164719071668, 24.07609457917679], [78.13215703628657, 24.076001485492263], [78.13530466826813, 24.090802200517135]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045211_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045211_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045211_0e2f/thumb,20190922_045211_0e2f,2019-09-22T04:52:11.623496Z,0.0,82,91,0.01,0,8997,32644,True,3.9,1,PS2,PSScene4Band,7,206949,2667255,3,planetscope,2019-09-23T04:29:56Z,finalized,standard,4536,0e2f,0,0,2694892,128.5,55.1,2019-09-23T04:29:56Z,3.9,63,99
9,assets.analytic_sr:download,77.3956,24.1511,"{'type': 'Polygon', 'coordinates': [[[76.3956, 23.1511], [78.3956, 23.1511], [78.3956, 25.1511], [76.3956, 25.1511], [76.3956, 23.1511]]]}","[[[78.0441764640703, 23.57451427430843], [78.26832487849, 23.522585637657844], [78.24797653351654, 23.448577876302707], [78.02358827160627, 23.50022631413887], [78.0441764640703, 23.57451427430843]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045219_0e2f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045219_0e2f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190922_045219_0e2f/thumb,20190922_045219_0e2f,2019-09-22T04:52:19.892567Z,0.02,67,41,0.26,38,8353,32644,True,3.6,7,PS2,PSScene4Band,13,196014,2610237,3,planetscope,2019-09-23T04:29:55Z,finalized,standard,4791,0e2f,0,0,2694892,127.8,55.4,2019-09-23T04:29:55Z,4.0,56,55
