,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[100.92800758602085, -2.152716784217078], [100.70501440503621, -2.108615037776903], [100.7192787558781, -2.036237113488745], [100.94208629264054, -2.080137100315302], [100.9395573265183, -2.092965203469687], [100.93980381716027, -2.093014002119163], [100.92800758602085, -2.152716784217078]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031945_1040,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031945_1040/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031945_1040/thumb,20200426_031945_1040,2020-04-26T03:19:45.406372Z,0.04,72,50,0.3,27,8794,32747,True,3.8,2,PS2,PSScene4Band,5,689625,9774834,3,planetscope,2020-04-26T18:06:49Z,finalized,standard,4304,1040,16,0,3349128,60.2,57.5,2020-04-27T04:51:13Z,0.0,60,71
1,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[100.94061850497447, -2.087582408270823], [100.7175122151411, -2.043420840514346], [100.73183976196725, -1.970968858228247], [100.9545090775195, -2.014868583038954], [100.95196427612845, -2.027772144041447], [100.95216783700037, -2.027812356007547], [100.94687869012272, -2.055827810950988], [100.94061850497447, -2.087582408270823]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031944_1040,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031944_1040/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031944_1040/thumb,20200426_031944_1040,2020-04-26T03:19:44.382437Z,0.02,73,41,0.29,20,8792,32747,True,3.8,13,PS2,PSScene4Band,11,691023,9782049,3,planetscope,2020-04-26T18:06:49Z,finalized,standard,4308,1040,15,0,3349128,60.3,57.5,2020-04-27T04:37:46Z,0.0,56,67
2,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[100.96523925590292, -1.957118789982013], [100.7423191074749, -1.913124160717532], [100.7566535962078, -1.840576334142716], [100.9790615489448, -1.884439569121086], [100.97652620237712, -1.897318585871432], [100.97694656654866, -1.897401448642422], [100.96523925590292, -1.957118789982013]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031942_1040,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031942_1040/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031942_1040/thumb,20200426_031942_1040,2020-04-26T03:19:42.335093Z,0.01,70,59,0.24,25,8783,32747,True,3.8,2,PS2,PSScene4Band,7,693798,9796467,3,planetscope,2020-04-26T18:06:49Z,finalized,standard,4306,1040,7,0,3349128,60.4,57.6,2020-04-27T04:37:58Z,0.1,57,72
3,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[100.97758512830646, -1.891939469282353], [100.75453070144897, -1.847967035383906], [100.76885564711507, -1.775418103462268], [100.99158190868958, -1.819357163300508], [100.98912662419619, -1.832021050941752], [100.98937110234989, -1.832069249147716], [100.97758512830646, -1.891939469282353]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031941_1040,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031941_1040/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_031941_1040/thumb,20200426_031941_1040,2020-04-26T03:19:41.311158Z,0.02,81,59,0.22,17,8795,32747,True,3.8,12,PS2,PSScene4Band,8,695163,9803670,3,planetscope,2020-04-26T18:06:49Z,finalized,standard,4305,1040,5,0,3349128,60.5,57.6,2020-04-27T04:37:26Z,0.0,63,72
4,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[102.52546138938432, -2.920540073010624], [102.51487701098435, -2.86289111705384], [102.72356946666136, -2.823848870433235], [102.72583220240541, -2.836092610701626], [102.72612369952836, -2.836038135960957], [102.72916738544357, -2.852169118725345], [102.73637251480717, -2.89109138140123], [102.5272600735293, -2.930123431471668], [102.52546138938432, -2.920540073010624]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_020454_1052,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_020454_1052/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_020454_1052/thumb,20200426_020454_1052,2020-04-26T02:04:54.526968Z,0.02,35,3,0.15,79,8216,32748,False,3.6,0,PS2,PSScene4Band,18,223722,9687630,3,planetscope,2020-04-26T14:14:36Z,finalized,test,3935,1052,0,0,3348538,68.8,41.7,2020-04-27T04:34:47Z,2.0,42,21
5,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[102.00803940568271, -1.3392614003769063], [102.03616325394178, -1.4864825922081144], [102.25571806313624, -1.4440397649450336], [102.22749481888017, -1.2966973477342563], [102.00803940568271, -1.3392614003769063]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040831_42_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040831_42_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040831_42_106a/thumb,20200426_040831_42_106a,2020-04-26T04:08:31.425126Z,0.0,69,37,0.25,51,9201,32748,True,3.8,0,PS2.SD,PSScene4Band,11,167007,9856509,3,planetscope,2020-04-26T12:15:53Z,finalized,standard,7011,106a,1,0,3348257,44.6,68.7,2020-04-27T04:22:45Z,0.4,57,49
6,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[102.02675060299833, -1.4371149578442366], [102.05490570641828, -1.5843101883958384], [102.27445935761062, -1.5418846430237467], [102.24627367879218, -1.394594541909307], [102.02675060299833, -1.4371149578442366]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040829_89_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040829_89_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040829_89_106a/thumb,20200426_040829_89_106a,2020-04-26T04:08:29.892632Z,0.0,68,35,0.23,57,9202,32748,True,3.8,0,PS2.SD,PSScene4Band,7,169104,9845676,3,planetscope,2020-04-26T12:15:53Z,finalized,standard,7008,106a,1,0,3348257,44.4,68.7,2020-04-27T04:22:01Z,0.4,57,42
7,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[102.04600947617628, -1.5349071224268611], [102.07430091723893, -1.6818356063043058], [102.29374762347071, -1.639484969716563], [102.26556775824774, -1.4923633560366996], [102.04600947617628, -1.5349071224268611]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040828_36_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040828_36_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040828_36_106a/thumb,20200426_040828_36_106a,2020-04-26T04:08:28.360139Z,0.0,72,37,0.25,60,9203,32748,True,3.8,0,PS2.SD,PSScene4Band,1,171264,9834861,3,planetscope,2020-04-26T12:15:53Z,finalized,standard,7000,106a,1,0,3348257,44.2,68.6,2020-04-27T04:22:13Z,0.4,58,39
8,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[102.06497666745908, -1.632534176572097], [102.09330068653277, -1.7793645800464797], [102.31261714052631, -1.7369460638045482], [102.28458500554162, -1.590010647239066], [102.06497666745908, -1.632534176572097]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040826_82_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040826_82_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040826_82_106a/thumb,20200426_040826_82_106a,2020-04-26T04:08:26.827121Z,0.0,70,33,0.26,66,9199,32748,True,3.8,0,PS2.SD,PSScene4Band,0,173391,9824058,3,planetscope,2020-04-26T12:15:53Z,finalized,standard,6996,106a,1,0,3348257,44.0,68.6,2020-04-27T04:22:59Z,0.4,56,34
9,assets.analytic_sr:download,101.867,-2.11727,"{'type': 'Polygon', 'coordinates': [[[100.867, -3.11727], [102.867, -3.11727], [102.867, -1.11727], [100.867, -1.11727], [100.867, -3.11727]]]}","[[[102.10319393109867, -1.827736303521861], [102.13124788062659, -1.9745151502937197], [102.35083442803052, -1.9320255590710398], [102.32268608526248, -1.785161513451277], [102.10319393109867, -1.827736303521861]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040823_76_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040823_76_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200426_040823_76_106a/thumb,20200426_040823_76_106a,2020-04-26T04:08:23.762133Z,0.0,65,17,0.0,80,9199,32748,True,3.8,0,PS2.SD,PSScene4Band,1,177681,9802470,3,planetscope,2020-04-26T12:15:53Z,finalized,standard,6997,106a,2,0,3348257,43.6,68.4,2020-04-27T04:22:37Z,0.4,58,20
