,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[100.12328562346637, 1.780382779101896], [100.12021821980146, 1.797223572188159], [100.12037263004902, 1.797252616231465], [100.1183010588793, 1.808263363856192], [100.32698552414644, 1.847715784241566], [100.33985199177016, 1.779865922521206], [100.13076559071796, 1.740615543947257], [100.12328562346637, 1.780382779101896]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_023218_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_023218_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_023218_0f3d/thumb,20191230_023218_0f3d,2019-12-30T02:32:18.712965Z,0.05,49,43,0.1,43,8217,32647,True,3.6,0,PS2,PSScene4Band,10,624384,204285,3,planetscope,2019-12-31T04:18:43Z,finalized,standard,3953,0f3d,5,0,2983855,123.7,41.7,2019-12-31T04:18:43Z,4.0,50,57
1,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[99.95074764544214, 2.725153191630111], [100.15640789620042, 2.765347080505875], [100.16963587752768, 2.69738577430701], [99.9626780949566, 2.657518061134563], [99.95224664693046, 2.714661329017909], [99.95261557162935, 2.714732932911788], [99.95074764544214, 2.725153191630111]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_023233_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_023233_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_023233_0f3d/thumb,20191230_023233_0f3d,2019-12-30T02:32:33.020261Z,0.0,38,9,0.24,75,8113,32647,False,3.5,11,PS2,PSScene4Band,4,605679,305721,3,planetscope,2019-12-31T04:18:10Z,finalized,test,3981,0f3d,1,0,2983855,124.3,41.1,2019-12-31T04:18:10Z,4.0,41,14
2,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[99.99844654729245, 2.457692500573681], [99.99472742488493, 2.478890791071425], [100.20320780408977, 2.519661476146798], [100.20528946133457, 2.508606200371535], [100.20552298137169, 2.508651358045485], [100.21619651537485, 2.454230701852908], [100.21689464049804, 2.450565943944051], [100.00700802487266, 2.410477006645823], [99.99844654729245, 2.457692500573681]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_023229_0f3d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_023229_0f3d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_023229_0f3d/thumb,20191230_023229_0f3d,2019-12-30T02:32:29.205017Z,0.0,38,7,0.12,87,8236,32647,False,3.6,1,PS2,PSScene4Band,4,610590,278562,3,planetscope,2019-12-31T04:18:05Z,finalized,test,4030,0f3d,0,0,2983855,124.1,41.3,2019-12-31T04:18:05Z,4.0,42,12
3,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[101.05442109983048, 2.455856879779038], [100.8453138064837, 2.416443044588219], [100.83523747249849, 2.472859180871999], [101.04436049386003, 2.512370555617075], [101.04500051516816, 2.508895951963733], [101.05442109983048, 2.455856879779038]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_022847_0f33,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_022847_0f33/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_022847_0f33/thumb,20191230_022847_0f33,2019-12-30T02:28:47.13079Z,0.01,94,98,0.07,2,8129,32647,False,3.6,0,PS2,PSScene4Band,0,704061,277875,3,planetscope,2019-12-31T04:15:01Z,finalized,test,3549,0f33,0,0,2983703,124.1,41.3,2019-12-31T04:15:01Z,3.0,64,98
4,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[101.06579851168692, 2.394120765560253], [100.85675884946393, 2.354889120941688], [100.84451031659123, 2.422917333562725], [101.05326926407548, 2.462341859421398], [101.05532644568167, 2.450759669183887], [101.0554547290253, 2.450783837388172], [101.06055352139322, 2.42352015148091], [101.06579851168692, 2.394120765560253]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_022846_0f33,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_022846_0f33/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_022846_0f33/thumb,20191230_022846_0f33,2019-12-30T02:28:46.178158Z,0.0,93,99,0.01,1,8208,32647,False,3.6,0,PS2,PSScene4Band,0,705099,272343,3,planetscope,2019-12-31T04:14:56Z,finalized,test,3973,0f33,0,0,2983703,124.1,41.3,2019-12-31T04:14:56Z,3.0,81,99
5,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[100.85860480558337, 2.344914242515943], [100.85565426802295, 2.361283690019303], [101.06449197608751, 2.400563379044396], [101.07721413560508, 2.332478071346666], [100.86817634136393, 2.293359821012003], [100.8586189125006, 2.344916884293972], [100.85860480558337, 2.344914242515943]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_022845_0f33,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_022845_0f33/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_022845_0f33/thumb,20191230_022845_0f33,2019-12-30T02:28:45.225527Z,0.0,93,97,0.19,3,8219,32647,False,3.6,0,PS2,PSScene4Band,0,706347,265512,3,planetscope,2019-12-31T04:13:59Z,finalized,test,3964,0f33,0,0,2983703,124.1,41.3,2019-12-31T04:13:59Z,3.1,70,97
6,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[99.26874395129086, 0.941061722592278], [99.04557638503223, 0.984894323531504], [99.05994238022515, 1.057299764751236], [99.28263401203898, 1.013670910031054], [99.27129762765769, 0.954048413205613], [99.26874395129086, 0.941061722592278]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032628_1009,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032628_1009/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032628_1009/thumb,20191230_032628_1009,2019-12-30T03:26:28.004797Z,0.02,83,89,0.06,7,8793,32647,True,3.8,0,PS2,PSScene4Band,2,505068,116865,3,planetscope,2019-12-31T04:09:34Z,finalized,standard,4283,1009,3,0,2983737,131.8,52.4,2019-12-31T04:09:34Z,1.0,66,93
7,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[99.42806502363504, 2.966857782613373], [99.43670788728697, 3.010677522218655], [99.43698176345173, 3.010623723158685], [99.43911288271774, 3.021765515893015], [99.66250736455463, 2.977767578493707], [99.65917193656361, 2.960462018519221], [99.65910451154498, 2.960475251406396], [99.64823891388038, 2.905184977308254], [99.42467597081061, 2.949167957902117], [99.42806502363504, 2.966857782613373]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032557_1009,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032557_1009/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032557_1009/thumb,20191230_032557_1009,2019-12-30T03:25:57.114796Z,0.01,60,60,0.15,15,8810,32647,True,3.8,0,PS2,PSScene4Band,23,547194,334011,3,planetscope,2019-12-31T04:09:25Z,finalized,standard,4293,1009,1,0,2983737,133.8,51.2,2019-12-31T04:09:25Z,1.0,55,84
8,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[99.0629858564044, 1.076128671465357], [99.06993824118005, 1.111329005972198], [99.07028242971211, 1.111261404262335], [99.07254287990395, 1.123005946902253], [99.29545362353515, 1.079116776766086], [99.28160518972417, 1.006528984179142], [99.0580128457817, 1.050349479609593], [99.0629858564044, 1.076128671465357]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032626_1009,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032626_1009/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032626_1009/thumb,20191230_032626_1009,2019-12-30T03:26:26.975095Z,0.01,67,84,0.06,6,8806,32647,True,3.8,0,PS2,PSScene4Band,8,506454,124128,3,planetscope,2019-12-31T04:09:22Z,finalized,test,4292,1009,2,0,2983737,131.9,52.3,2019-12-31T04:09:22Z,1.0,61,94
9,assets.analytic_sr:download,100.184,1.94961,"{'type': 'Polygon', 'coordinates': [[[99.184, 0.9496100000000001], [101.184, 0.9496100000000001], [101.184, 2.94961], [99.184, 2.94961], [99.184, 0.9496100000000001]]]}","[[[99.59841508001868, 2.643246452084985], [99.37522169201227, 2.687176296674544], [99.3895529152318, 2.759755241757029], [99.61226390236084, 2.715902633690236], [99.61000542874747, 2.704440458360029], [99.6104415380067, 2.704354672541394], [99.59841508001868, 2.643246452084985]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032601_1009,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032601_1009/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191230_032601_1009/thumb,20191230_032601_1009,2019-12-30T03:26:01.233078Z,0.01,65,75,0.09,16,8783,32647,True,3.8,0,PS2,PSScene4Band,6,541707,305046,3,planetscope,2019-12-31T04:09:22Z,finalized,standard,4290,1009,2,0,2983737,133.6,51.4,2019-12-31T04:09:22Z,1.0,56,84
