,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[107.64948376879752, -6.464697256978781], [107.6202708471632, -6.612632771648167], [107.84258998082099, -6.656196704946292], [107.8716277588472, -6.508949734730213], [107.64948376879752, -6.464697256978781]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_031107_17_105e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_031107_17_105e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_031107_17_105e/thumb,20200309_031107_17_105e,2020-03-09T03:11:07.175228Z,0.0,88,77,0.11,1,9295,32748,True,3.8,3,PS2.SD,PSScene4Band,19,789741,9284664,3,planetscope,2020-03-10T00:59:49Z,finalized,standard,7104,105e,0,0,3212786,86.5,63.3,2020-03-10T03:59:51Z,5.0,66,96
1,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[107.67472367793017, -6.333552901748289], [107.64542869758841, -6.481404843334087], [107.8677309344041, -6.525015683276795], [107.89681855100406, -6.377814242709577], [107.67472367793017, -6.333552901748289]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_031105_12_105e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_031105_12_105e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_031105_12_105e/thumb,20200309_031105_12_105e,2020-03-09T03:11:05.124213Z,0.0,84,67,0.08,2,9298,32748,True,3.8,5,PS2.SD,PSScene4Band,25,792603,9299163,3,planetscope,2020-03-10T00:59:49Z,finalized,standard,7103,105e,0,0,3212786,86.7,63.3,2020-03-10T04:00:35Z,5.0,59,93
2,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[107.70124407409176, -6.203099960056624], [107.67190868052054, -6.350999663088628], [107.89416584950143, -6.394576220266117], [107.9232344495839, -6.247344823529246], [107.70124407409176, -6.203099960056624]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_031103_07_105e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_031103_07_105e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_031103_07_105e/thumb,20200309_031103_07_105e,2020-03-09T03:11:03.073199Z,0.0,88,90,0.1,0,9298,32748,True,3.8,0,PS2.SD,PSScene4Band,10,795609,9313584,3,planetscope,2020-03-10T00:59:49Z,finalized,standard,7103,105e,0,0,3212786,87.0,63.4,2020-03-10T03:59:57Z,5.0,68,100
3,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[106.85761620623921, -5.980334618364867], [106.85796712966167, -5.978584062897695], [106.85816113347535, -5.97862233289258], [106.86038098515705, -5.967260002355723], [107.08917121736333, -6.012842013735343], [107.07597166507718, -6.080798603143451], [107.0748400281727, -6.086455593183916], [106.84571394091388, -6.041240053168835], [106.85761620623921, -5.980334618364867]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025053_103e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025053_103e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025053_103e/thumb,20200309_025053_103e,2020-03-09T02:50:53.878231Z,0.01,51,37,0.21,38,8990,32748,True,3.9,12,PS2,PSScene4Band,6,704283,9340068,3,planetscope,2020-03-09T16:41:09Z,finalized,standard,4424,103e,7,0,3213649,88.5,57.5,2020-03-10T04:28:59Z,5.0,48,50
4,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[106.86549687141766, -5.941074293120574], [106.87359811492836, -5.900824071730682], [107.10208546368699, -5.946386309026737], [107.0999125891641, -5.957257324667824], [107.1002765765219, -5.957329167701336], [107.09407844756907, -5.989288379286116], [107.08792894483432, -6.01999936135175], [106.85890820901828, -5.974798420094875], [106.86549687141766, -5.941074293120574]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025052_103e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025052_103e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025052_103e/thumb,20200309_025052_103e,2020-03-09T02:50:52.827558Z,0.01,84,90,0.05,8,8981,32748,True,3.9,1,PS2,PSScene4Band,0,705768,9347412,3,planetscope,2020-03-09T16:41:09Z,finalized,standard,4424,103e,2,0,3213649,88.6,57.6,2020-03-10T04:28:23Z,5.0,59,91
5,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[107.10067173377303, -5.953459280726262], [106.87191381866471, -5.908285702959799], [106.88450014826475, -5.845718396751683], [107.11317622187585, -5.890898610831254], [107.10067173377303, -5.953459280726262]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025051_103e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025051_103e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025051_103e/thumb,20200309_025051_103e,2020-03-09T02:50:51.776885Z,0.01,90,100,0.0,0,8911,32748,True,3.9,0,PS2,PSScene4Band,0,707232,9353502,3,planetscope,2020-03-09T16:41:09Z,finalized,standard,4002,103e,0,0,3213649,88.7,57.6,2020-03-10T04:29:03Z,5.0,82,100
6,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[107.3624724094477, -6.02415411056893], [107.36944705470793, -5.988744574683772], [107.59731500417253, -6.032562826427537], [107.58527957456167, -6.095525531326932], [107.35727543086662, -6.051307725193704], [107.3624724094477, -6.02415411056893]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025132_1003,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025132_1003/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_025132_1003/thumb,20200309_025132_1003,2020-03-09T02:51:32.411211Z,0.01,85,98,0.04,1,8866,32748,True,3.9,0,PS2,PSScene4Band,0,760926,9337476,3,planetscope,2020-03-09T12:22:54Z,finalized,standard,3976,1003,0,0,3212761,88.7,57.4,2020-03-10T04:17:02Z,5.0,62,99
7,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[107.78724749200285, -6.113829813466283], [107.79816582516762, -6.171152219168259], [107.59492684448647, -6.209002762567876], [107.58415957531761, -6.152257867146718], [107.78724749200285, -6.113829813466283]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_015306_1049,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_015306_1049/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_015306_1049/thumb,20200309_015306_1049,2020-03-09T01:53:06.645252Z,0.0,66,96,0.09,1,7899,32748,True,3.5,0,PS2,PSScene4Band,3,786000,9323415,3,planetscope,2020-03-09T10:40:29Z,finalized,standard,3476,1049,0,0,3212840,90.2,43.7,2020-03-10T04:37:10Z,2.0,50,99
8,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[107.60067691777031, -6.242611279700199], [107.59547132071314, -6.214146648098597], [107.595888156022, -6.214068998183921], [107.59397016839272, -6.203960956327096], [107.79715873533237, -6.166354875445359], [107.80274317584895, -6.19588220950331], [107.80942462039799, -6.232097671418539], [107.60583196972354, -6.269954603344235], [107.60067691777031, -6.242611279700199]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_015305_1049,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_015305_1049/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_015305_1049/thumb,20200309_015305_1049,2020-03-09T01:53:05.700485Z,0.0,61,60,0.09,10,7949,32748,True,3.5,21,PS2,PSScene4Band,9,787059,9317595,3,planetscope,2020-03-09T10:40:29Z,finalized,standard,3786,1049,0,0,3212840,90.1,43.7,2020-03-10T04:37:12Z,2.0,49,69
9,assets.analytic_sr:download,107.063,-6.45856,"{'type': 'Polygon', 'coordinates': [[[106.063, -7.45856], [108.063, -7.45856], [108.063, -5.45856], [106.063, -5.45856], [106.063, -7.45856]]]}","[[[107.89067365693187, -6.656902034355138], [107.68700109975784, -6.694490670970959], [107.67494279593207, -6.62859811432397], [107.87792954432399, -6.591089396217775], [107.87985443877614, -6.601560418533473], [107.88048088980027, -6.601444354120062], [107.89067365693187, -6.656902034355138]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_015259_1049,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200309_015259_1049/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200309_015259_1049/thumb,20200309_015259_1049,2020-03-09T01:52:59.087115Z,0.0,45,9,0.18,77,7953,32748,True,3.5,0,PS2,PSScene4Band,9,795780,9270537,3,planetscope,2020-03-09T10:40:29Z,finalized,standard,3776,1049,5,0,3212840,89.7,43.7,2020-03-10T04:37:01Z,2.0,47,23
