,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.48797450209818, -6.720162051238562], [108.45786471258029, -6.873566162031529], [108.68753320213801, -6.91906864455512], [108.7177711603095, -6.765882937640478], [108.48797450209818, -6.720162051238562]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200108_030428_60_1061,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200108_030428_60_1061/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200108_030428_60_1061/thumb,20200108_030428_60_1061,2020-01-08T03:04:28.606108Z,0.0,45,9,0.28,17,9562,32749,True,3.9,65,PS2.SD,PSScene4Band,9,219051,9256476,3,planetscope,2020-01-09T04:22:58Z,finalized,standard,7300,1061,0,0,3012334,123.8,60.0,2020-01-09T04:22:58Z,2.0,53,19
1,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.16917605093349, -6.360665220658981], [108.17484935091495, -6.332091768874927], [108.17554685360373, -6.332227677322186], [108.17770350675487, -6.321017576930489], [108.40314528940164, -6.364623185802237], [108.39311011863448, -6.41695023809407], [108.38911571681928, -6.437173636964401], [108.16292302467609, -6.393118742637477], [108.16917605093349, -6.360665220658981]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024926_0f28,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024926_0f28/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024926_0f28/thumb,20200107_024926_0f28,2020-01-07T02:49:26.160429Z,0.0,45,8,0.19,2,8861,32749,True,3.9,30,PS2,PSScene4Band,61,186126,9300462,3,planetscope,2020-01-08T04:07:56Z,finalized,standard,4244,0f28,0,0,3008645,121.4,56.0,2020-01-08T04:07:56Z,4.1,49,68
2,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.37636370470942, -6.502325462868659], [108.15049365207207, -6.458400930840055], [108.16487804322357, -6.386234475009786], [108.39056687194498, -6.429826532119259], [108.38826168878437, -6.441497525845759], [108.38838150269416, -6.441520872203376], [108.37636370470942, -6.502325462868659]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024927_0f28,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024927_0f28/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024927_0f28/thumb,20200107_024927_0f28,2020-01-07T02:49:27.186985Z,0.0,51,9,0.13,0,8854,32749,True,3.9,4,PS2,PSScene4Band,87,184791,9293238,3,planetscope,2020-01-08T04:07:48Z,finalized,standard,4242,0f28,0,0,3008645,121.3,56.0,2020-01-08T04:07:48Z,4.0,48,96
3,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.19076857618526, -6.255761746204016], [108.41593390815892, -6.299351164846997], [108.40200695692945, -6.371900404060279], [108.17640520917358, -6.327940573056284], [108.1881033200764, -6.267137201403965], [108.18855378758808, -6.267224986156571], [108.19076857618526, -6.255761746204016]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024925_0f28,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024925_0f28/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024925_0f28/thumb,20200107_024925_0f28,2020-01-07T02:49:25.133873Z,0.0,43,31,0.3,2,8836,32749,True,3.9,22,PS2,PSScene4Band,45,187581,9307692,3,planetscope,2020-01-08T04:07:44Z,finalized,standard,4244,0f28,0,0,3008645,121.5,55.9,2020-01-08T04:07:44Z,4.0,47,76
4,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.36433302817672, -6.567467397731451], [108.13824325032189, -6.523542777223367], [108.1525818122117, -6.451378390325881], [108.37784241362773, -6.494843868436411], [108.37550944000996, -6.506647653625787], [108.37628208049257, -6.50679797394899], [108.36433302817672, -6.567467397731451]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024928_0f28,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024928_0f28/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200107_024928_0f28/thumb,20200107_024928_0f28,2020-01-07T02:49:28.213541Z,0.0,50,16,0.22,3,8835,32749,True,3.9,12,PS2,PSScene4Band,69,183477,9286020,3,planetscope,2020-01-08T04:07:31Z,finalized,standard,4241,0f28,0,0,3008645,121.2,56.0,2020-01-08T04:07:31Z,4.1,51,85
5,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[107.2654804962433, -6.44755950267781], [107.05498163666793, -6.487387209686177], [107.04221671582316, -6.41921104835922], [107.25303184795669, -6.37919979456422], [107.25661030414301, -6.398318888423415], [107.25626636231473, -6.398384155118163], [107.2654804962433, -6.44755950267781]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_020608_0f44,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200107_020608_0f44/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200107_020608_0f44/thumb,20200107_020608_0f44,2020-01-07T02:06:08.718877Z,0.19,39,8,0.3,62,8232,32748,True,3.6,10,PS2,PSScene4Band,21,725877,9294333,3,planetscope,2020-01-08T04:02:42Z,finalized,standard,3959,0f44,0,0,3008821,115.8,45.8,2020-01-08T04:02:42Z,0.0,50,28
6,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.48130128194201, -7.469889246069261], [108.45097149677166, -7.622988452792946], [108.68286159290754, -7.66921280291273], [108.71336939117947, -7.515218047598798], [108.48130128194201, -7.469889246069261]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200106_030636_84_1057,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200106_030636_84_1057/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200106_030636_84_1057/thumb,20200106_030636_84_1057,2020-01-06T03:06:36.843764Z,0.0,76,44,0.2,46,9636,32749,True,4.0,0,PS2.SD,PSScene4Band,9,218754,9173514,3,planetscope,2020-01-07T04:25:25Z,finalized,test,7312,1057,1,0,3005333,123.4,60.4,2020-01-07T04:25:25Z,5.2,64,54
7,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.50627310408115, -7.342358686054309], [108.47567780673727, -7.495460155449876], [108.70746557579893, -7.541728640656114], [108.73800085430933, -7.38774564804559], [108.50627310408115, -7.342358686054309]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200106_030634_82_1057,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200106_030634_82_1057/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200106_030634_82_1057/thumb,20200106_030634_82_1057,2020-01-06T03:06:34.825779Z,0.0,63,33,0.16,29,9637,32749,True,4.0,4,PS2.SD,PSScene4Band,34,221400,9187641,3,planetscope,2020-01-07T04:25:24Z,finalized,standard,7314,1057,0,0,3005333,123.6,60.3,2020-01-07T04:25:24Z,5.1,59,67
8,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[107.43761860817393, -6.914490204293038], [107.46606377244734, -7.061747785149138], [107.68857168612888, -7.019070053397092], [107.65950981746784, -6.871271419121556], [107.43761860817393, -6.914490204293038]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200106_035653_97_1065,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200106_035653_97_1065/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200106_035653_97_1065/thumb,20200106_035653_97_1065,2020-01-06T03:56:53.975009Z,0.0,44,33,0.3,62,9229,32748,True,3.8,1,PS2.SD,PSScene4Band,4,769365,9239667,3,planetscope,2020-01-07T03:59:57Z,finalized,standard,6988,1065,0,0,3005194,138.9,68.9,2020-01-07T03:59:57Z,4.0,48,36
9,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.32170287529209, -7.331846391035589], [108.3256540641375, -7.312753558856342], [108.32585972802532, -7.312793883731953], [108.32795326609654, -7.302105045366748], [108.55250974596923, -7.346120455873631], [108.53946889685959, -7.419006744944272], [108.31332114483364, -7.374191863382261], [108.32170287529209, -7.331846391035589]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200106_024525_100a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200106_024525_100a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200106_024525_100a/thumb,20200106_024525_100a,2020-01-06T02:45:25.782013Z,0.0,43,1,0.19,41,8803,32749,True,3.8,29,PS2,PSScene4Band,29,203388,9191982,3,planetscope,2020-01-07T03:57:58Z,finalized,standard,4269,100a,0,0,3006210,120.0,56.1,2020-01-07T03:57:58Z,1.0,54,30
10,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.35693513062019, -7.380060258737687], [108.57742977329818, -7.408681910906258], [108.56793137651533, -7.482463613861402], [108.34305695872669, -7.453277810399417], [108.35090006653817, -7.392640543237141], [108.3552293814571, -7.393210313997093], [108.35693513062019, -7.380060258737687]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200105_024446_1029,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200105_024446_1029/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200105_024446_1029/thumb,20200105_024446_1029,2020-01-05T02:44:46.655882Z,0.4,37,11,0.3,51,8620,32749,True,3.9,10,PS2,PSScene4Band,27,206727,9183372,3,planetscope,2020-01-06T04:06:26Z,finalized,test,3733,1029,0,0,3002659,120.1,56.0,2020-01-06T04:06:26Z,0.1,49,39
11,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.4784448566416, -7.458669328365689], [108.44855529543844, -7.61153538316004], [108.67831848054641, -7.65695305488003], [108.70851616306625, -7.503951615686557], [108.4784448566416, -7.458669328365689]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200102_030455_25_1058,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200102_030455_25_1058/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200102_030455_25_1058/thumb,20200102_030455_25_1058,2020-01-02T03:04:55.252609Z,0.0,48,1,0.28,98,9546,32749,False,3.9,0,PS2.SD,PSScene4Band,0,218481,9174753,3,planetscope,2020-01-04T06:43:41Z,finalized,test,7273,1058,0,0,2992615,124.4,60.6,2020-01-04T06:43:41Z,0.4,52,2
12,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[108.72572106047447, -7.45134192795593], [108.5008469075744, -7.407413541959832], [108.51520311355898, -7.335375693197608], [108.73938283661178, -7.37885156023039], [108.73726303934609, -7.389491962792788], [108.73797993690305, -7.389631955132623], [108.72572106047447, -7.45134192795593]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200103_024631_1006,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200103_024631_1006/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200103_024631_1006/thumb,20200103_024631_1006,2020-01-03T02:46:31.19711Z,0.01,52,18,0.26,4,8777,32749,True,3.8,1,PS2,PSScene4Band,78,224127,9188418,3,planetscope,2020-01-04T04:09:21Z,finalized,standard,4236,1006,0,0,2995030,120.8,56.3,2020-01-04T04:09:21Z,5.0,47,96
13,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[106.53245010168462, -6.930832844717293], [106.50218646692132, -7.083965191845964], [106.73299166981569, -7.129938670013554], [106.7636963458863, -6.976187057143411], [106.53245010168462, -6.930832844717293]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200102_031410_18_1057,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200102_031410_18_1057/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200102_031410_18_1057/thumb,20200102_031410_18_1057,2020-01-02T03:14:10.18312Z,0.0,69,29,0.28,33,9646,32748,True,3.9,4,PS2.SD,PSScene4Band,33,665904,9233625,3,planetscope,2020-01-03T16:25:16Z,finalized,standard,7366,1057,0,0,2992830,125.3,60.3,2020-01-03T16:25:16Z,4.1,63,63
14,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[106.88936413535896, -7.381927783669095], [107.11420067500399, -7.425886804930316], [107.10025195096178, -7.49817076904437], [106.87480301481534, -7.454145449633708], [106.88664122031207, -7.393264772989982], [106.88713816850856, -7.393361822863473], [106.88936413535896, -7.381927783669095]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200102_025108_101e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200102_025108_101e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200102_025108_101e/thumb,20200102_025108_101e,2020-01-02T02:51:08.09667Z,0.01,98,100,0.01,0,8816,32748,True,3.8,0,PS2,PSScene4Band,0,706902,9183591,3,planetscope,2020-01-03T14:40:30Z,finalized,standard,4323,101e,0,0,2992642,120.9,56.4,2020-01-03T14:40:30Z,1.0,78,100
15,assets.analytic_sr:download,107.508,-6.53346,"{'type': 'Polygon', 'coordinates': [[[106.508, -7.53346], [108.508, -7.53346], [108.508, -5.53346], [106.508, -5.53346], [106.508, -7.53346]]]}","[[[106.50780316123924, -7.058548492561827], [106.47729587994256, -7.211780995056891], [106.70824655002723, -7.25776153696774], [106.73859371087906, -7.104012390849951], [106.50780316123924, -7.058548492561827]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200102_031412_20_1057,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200102_031412_20_1057/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200102_031412_20_1057/thumb,20200102_031412_20_1057,2020-01-02T03:14:12.206348Z,0.0,63,25,0.28,48,9635,32748,True,3.9,7,PS2.SD,PSScene4Band,21,663111,9219510,3,planetscope,2020-01-03T10:44:06Z,finalized,standard,7370,1057,1,0,2992830,125.1,60.4,2020-01-03T10:44:06Z,4.1,62,46
