,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[108.57223752300492, -7.27734089278772], [108.54277786525688, -7.4255106386682845], [108.76578507874416, -7.469498775263437], [108.79503975078427, -7.321287857599381], [108.57223752300492, -7.27734089278772]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_030451_07_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_030451_07_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_030451_07_1059/thumb,20200126_030451_07_1059,2020-01-26T03:04:51.0733Z,0.0,76,59,0.2,39,9268,32749,True,3.8,0,PS2.SD,PSScene4Band,1,228768,9194874,3,planetscope,2020-01-28T10:37:06Z,finalized,standard,7051,1059,1,0,3072063,115.5,60.4,2020-01-28T10:37:06Z,2.0,60,61
1,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[108.67280630949904, -6.76266363029971], [108.64344679670657, -6.9109243531853], [108.86612246976097, -6.954811356534811], [108.89536301298409, -6.806629541454413], [108.67280630949904, -6.76266363029971]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_030442_97_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_030442_97_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_030442_97_1059/thumb,20200126_030442_97_1059,2020-01-26T03:04:42.972526Z,0.0,95,91,0.05,8,9267,32749,True,3.8,0,PS2.SD,PSScene4Band,0,239595,9251874,3,planetscope,2020-01-28T10:36:45Z,finalized,standard,7054,1059,1,0,3072063,116.4,60.3,2020-01-28T10:36:45Z,2.0,70,92
2,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[108.64766845709909, -6.891443164975929], [108.61824281372927, -7.039737538637693], [108.84094247446905, -7.083793925520818], [108.87026749920891, -6.935600130249625], [108.64766845709909, -6.891443164975929]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_030444_99_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_030444_99_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_030444_99_1059/thumb,20200126_030444_99_1059,2020-01-26T03:04:44.99785Z,0.0,82,66,0.14,32,9268,32749,True,3.8,0,PS2.SD,PSScene4Band,0,236880,9237612,3,planetscope,2020-01-28T10:36:35Z,finalized,standard,7060,1059,2,0,3072063,116.2,60.3,2020-01-28T10:36:35Z,2.0,64,68
3,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[107.26881629237533, -6.999090333804491], [107.05925533601089, -7.038263395510185], [107.04659009325314, -6.970355387252588], [107.25617405031684, -6.931231855943342], [107.25849607163333, -6.943887447404906], [107.25862673487535, -6.943863010846006], [107.26881629237533, -6.999090333804491]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020252_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020252_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020252_104a/thumb,20200126_020252_104a,2020-01-26T02:02:52.855201Z,0.01,94,91,0.04,7,8184,32748,True,3.6,0,PS2,PSScene4Band,0,726108,9233262,3,planetscope,2020-01-27T04:15:21Z,finalized,standard,3914,104a,3,0,3071695,109.6,44.5,2020-01-27T04:15:21Z,0.1,79,93
4,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[107.3028834899656, -7.17856679972417], [107.09312485176754, -7.217804217003036], [107.08078300332885, -7.149840926251106], [107.2900961082231, -7.11080771709153], [107.29246165792762, -7.123653852533404], [107.2926761998516, -7.123613684653641], [107.3028834899656, -7.17856679972417]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020250_1_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020250_1_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020250_1_104a/thumb,20200126_020250_1_104a,2020-01-26T02:02:50.056027Z,0.0,90,88,0.04,9,8176,32748,True,3.6,0,PS2,PSScene4Band,0,729798,9213378,3,planetscope,2020-01-27T04:15:21Z,finalized,standard,3912,104a,3,0,3071695,109.5,44.6,2020-01-27T04:15:21Z,0.1,76,91
5,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[107.10834156352786, -7.299423710287082], [107.10517245282733, -7.282208605147469], [107.10535021249098, -7.282175327194805], [107.10290448008764, -7.269301172084027], [107.31303469364701, -7.230111700382316], [107.32348136240225, -7.284755604357055], [107.32592689990959, -7.297899473066492], [107.11550710020008, -7.337305288120484], [107.10834156352786, -7.299423710287082]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020248_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020248_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020248_104a/thumb,20200126_020248_104a,2020-01-26T02:02:48.190086Z,0.0,84,76,0.05,6,8207,32748,True,3.6,1,PS2,PSScene4Band,17,732183,9200166,3,planetscope,2020-01-27T04:15:02Z,finalized,standard,3918,104a,1,0,3071695,109.4,44.7,2020-01-27T04:15:02Z,0.1,65,93
6,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[107.03598559342444, -6.916748664054482], [107.02388809168336, -6.85092761745899], [107.23372580339213, -6.81156190573615], [107.23621684317553, -6.82463830725349], [107.23624620215476, -6.82479748576139], [107.23624713337843, -6.824797311881873], [107.23873948620351, -6.837880606047237], [107.24640156280084, -6.87953061735369], [107.03637421493161, -6.918799313964779], [107.03598559342444, -6.916748664054482]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020254_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020254_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020254_104a/thumb,20200126_020254_104a,2020-01-26T02:02:54.721142Z,0.0,91,94,0.12,5,8197,32748,True,3.6,0,PS2,PSScene4Band,0,723654,9246513,3,planetscope,2020-01-27T04:15:00Z,finalized,standard,3923,104a,1,0,3071695,109.8,44.5,2020-01-27T04:15:00Z,0.1,75,95
7,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[106.912646711279, -6.25497574448204], [107.12224564367463, -6.215711225812519], [107.13517080075725, -6.283661041802607], [106.9252937802703, -6.322948140938281], [106.9148877006795, -6.268093145387549], [106.91512524763452, -6.268048660552515], [106.912646711279, -6.25497574448204]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020304_1_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020304_1_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020304_1_104a/thumb,20200126_020304_1_104a,2020-01-26T02:03:04.050848Z,0.06,44,33,0.26,15,8206,32748,True,3.6,3,PS2,PSScene4Band,46,711609,9312480,3,planetscope,2020-01-27T04:14:54Z,finalized,standard,3927,104a,4,0,3071695,110.3,44.2,2020-01-27T04:14:54Z,0.1,48,82
8,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[107.07136580700924, -7.102621371956351], [107.06913486167817, -7.090363462632585], [107.27891718825245, -7.051155354361328], [107.28500509078061, -7.083160908623246], [107.29159500361925, -7.118947479801006], [107.08159554023032, -7.158254231387011], [107.07830964959838, -7.140774253441407], [107.07144037586728, -7.103031089885129], [107.07144303165641, -7.103030593210486], [107.07136580700924, -7.102621371956351]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020250_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020250_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020250_104a/thumb,20200126_020250_104a,2020-01-26T02:02:50.98926Z,0.01,89,84,0.06,12,8190,32748,True,3.6,0,PS2,PSScene4Band,0,728541,9219984,3,planetscope,2020-01-27T04:14:54Z,finalized,standard,3916,104a,4,0,3071695,109.5,44.6,2020-01-27T04:14:54Z,0.1,75,88
9,assets.analytic_sr:download,107.88,-6.85599,"{'type': 'Polygon', 'coordinates': [[[106.88, -7.85599], [108.88, -7.85599], [108.88, -5.85599], [106.88, -5.85599], [106.88, -7.85599]]]}","[[[107.09706720211659, -7.238574171075201], [107.09174912558404, -7.209508180271459], [107.30136777382299, -7.17040661982644], [107.30375852322196, -7.183277727178029], [107.3043298290317, -7.183170836895716], [107.31092084465611, -7.217773089875052], [107.31466769835946, -7.238115620749971], [107.10445434157178, -7.277459528705454], [107.09706720211659, -7.238574171075201]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020249_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020249_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200126_020249_104a/thumb,20200126_020249_104a,2020-01-26T02:02:49.122795Z,0.0,93,95,0.03,5,8205,32748,True,3.6,0,PS2,PSScene4Band,0,730980,9206778,3,planetscope,2020-01-27T04:14:48Z,finalized,standard,3914,104a,1,0,3071695,109.4,44.7,2020-01-27T04:14:48Z,0.1,75,95
