,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[120.84726396078158, -3.285818841287468], [120.64125573067864, -3.331573957482059], [120.63188414778776, -3.283600373828504], [120.63243665937509, -3.28349290026092], [120.62752932376209, -3.258842085879774], [120.83380298577993, -3.212854761690317], [120.83927456201828, -3.243259160700894], [120.83946030211652, -3.243223030868581], [120.84726396078158, -3.285818841287468]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003801_1053,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003801_1053/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003801_1053/thumb,20200717_003801_1053,2020-07-17T00:38:01.510792Z,0.01,57,67,0.15,19,8146,32751,False,3.7,4,PS2,PSScene4Band,2,236352,9644625,3,planetscope,2020-07-17T16:19:35Z,finalized,test,4394,1053,8,0,3576536,61.5,34.3,2020-07-18T04:49:55Z,2.0,55,77
1,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[120.6391351975114, -3.320718846187269], [120.84538213137706, -3.278923674014008], [120.8589111751413, -3.350697776386859], [120.64681865638062, -3.395293307564647], [120.6345412701962, -3.337512578227866], [120.64208845159017, -3.335836695887614], [120.6391351975114, -3.320718846187269]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003800_1053,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003800_1053/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003800_1053/thumb,20200717_003800_1053,2020-07-17T00:38:00.585423Z,0.0,80,89,0.04,7,8317,32751,False,3.7,3,PS2,PSScene4Band,0,237150,9637320,3,planetscope,2020-07-17T16:19:35Z,finalized,test,4309,1053,1,0,3576536,61.5,34.3,2020-07-18T04:49:43Z,2.0,58,90
2,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[120.64497848049582, -3.386632937748662], [120.85688421728821, -3.342673611559678], [120.87021381485376, -3.413293280974074], [120.6597984788591, -3.458510065631826], [120.64675595897442, -3.399749201244406], [120.64772219600017, -3.399545611550121], [120.64497848049582, -3.386632937748662]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003759_1053,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003759_1053/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003759_1053/thumb,20200717_003759_1053,2020-07-17T00:37:59.660055Z,0.0,60,59,0.22,31,8350,32751,False,3.7,6,PS2,PSScene4Band,1,238323,9630273,3,planetscope,2020-07-17T11:14:49Z,finalized,test,4290,1053,4,0,3576536,61.5,34.3,2020-07-18T04:49:57Z,2.0,52,63
3,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[120.65793280958366, -3.45010460869133], [120.86838261603178, -3.405626938106194], [120.88163167151117, -3.475636130502578], [120.67306543020676, -3.520830957227391], [120.66017836863244, -3.462802541138582], [120.6607251022657, -3.462684810452239], [120.65793280958366, -3.45010460869133]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003758_1053,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003758_1053/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_003758_1053/thumb,20200717_003758_1053,2020-07-17T00:37:58.735211Z,0.0,44,32,0.28,56,8292,32751,False,3.6,5,PS2,PSScene4Band,1,239781,9623310,3,planetscope,2020-07-17T11:14:49Z,finalized,test,4266,1053,7,0,3576536,61.4,34.2,2020-07-18T04:49:41Z,2.0,46,39
4,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[120.87723732913547, -3.718920613169454], [120.83905657047173, -3.913960491344152], [121.14210087805706, -3.9740451600425173], [121.12417160211207, -3.7381647498580683], [120.87723732913547, -3.718920613169454]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_013125_22_2277,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_013125_22_2277/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_013125_22_2277/thumb,20200717_013125_22_2277,2020-07-17T01:31:25.2263Z,0.0,46,9,0.21,87,11227,32751,False,3.1,0,PSB.SD,PSScene4Band,3,260040,9588660,3,planetscope,2020-07-17T10:55:00Z,finalized,test,9384,2277,1,0,3576507,54.2,45.6,2020-07-18T04:41:38Z,2.0,46,13
5,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[122.55508573471961, -3.946851538595828], [122.5190872628929, -4.128479151365477], [122.82247331484128, -4.188936370715555], [122.85806288159002, -4.007305853860646], [122.55508573471961, -3.946851538595828]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_012439_95_2304,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_012439_95_2304/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_012439_95_2304/thumb,20200717_012439_95_2304,2020-07-17T01:24:39.955163Z,0.0,54,11,0.2,85,12541,32751,True,3.9,0,PSB.SD,PSScene4Band,0,446622,9563736,3,planetscope,2020-07-17T10:48:15Z,finalized,test,8917,2304,4,0,3576515,54.0,45.4,2020-07-18T04:37:51Z,2.0,48,15
6,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[122.58250857566634, -3.8065957664352847], [122.54681285416683, -3.98852830849723], [122.84994933037942, -4.0481388607486375], [122.88535969755844, -3.8664969056008363], [122.58250857566634, -3.8065957664352847]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_012437_74_2304,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_012437_74_2304/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_012437_74_2304/thumb,20200717_012437_74_2304,2020-07-17T01:24:37.741436Z,0.0,58,9,0.25,90,12528,32751,True,3.9,0,PSB.SD,PSScene4Band,0,449691,9579240,3,planetscope,2020-07-17T10:48:15Z,finalized,standard,8897,2304,1,0,3576515,54.1,45.5,2020-07-18T04:37:59Z,2.0,48,11
7,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[122.61014737350521, -3.6656394792142297], [122.574418104336, -3.8474179053462336], [122.87733347872272, -3.906794213813686], [122.91288527535278, -3.725309187296777], [122.61014737350521, -3.6656394792142297]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_012435_52_2304,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_012435_52_2304/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_012435_52_2304/thumb,20200717_012435_52_2304,2020-07-17T01:24:35.527709Z,0.0,55,19,0.14,81,12527,32751,False,3.9,0,PSB.SD,PSScene4Band,0,452748,9594822,3,planetscope,2020-07-17T10:48:15Z,finalized,test,8883,2304,0,0,3576515,54.2,45.6,2020-07-18T04:37:43Z,2.0,43,19
8,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[120.9055737104489, -3.5792588941708785], [120.8697287177958, -3.7605954283843985], [121.17169175962957, -3.8202740291775505], [121.2076602184946, -3.639804005702343], [120.9055737104489, -3.5792588941708785]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_013123_01_2277,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_013123_01_2277/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_013123_01_2277/thumb,20200717_013123_01_2277,2020-07-17T01:31:23.015091Z,0.0,74,48,0.04,42,12507,32751,True,3.9,0,PSB.SD,PSScene4Band,6,263406,9604116,3,planetscope,2020-07-17T08:19:03Z,finalized,test,8865,2277,5,0,3576507,54.3,45.6,2020-07-18T04:42:03Z,2.0,59,58
9,assets.analytic_sr:download,121.835,-3.98697,"{'type': 'Polygon', 'coordinates': [[[120.835, -4.9869699999999995], [122.835, -4.9869699999999995], [122.835, -2.98697], [120.835, -2.98697], [120.835, -4.9869699999999995]]]}","[[[120.93399569497048, -3.4399959535203215], [120.89786932348281, -3.6208560142816673], [121.19993720274789, -3.6799400388231707], [121.23543665636124, -3.500262306494321], [120.93399569497048, -3.4399959535203215]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_013120_80_2277,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200717_013120_80_2277/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200717_013120_80_2277/thumb,20200717_013120_80_2277,2020-07-17T01:31:20.803882Z,0.0,77,26,0.1,65,12496,32751,True,3.8,0,PSB.SD,PSScene4Band,0,266496,9619527,3,planetscope,2020-07-17T08:19:03Z,finalized,test,8827,2277,9,0,3576507,54.4,45.7,2020-07-18T04:41:55Z,2.0,62,35
