,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[151.578818849222, -27.050398906874012], [151.58449024123794, -27.026361397412696], [151.58482062908428, -27.026422342264336], [151.58703551851482, -27.016838060038207], [151.83987938005043, -27.06378436808901], [151.82586633671758, -27.1260870451375], [151.82350254305763, -27.13628403016706], [151.56990166052418, -27.089467304612995], [151.578818849222, -27.050398906874012]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_234027_100a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_234027_100a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_234027_100a/thumb,20200402_234027_100a,2020-04-02T23:40:27.676196Z,0.01,100,100,0.0,0,8915,32756,True,3.9,0,PS2,PSScene4Band,0,358215,7010916,3,planetscope,2020-04-07T17:46:34Z,finalized,standard,4331,100a,0,0,3285720,50.1,44.0,2020-04-08T06:52:04Z,4.0,100,100
1,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.6697791220729, -27.163068480903082], [150.6268864768104, -27.346254980731885], [150.9703651535719, -27.410035249635854], [151.0127534189262, -27.226798205061094], [150.6697791220729, -27.163068480903082]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231608_96_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231608_96_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231608_96_2259/thumb,20200402_231608_96_2259,2020-04-02T23:16:08.96542Z,0.0,98,99,0.0,0,12658,32756,True,3.9,1,PSB.SD,PSScene4Band,1,265236,6993360,3,planetscope,2020-04-04T00:43:23Z,finalized,test,8950,2259,0,0,3287155,56.8,38.7,2020-07-08T02:05:25Z,0.1,65,99
2,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.70217682292267, -27.024283462922014], [150.65939369141165, -27.20743481668351], [151.00237647438155, -27.271224773093476], [151.04468195082885, -27.087986192265785], [150.70217682292267, -27.024283462922014]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231606_76_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231606_76_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231606_76_2259/thumb,20200402_231606_76_2259,2020-04-02T23:16:06.761031Z,0.0,98,100,0.0,0,12656,32756,True,3.9,0,PSB.SD,PSScene4Band,0,268164,7008798,3,planetscope,2020-04-04T00:43:23Z,finalized,test,8952,2259,0,0,3287155,56.8,38.8,2020-07-08T02:05:25Z,0.1,83,100
3,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.7340075867308, -26.885700811600895], [150.69130632404628, -27.068849765091787], [151.03385128660096, -27.132586845363782], [151.07606549575885, -26.949387513046226], [150.7340075867308, -26.885700811600895]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231604_55_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231604_55_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231604_55_2259/thumb,20200402_231604_55_2259,2020-04-02T23:16:04.556642Z,0.0,97,100,0.0,0,12656,32756,True,3.9,0,PSB.SD,PSScene4Band,0,271044,7024212,3,planetscope,2020-04-04T00:43:23Z,finalized,test,8953,2259,0,0,3287155,56.9,38.9,2020-07-08T02:05:25Z,0.1,77,100
4,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.76570281252657, -26.747270884631362], [150.72308548142271, -26.930412760052548], [151.06511925486623, -26.994146806676177], [151.10731076409988, -26.810900657589194], [150.76570281252657, -26.747270884631362]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231602_35_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231602_35_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231602_35_2259/thumb,20200402_231602_35_2259,2020-04-02T23:16:02.352253Z,0.0,97,100,0.0,0,12654,32756,True,3.9,0,PSB.SD,PSScene4Band,0,273921,7039608,3,planetscope,2020-04-04T00:43:22Z,finalized,test,8956,2259,0,0,3287155,57.0,39.0,2020-07-08T02:05:25Z,0.0,74,100
5,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.79800864256237, -26.608862127801057], [150.7554552546464, -26.79196970407387], [151.097039149952, -26.855658539548376], [151.13911899975287, -26.672503465967864], [150.79800864256237, -26.608862127801057]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231600_14_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231600_14_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231600_14_2259/thumb,20200402_231600_14_2259,2020-04-02T23:16:00.147864Z,0.0,98,100,0.0,0,12653,32756,True,3.9,0,PSB.SD,PSScene4Band,0,276864,7054998,3,planetscope,2020-04-04T00:43:22Z,finalized,test,8955,2259,0,0,3287155,57.0,39.1,2020-07-08T02:05:25Z,0.1,77,100
6,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.83059753128612, -26.469906870432485], [150.78810754456757, -26.65300882855672], [151.12921585600037, -26.716651965673222], [151.17124548885445, -26.53352721571783], [150.83059753128612, -26.469906870432485]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231557_94_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231557_94_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231557_94_2259/thumb,20200402_231557_94_2259,2020-04-02T23:15:57.943475Z,0.0,97,98,0.0,1,12652,32756,True,3.9,0,PSB.SD,PSScene4Band,1,279843,7070451,3,planetscope,2020-04-04T00:43:22Z,finalized,test,8957,2259,0,0,3287155,57.1,39.2,2020-07-08T02:05:25Z,0.1,68,99
7,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.86325537881524, -26.330984150245683], [150.82081153705278, -26.514069374878954], [151.16146308055994, -26.577617757758482], [151.2034092041476, -26.39452095520655], [150.86325537881524, -26.330984150245683]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231555_73_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231555_73_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231555_73_2259/thumb,20200402_231555_73_2259,2020-04-02T23:15:55.739086Z,0.0,87,81,0.0,7,12651,32756,True,3.9,2,PSB.SD,PSScene4Band,6,282837,7085898,3,planetscope,2020-04-04T00:43:22Z,finalized,test,8956,2259,4,0,3287155,57.2,39.3,2020-07-08T02:05:25Z,0.1,66,92
8,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.89561244963176, -26.1922145309351], [150.85332186027313, -26.375265601805502], [151.19351321105634, -26.4388059683592], [151.23542140534371, -26.255688655639922], [150.89561244963176, -26.1922145309351]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231553_53_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231553_53_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231553_53_2259/thumb,20200402_231553_53_2259,2020-04-02T23:15:53.534697Z,0.0,84,63,0.01,21,12651,32756,True,3.9,2,PSB.SD,PSScene4Band,2,285822,7101327,3,planetscope,2020-04-04T00:43:22Z,finalized,test,8958,2259,12,0,3287155,57.3,39.3,2020-07-08T02:05:25Z,0.0,66,77
9,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.92765359706667, -26.05328650176992], [150.88546451092384, -26.236297537067426], [151.22528309248167, -26.299750546793835], [151.26697126503745, -26.116739148878583], [150.92765359706667, -26.05328650176992]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231551_33_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231551_33_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231551_33_2259/thumb,20200402_231551_33_2259,2020-04-02T23:15:51.330308Z,0.0,72,30,0.03,53,12648,32756,True,3.9,0,PSB.SD,PSScene4Band,0,288777,7116768,3,planetscope,2020-04-04T00:43:22Z,finalized,test,8955,2259,17,0,3287155,57.4,39.4,2020-07-08T02:05:25Z,0.1,57,47
10,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.95947714209558, -25.914801245302048], [150.91742509859463, -26.09767310971099], [151.25670060289318, -26.161286150738405], [151.29841835226446, -25.978417938446363], [150.95947714209558, -25.914801245302048]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231549_12_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231549_12_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231549_12_2259/thumb,20200402_231549_12_2259,2020-04-02T23:15:49.125919Z,0.0,64,17,0.08,69,12647,32756,True,3.9,0,PSB.SD,PSScene4Band,0,291723,7132161,3,planetscope,2020-04-04T00:43:22Z,finalized,test,8959,2259,14,0,3287155,57.4,39.5,2020-07-08T02:05:24Z,0.1,66,31
11,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[150.9913515084158, -25.776094126295597], [150.94912450168852, -25.959024367370457], [151.288133803877, -26.022688339693527], [151.32977519859455, -25.839604907115223], [150.9913515084158, -25.776094126295597]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231546_92_2259,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231546_92_2259/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200402_231546_92_2259/thumb,20200402_231546_92_2259,2020-04-02T23:15:46.92153Z,0.0,72,32,0.07,51,12651,32756,True,3.9,0,PSB.SD,PSScene4Band,0,294654,7147578,3,planetscope,2020-04-04T00:43:22Z,finalized,test,8966,2259,18,0,3287155,57.5,39.6,2020-07-08T02:05:24Z,0.1,70,49
12,assets.analytic_sr:download,151.997,-26.9358,"{'type': 'Polygon', 'coordinates': [[[150.997, -27.9358], [152.997, -27.9358], [152.997, -25.9358], [150.997, -25.9358], [150.997, -27.9358]]]}","[[[151.4057150521647, -27.604641059607825], [151.65206227047867, -27.637043247630675], [151.64018441466814, -27.710776994156625], [151.38864733969422, -27.677739146877492], [151.39854371165347, -27.617121605461573], [151.40357638977426, -27.617781174419925], [151.4057150521647, -27.604641059607825]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200331_234311_0f31,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200331_234311_0f31/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200331_234311_0f31/thumb,20200331_234311_0f31,2020-03-31T23:43:11.331489Z,0.01,99,100,0.0,0,8645,32756,True,3.9,0,PS2,PSScene4Band,0,341085,6945579,3,planetscope,2020-04-03T20:44:52Z,finalized,standard,3828,0f31,0,0,3280534,50.4,44.2,2020-04-03T22:52:38Z,0.0,99,100
