,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[120.38082455861893, -0.7744682813777688], [120.41084531863255, -0.9294230241163752], [120.64200273516127, -0.8850722878721445], [120.61276514050152, -0.7298261871445634], [120.38082455861893, -0.7744682813777688]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_025812_52_1063,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_025812_52_1063/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200313_025812_52_1063/thumb,20200313_025812_52_1063,2020-03-13T02:58:12.529094Z,0.0,59,72,0.19,10,9700,32751,False,4.0,4,PS2.SD,PSScene4Band,13,208473,9919263,3,planetscope,2020-03-15T10:47:30Z,finalized,test,7366,1063,1,0,3224881,96.4,72.3,2020-03-16T01:11:36Z,4.0,51,86
1,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[120.40645913206481, -0.9052833073191268], [120.43605423695654, -1.059769681220006], [120.66729408658951, -1.0153319457745484], [120.63761842899439, -0.860331362433284], [120.40645913206481, -0.9052833073191268]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_025810_44_1063,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_025810_44_1063/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200313_025810_44_1063/thumb,20200313_025810_44_1063,2020-03-13T02:58:10.446623Z,0.0,74,88,0.22,9,9687,32751,True,4.0,1,PS2.SD,PSScene4Band,1,211338,9904827,3,planetscope,2020-03-15T10:47:30Z,finalized,test,7361,1063,1,0,3224881,96.0,72.3,2020-03-15T10:50:17Z,4.0,57,89
2,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[121.16655135880026, -1.76362013549838], [120.96764419056831, -1.787702355049338], [120.96026231452188, -1.722721108348626], [121.15489659401497, -1.698875578364136], [121.15592268665192, -1.707663038458059], [121.16000565669535, -1.707169299613489], [121.16655135880026, -1.76362013549838]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_005835_0f24,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_005835_0f24/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200312_005835_0f24/thumb,20200312_005835_0f24,2020-03-12T00:58:35.481041Z,0.01,89,75,0.23,22,7655,32751,True,3.4,0,PS2,PSScene4Band,1,273081,9812127,3,planetscope,2020-03-15T02:37:02Z,finalized,standard,3283,0f24,3,0,3221960,92.7,43.3,2020-03-15T02:39:23Z,0.1,59,78
3,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[119.47027009360252, -0.9330237173479491], [119.44164109210674, -1.0800146162004873], [119.66135306273466, -1.123542311265214], [119.69016546362924, -0.9760877933021614], [119.47027009360252, -0.9330237173479491]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_023012_64_105a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_023012_64_105a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200312_023012_64_105a/thumb,20200312_023012_64_105a,2020-03-12T02:30:12.641239Z,0.0,94,80,0.09,17,9230,32750,True,3.8,0,PS2.SD,PSScene4Band,0,771726,9896778,3,planetscope,2020-03-15T01:20:34Z,finalized,standard,7033,105a,3,0,3221972,95.3,64.2,2020-03-15T01:24:38Z,5.0,82,83
4,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[119.49582011146168, -0.8008586115756022], [119.46731952464042, -0.9479667205050063], [119.68700975012932, -0.9914742619467752], [119.71609067608823, -0.844019555514363], [119.49582011146168, -0.8008586115756022]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_023010_57_105a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_023010_57_105a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200312_023010_57_105a/thumb,20200312_023010_57_105a,2020-03-12T02:30:10.572923Z,0.0,93,88,0.06,10,9240,32750,True,3.8,0,PS2.SD,PSScene4Band,0,774597,9911397,3,planetscope,2020-03-15T01:20:34Z,finalized,standard,7036,105a,2,0,3221972,95.6,64.3,2020-03-15T01:24:05Z,5.0,70,90
5,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[121.17813277326415, -1.823903754972296], [120.97828980455667, -1.848154193404123], [120.97096747754672, -1.782953621080698], [121.16603343008522, -1.759153462798571], [121.1671349427512, -1.768653025982996], [121.17157837461677, -1.76811523655276], [121.17813277326415, -1.823903754972296]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_005834_0f24,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_005834_0f24/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200312_005834_0f24/thumb,20200312_005834_0f24,2020-03-12T00:58:34.537323Z,0.0,82,97,0.04,1,7688,32751,True,3.4,0,PS2,PSScene4Band,2,274278,9805461,3,planetscope,2020-03-15T01:05:53Z,finalized,standard,3289,0f24,0,0,3221960,92.7,43.3,2020-03-15T02:39:05Z,0.1,59,99
6,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[119.82075636041736, -0.7405602069961478], [119.7840215593709, -0.9185480542949273], [120.0509757011496, -0.9733439112814968], [120.08770182817666, -0.794671144050307], [119.82075636041736, -0.7405602069961478]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_022015_79_105c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_022015_79_105c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200313_022015_79_105c/thumb,20200313_022015_79_105c,2020-03-13T02:20:15.798734Z,0.0,82,57,0.23,34,11282,32750,True,4.6,1,PS2.SD,PSScene4Band,5,809874,9918048,3,planetscope,2020-03-14T23:06:54Z,finalized,standard,8596,105c,4,0,3224895,94.5,62.1,2020-03-15T18:46:23Z,5.0,64,66
7,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[119.85128530211506, -0.5867575032083855], [119.81569400172773, -0.7652144840464196], [120.08223980372838, -0.8194554977332319], [120.11937050111999, -0.6405182465737891], [119.85128530211506, -0.5867575032083855]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_022013_31_105c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_022013_31_105c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200313_022013_31_105c/thumb,20200313_022013_31_105c,2020-03-13T02:20:13.312036Z,0.0,86,52,0.22,42,11282,32750,True,4.6,0,PS2.SD,PSScene4Band,1,813414,9935067,3,planetscope,2020-03-14T23:06:54Z,finalized,test,8592,105c,4,0,3224895,94.8,62.1,2020-03-15T18:46:23Z,5.0,64,58
8,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[119.88175772868304, -0.4333969553055352], [119.84643939678993, -0.6113276668606108], [120.11423893728171, -0.6662476411185424], [120.15051694292879, -0.48717318721065966], [119.88175772868304, -0.4333969553055352]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_022010_82_105c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200313_022010_82_105c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200313_022010_82_105c/thumb,20200313_022010_82_105c,2020-03-13T02:20:10.824814Z,0.0,86,51,0.22,47,11297,32750,True,4.6,0,PS2.SD,PSScene4Band,1,816849,9952038,3,planetscope,2020-03-14T23:06:54Z,finalized,standard,8597,105c,1,0,3224895,95.1,62.2,2020-03-15T18:46:23Z,5.0,64,53
9,assets.analytic_sr:download,120.523,-1.3702,"{'type': 'Polygon', 'coordinates': [[[119.523, -2.3702], [121.523, -2.3702], [121.523, -0.3702000000000001], [119.523, -0.3702000000000001], [119.523, -2.3702]]]}","[[[120.35675895517788, -1.0161774982705583], [120.38640161408688, -1.1700413627143897], [120.61593081732455, -1.1254302649178847], [120.58627327012972, -0.9712631262078838], [120.35675895517788, -1.0161774982705583]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_025736_56_1069,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200312_025736_56_1069/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200312_025736_56_1069/thumb,20200312_025736_56_1069,2020-03-12T02:57:36.561255Z,0.0,80,60,0.24,37,9625,32751,True,3.9,0,PS2.SD,PSScene4Band,0,205812,9892551,3,planetscope,2020-03-14T18:55:53Z,finalized,standard,7338,1069,2,0,3221790,97.2,72.3,2020-03-14T18:58:27Z,1.1,62,63
