,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[116.8681793266067, -1.2004686755597325], [116.84050780561427, -1.3430306635269416], [117.05321691131202, -1.3848573176369077], [117.08105925539253, -1.2421661247368596], [116.8681793266067, -1.2004686755597325]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200527_024250_21_105d,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200527_024250_21_105d/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200527_024250_21_105d/thumb,20200527_024250_21_105d,2020-05-27T02:42:50.211893Z,0.0,76,72,0.21,26,8921,32750,True,3.7,0,PS2.SD,PSScene4Band,0,482256,9867312,3,planetscope,2020-07-09T21:36:32Z,finalized,test,6794,105d,2,0,3432656,41.9,59.0,2020-07-09T22:46:31Z,1.1,58,74
1,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[117.7178638783823, 0.685008774690305], [117.51214807567143, 0.646852956738518], [117.50021659674395, 0.713637015291225], [117.70542602382984, 0.752020988950516], [117.70762678614395, 0.73988074307586], [117.70792521029298, 0.739936000856255], [117.7178638783823, 0.685008774690305]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005918_0f2a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005918_0f2a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005918_0f2a/thumb,20200525_005918_0f2a,2020-05-25T00:59:18.825826Z,0.01,73,60,0.0,5,8074,32650,True,3.5,8,PS2,PSScene4Band,26,555657,83130,3,planetscope,2020-06-08T19:26:42Z,finalized,test,3877,0f2a,1,0,3431665,62.8,39.7,2020-06-09T01:07:31Z,5.0,58,87
2,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[117.74020836401942, 0.568402077493904], [117.53441883255712, 0.530165835422789], [117.52220713014859, 0.596775457856309], [117.72726322945408, 0.635362709446785], [117.72954977795317, 0.622740013402584], [117.73027306587875, 0.622874607411452], [117.73144272124503, 0.616627005235748], [117.74020836401942, 0.568402077493904]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005917_0f2a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005917_0f2a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005917_0f2a/thumb,20200525_005917_0f2a,2020-05-25T00:59:17.003925Z,0.01,77,67,0.03,1,8087,32650,True,3.5,7,PS2,PSScene4Band,25,558105,70233,3,planetscope,2020-06-08T19:26:42Z,finalized,test,3878,0f2a,0,0,3431665,62.7,39.7,2020-06-09T01:19:15Z,5.0,55,92
3,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[117.72883322577304, 0.626695678621609], [117.52334899522937, 0.588432842184621], [117.51143328462969, 0.655259878561167], [117.71628874815575, 0.693713918419596], [117.7185793540869, 0.681054613479861], [117.71897311070126, 0.68112760322848], [117.72883322577304, 0.626695678621609]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005917_1_0f2a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005917_1_0f2a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005917_1_0f2a/thumb,20200525_005917_1_0f2a,2020-05-25T00:59:17.914613Z,0.01,80,72,0.03,1,8065,32650,True,3.5,3,PS2,PSScene4Band,24,556905,76683,3,planetscope,2020-06-08T18:26:34Z,finalized,test,3881,0f2a,0,0,3431665,62.8,39.7,2020-06-09T01:09:16Z,5.0,57,96
4,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[117.54107926580839, 0.494537017331758], [117.53311495594929, 0.538473516205023], [117.73863616780208, 0.577051648429968], [117.74092721468811, 0.56444725952485], [117.74104668837478, 0.564469446802525], [117.74558465902683, 0.540283359095798], [117.75108109196086, 0.509993607072592], [117.54534840965749, 0.471746088732389], [117.54107926580839, 0.494537017331758]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005916_0f2a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005916_0f2a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005916_0f2a/thumb,20200525_005916_0f2a,2020-05-25T00:59:16.093237Z,0.01,79,95,0.0,0,8086,32650,True,3.5,0,PS2,PSScene4Band,5,559320,63789,3,planetscope,2020-06-08T18:26:34Z,finalized,test,3882,0f2a,0,0,3431665,62.7,39.7,2020-06-09T01:14:25Z,5.0,58,100
5,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[117.54380952358869, 0.479961469557289], [117.74917275379785, 0.518522121280612], [117.76185244250617, 0.451503603681524], [117.55615834668234, 0.41324538264085], [117.54594009921325, 0.467787261616949], [117.546084927156, 0.467814172096636], [117.54380952358869, 0.479961469557289]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005915_0f2a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005915_0f2a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005915_0f2a/thumb,20200525_005915_0f2a,2020-05-25T00:59:15.182024Z,0.01,75,88,0.06,0,8089,32650,True,3.5,1,PS2,PSScene4Band,11,560511,57318,3,planetscope,2020-06-08T18:26:34Z,finalized,test,3880,0f2a,0,0,3431665,62.6,39.6,2020-06-09T01:10:09Z,5.0,55,99
6,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[117.55444289020633, 0.422404169641471], [117.76007730718113, 0.457153966404537], [117.7727212059768, 0.388991818278897], [117.56667690163202, 0.354508594736219], [117.55643999677135, 0.409227304981227], [117.55689549227849, 0.409311975139963], [117.55444289020633, 0.422404169641471]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005914_0f2a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005914_0f2a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200525_005914_0f2a/thumb,20200525_005914_0f2a,2020-05-25T00:59:14.271336Z,0.01,66,64,0.25,5,8098,32650,True,3.5,11,PS2,PSScene4Band,20,561693,50535,3,planetscope,2020-06-08T18:26:34Z,finalized,test,3784,0f2a,0,0,3431665,62.6,39.6,2020-06-09T04:21:34Z,5.0,49,84
7,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[116.89219235133936, -1.09016344974898], [116.92186745763398, -1.2456140914084906], [117.15394910435336, -1.2006019396535748], [117.12423213610809, -1.0458395982101631], [116.89219235133936, -1.09016344974898]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200529_030506_56_1062,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200529_030506_56_1062/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200529_030506_56_1062/thumb,20200529_030506_56_1062,2020-05-29T03:05:06.561779Z,0.0,39,11,0.19,58,9708,32750,True,4.0,3,PS2.SD,PSScene4Band,28,488004,9884403,3,planetscope,2020-06-01T05:09:15Z,finalized,standard,7361,1062,0,0,3438301,33.1,62.6,2020-06-02T03:14:18Z,5.0,49,39
8,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[116.81660572227696, -0.700600280530797], [116.84587367327792, -0.8575050719805511], [117.07887446487902, -0.8117416915085506], [117.04837594589932, -0.6557902878631005], [116.81660572227696, -0.700600280530797]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200529_030512_69_1062,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200529_030512_69_1062/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200529_030512_69_1062/thumb,20200529_030512_69_1062,2020-05-29T03:05:12.6949Z,0.0,37,2,0.29,72,9728,32750,False,4.0,15,PS2.SD,PSScene4Band,11,479592,9927516,3,planetscope,2020-05-29T14:32:41Z,finalized,test,7433,1062,0,0,3438301,33.5,62.9,2020-06-01T23:29:27Z,5.0,50,13
9,assets.analytic_sr:download,116.874,-0.352141,"{'type': 'Polygon', 'coordinates': [[[115.874, -1.352141], [117.874, -1.352141], [117.874, 0.647859], [115.874, 0.647859], [115.874, -1.352141]]]}","[[[116.8673999217766, -0.9602390199220392], [116.89717323290716, -1.115520806286529], [117.12906029119675, -1.0704852345638773], [117.09949620512359, -0.9158197715786167], [116.8673999217766, -0.9602390199220392]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200529_030508_60_1062,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200529_030508_60_1062/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200529_030508_60_1062/thumb,20200529_030508_60_1062,2020-05-29T03:05:08.605978Z,0.0,44,6,0.25,53,9705,32750,True,4.0,6,PS2.SD,PSScene4Band,34,485244,9898776,3,planetscope,2020-05-29T14:32:41Z,finalized,test,7359,1062,0,0,3438301,33.2,62.7,2020-05-30T04:02:42Z,5.0,47,40
