,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.13644652259421, 0.3920951703780877], [99.09915904399975, 0.20267674720973744], [99.41404706806591, 0.13983230885895864], [99.45162749570346, 0.3294688947765039], [99.13644652259421, 0.3920951703780877]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035250_63_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035250_63_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035250_63_2408/thumb,20201106_035250_63_2408,2020-11-06T03:52:50.633949Z,0.0,83,50,0.07,47,13075,32647,True,4.0,0,PSB.SD,PSScene4Band,2,511032,43341,3,planetscope,2020-11-11T02:56:43Z,finalized,standard,9295,2408,0,0,3874447,132.6,65.4,2020-11-11T02:56:43Z,2.0,61,53
1,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.1640258230393, 0.535719838104353], [99.12691034642387, 0.345969283838039], [99.44188293383763, 0.28348363538387], [99.47927831163547, 0.472646577992484], [99.1640258230393, 0.535719838104353]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035248_35_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035248_35_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035248_35_2408/thumb,20201106_035248_35_2408,2020-11-06T03:52:48.352099Z,0.0,58,7,0.19,78,13071,32647,True,4.0,0,PSB.SD,PSScene4Band,14,514119,59214,3,planetscope,2020-11-11T02:56:43Z,finalized,test,9294,2408,0,0,3874447,132.9,65.3,2020-11-11T02:56:43Z,2.0,55,22
2,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.19247403817793, 0.6790363752935183], [99.15503377961537, 0.49014863543180165], [99.47005549800363, 0.4268264805079909], [99.50668307591657, 0.6161785520433433], [99.19247403817793, 0.6790363752935183]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035246_07_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035246_07_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035246_07_2408/thumb,20201106_035246_07_2408,2020-11-06T03:52:46.070249Z,0.0,46,5,0.18,64,13044,32647,True,4.0,3,PSB.SD,PSScene4Band,27,517248,75057,3,planetscope,2020-11-11T02:56:43Z,finalized,standard,9293,2408,0,0,3874447,133.1,65.2,2020-11-11T02:56:43Z,2.0,54,32
3,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.22075602711347, 0.8223918594117043], [99.18394879172092, 0.6336141859980362], [99.4984678150403, 0.5712074603387314], [99.53537466588911, 0.7599180898859258], [99.22075602711347, 0.8223918594117043]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035243_78_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035243_78_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035243_78_2408/thumb,20201106_035243_78_2408,2020-11-06T03:52:43.788399Z,0.0,68,23,0.28,54,13035,32647,True,4.0,1,PSB.SD,PSScene4Band,21,520467,90900,3,planetscope,2020-11-11T02:56:43Z,finalized,test,9254,2408,0,0,3874447,133.4,65.2,2020-11-11T02:56:43Z,2.0,60,45
4,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.249193212387, 0.966319992178879], [99.21217957719858, 0.7779699976909921], [99.52600832130119, 0.7149106981880161], [99.56384054367102, 0.9033104924304463], [99.249193212387, 0.966319992178879]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035241_50_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035241_50_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035241_50_2408/thumb,20201106_035241_50_2408,2020-11-06T03:52:41.506549Z,0.0,37,1,0.3,81,13043,32647,True,4.0,2,PSB.SD,PSScene4Band,17,523608,106809,3,planetscope,2020-11-11T02:56:43Z,finalized,test,9263,2408,0,0,3874447,133.6,65.1,2020-11-11T02:56:43Z,2.0,51,18
5,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.27656539883985, 1.110704845899576], [99.2390878268354, 0.9208075647657994], [99.55495531199077, 0.8584726216301733], [99.59172100555001, 1.047653997240829], [99.27656539883985, 1.110704845899576]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035239_22_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035239_22_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035239_22_2408/thumb,20201106_035239_22_2408,2020-11-06T03:52:39.224699Z,0.0,55,7,0.23,58,13079,32647,True,4.0,4,PSB.SD,PSScene4Band,31,526599,122769,3,planetscope,2020-11-11T02:56:43Z,finalized,test,9293,2408,0,0,3874447,133.9,65.0,2020-11-11T02:56:43Z,2.0,56,38
6,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.30551774513168, 1.2541998447945506], [99.26842507610044, 1.0650458199254536], [99.58293348875723, 1.0025839313298155], [99.62048550060972, 1.19179038823706], [99.30551774513168, 1.2541998447945506]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035236_94_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035236_94_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035236_94_2408/thumb,20201106_035236_94_2408,2020-11-06T03:52:36.942849Z,0.0,61,19,0.1,49,13057,32647,True,4.0,0,PSB.SD,PSScene4Band,32,529863,138630,3,planetscope,2020-11-11T02:56:43Z,finalized,test,9270,2408,0,0,3874447,134.1,64.9,2020-11-11T02:56:43Z,2.0,58,51
7,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.33377053828735, 1.3975410353891746], [99.29677680406095, 1.2090861667404678], [99.61112720194848, 1.1462385302114881], [99.6488420540113, 1.33511532164082], [99.33377053828735, 1.3975410353891746]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035234_66_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035234_66_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035234_66_2408/thumb,20201106_035234_66_2408,2020-11-06T03:52:34.660999Z,0.0,66,30,0.16,60,13056,32647,True,4.0,0,PSB.SD,PSScene4Band,10,533016,154476,3,planetscope,2020-11-11T02:56:43Z,finalized,standard,9259,2408,0,0,3874447,134.4,64.8,2020-11-11T02:56:43Z,2.0,56,40
8,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.3621232474043, 1.5412001885419047], [99.32489774729294, 1.3520657600576353], [99.63971817015626, 1.2891545412142271], [99.67708244820328, 1.4786429569759636], [99.3621232474043, 1.5412001885419047]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035232_37_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035232_37_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035232_37_2408/thumb,20201106_035232_37_2408,2020-11-06T03:52:32.379149Z,0.0,68,57,0.06,32,13060,32647,True,4.0,0,PSB.SD,PSScene4Band,10,536142,170355,3,planetscope,2020-11-11T02:56:43Z,finalized,standard,9286,2408,1,0,3874447,134.6,64.7,2020-11-11T02:56:43Z,2.0,59,68
9,assets.analytic_sr:download,99.7884,1.20606,"{'type': 'Polygon', 'coordinates': [[[98.7884, 0.2060599999999999], [100.7884, 0.2060599999999999], [100.7884, 2.20606], [98.7884, 2.20606], [98.7884, 0.2060599999999999]]]}","[[[99.53200650530228, 2.402932792690691], [99.49433411079796, 2.214204179349659], [99.80965612149215, 2.1510777602488518], [99.84688201841226, 2.340482782317765], [99.53200650530228, 2.402932792690691]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035218_68_2408,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035218_68_2408/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201106_035218_68_2408/thumb,20201106_035218_68_2408,2020-11-06T03:52:18.68805Z,0.0,40,4,0.13,65,13067,32647,True,4.0,1,PSB.SD,PSScene4Band,31,554964,265611,3,planetscope,2020-11-11T02:56:43Z,finalized,test,9276,2408,0,0,3874447,136.1,64.2,2020-11-11T02:56:43Z,2.0,49,35
