,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.14760177068162, -3.5384259106322182], [103.11180467478886, -3.7213958363236994], [103.41683612810206, -3.7816640713387053], [103.4525638462231, -3.5989153249725176], [103.14760177068162, -3.5384259106322182]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024324_21_222c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024324_21_222c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024324_21_222c/thumb,20201122_024324_21_222c,2020-11-22T02:43:24.218844Z,0.0,68,16,0.18,78,12612,32748,True,3.9,0,PSB.SD,PSScene4Band,6,290292,9608688,3,planetscope,2020-11-23T09:03:00Z,finalized,test,8948,222c,0,0,3922685,120.3,54.4,2020-11-23T13:11:47Z,0.1,59,22
1,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.17498022922072, -3.3992463263507826], [103.13921381024215, -3.5823934759482943], [103.44411640378715, -3.642517782934309], [103.47992150770293, -3.4596451254321785], [103.17498022922072, -3.3992463263507826]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024322_00_222c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024322_00_222c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024322_00_222c/thumb,20201122_024322_00_222c,2020-11-22T02:43:22.007932Z,0.0,90,82,0.09,12,12612,32748,True,3.9,0,PSB.SD,PSScene4Band,6,293304,9624087,3,planetscope,2020-11-23T09:03:00Z,finalized,test,8950,222c,1,0,3922685,120.5,54.3,2020-11-23T13:11:47Z,0.2,67,88
2,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.20225355462077, -3.260008279338411], [103.16636389838936, -3.4432444575093233], [103.47125151764806, -3.503276598554606], [103.50702316165156, -3.320342788721302], [103.20225355462077, -3.260008279338411]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024319_79_222c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024319_79_222c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024319_79_222c/thumb,20201122_024319_79_222c,2020-11-22T02:43:19.79702Z,0.0,80,51,0.07,6,12612,32748,True,3.9,0,PSB.SD,PSScene4Band,43,296292,9639489,3,planetscope,2020-11-23T09:03:00Z,finalized,test,8950,222c,0,0,3922685,120.7,54.3,2020-11-23T13:11:47Z,0.2,65,94
3,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.22957557935715, -3.1203818035627244], [103.19383241574221, -3.303393925651208], [103.49861482991174, -3.3635569607778075], [103.53438148280215, -3.1806146457645528], [103.22957557935715, -3.1203818035627244]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024317_58_222c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024317_58_222c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024317_58_222c/thumb,20201122_024317_58_222c,2020-11-22T02:43:17.586108Z,0.0,48,4,0.07,7,12610,32748,True,3.9,1,PSB.SD,PSScene4Band,88,299316,9654936,3,planetscope,2020-11-23T09:03:00Z,finalized,test,8948,222c,0,0,3922685,120.9,54.2,2020-11-23T13:11:47Z,0.1,57,93
4,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.60030139601744, -3.547103113080723], [103.82728090837159, -3.590874761285296], [103.81337949295305, -3.664160922422708], [103.58587716440869, -3.620071988103253], [103.59710829310734, -3.560741648968949], [103.59770107632184, -3.560856625688759], [103.60030139601744, -3.547103113080723]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024736_0e26,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024736_0e26/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024736_0e26/thumb,20201122_024736_0e26,2020-11-22T02:47:36.268163Z,0.0,83,45,0.25,2,8938,32748,True,3.9,9,PS2,PSScene4Band,45,342939,9607818,3,planetscope,2020-11-23T00:23:23Z,finalized,standard,4304,0e26,0,0,3922343,121.2,55.4,2020-11-23T04:21:16Z,3.0,63,89
5,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.61310086187109, -3.481538997232022], [103.84026704452108, -3.52534529540675], [103.82636947908524, -3.598654337095405], [103.59889320691612, -3.554551253627618], [103.61009509836923, -3.495302632931155], [103.61048507080451, -3.49537833271133], [103.61310086187109, -3.481538997232022]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024735_0e26,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024735_0e26/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024735_0e26/thumb,20201122_024735_0e26,2020-11-22T02:47:35.230072Z,0.0,82,74,0.24,13,8938,32748,True,3.9,0,PS2,PSScene4Band,10,344373,9615069,3,planetscope,2020-11-23T00:23:23Z,finalized,standard,4306,0e26,3,0,3922343,121.3,55.4,2020-11-23T06:16:27Z,3.0,66,87
6,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.62561710626579, -3.415999518782288], [103.85324439939508, -3.459932513603469], [103.83936576190939, -3.533251783393679], [103.61167606977867, -3.489077128242283], [103.62291146372704, -3.429634159695992], [103.62303226804265, -3.429657621821061], [103.62561710626579, -3.415999518782288]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024734_0e26,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024734_0e26/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024734_0e26/thumb,20201122_024734_0e26,2020-11-22T02:47:34.192507Z,0.0,81,81,0.19,9,8945,32748,True,3.9,0,PS2,PSScene4Band,7,345783,9622317,3,planetscope,2020-11-23T00:23:23Z,finalized,standard,4311,0e26,3,0,3922343,121.4,55.4,2020-11-23T04:21:16Z,3.0,68,91
7,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.62761890484465, -3.40542215614185], [103.63837404306143, -3.350319317401631], [103.86569829597471, -3.394215832885625], [103.86306870994143, -3.407677915147801], [103.86348682160948, -3.407759175868138], [103.860487039819, -3.423620686190753], [103.85191067109245, -3.467553017895851], [103.62422535502083, -3.423353434295429], [103.62761890484465, -3.40542215614185]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024733_0e26,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024733_0e26/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024733_0e26/thumb,20201122_024733_0e26,2020-11-22T02:47:33.154417Z,0.0,76,75,0.12,8,8943,32748,True,3.9,1,PS2,PSScene4Band,12,347166,9629580,3,planetscope,2020-11-23T00:23:23Z,finalized,standard,4311,0e26,4,0,3922343,121.5,55.3,2020-11-23T06:16:27Z,3.0,65,91
8,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.86430284969425, -3.401359775841744], [103.63677135702301, -3.357158060073258], [103.6510297429918, -3.284141740743892], [103.87791532665634, -3.327986980324721], [103.87529908083502, -3.341363295290469], [103.87599565095744, -3.341498850780416], [103.86430284969425, -3.401359775841744]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024732_0e26,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024732_0e26/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024732_0e26/thumb,20201122_024732_0e26,2020-11-22T02:47:32.116851Z,0.01,70,67,0.11,4,8931,32748,True,3.9,1,PS2,PSScene4Band,28,348549,9636900,3,planetscope,2020-11-23T00:23:23Z,finalized,standard,4311,0e26,1,0,3922343,121.5,55.3,2020-11-23T04:21:16Z,3.0,64,95
9,assets.analytic_sr:download,103.45,-2.56474,"{'type': 'Polygon', 'coordinates': [[[102.45, -3.56474], [104.45, -3.56474], [104.45, -1.56474], [102.45, -1.56474], [102.45, -3.56474]]]}","[[[103.87653411513871, -3.335048824492242], [103.64921541415792, -3.290825337884577], [103.66348449830262, -3.217814285811528], [103.89017117150443, -3.261674865967119], [103.88756217148432, -3.274995446264968], [103.88825352158061, -3.275129962701266], [103.87653411513871, -3.335048824492242]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024731_0e26,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024731_0e26/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20201122_024731_0e26/thumb,20201122_024731_0e26,2020-11-22T02:47:31.078761Z,0.0,76,26,0.29,0,8924,32748,True,3.9,5,PS2,PSScene4Band,69,349923,9644235,3,planetscope,2020-11-23T00:23:23Z,finalized,standard,4312,0e26,0,0,3922343,121.6,55.3,2020-11-23T06:16:26Z,3.0,65,95
