,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[129.8757250569819, 33.85650088969729], [130.14600690933352, 33.80787893049672], [130.12778285324666, 33.73674463795154], [129.85762959772663, 33.78586776814723], [129.87188275009655, 33.844323808964106], [129.87272044146317, 33.84417160147691], [129.8757250569819, 33.85650088969729]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_013220_0e26,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_013220_0e26/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_013220_0e26/thumb,20190830_013220_0e26,2019-08-30T01:32:20.263759Z,0.0,86,86,0.11,13,8891,32652,False,3.9,0,PS2,PSScene4Band,0,579399,3746592,3,planetscope,2019-08-31T04:48:51Z,finalized,test,4352,0e26,1,0,2637499,127.8,54.7,2019-08-31T04:48:51Z,5.0,67,87
1,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[130.15990900184565, 33.85947943019771], [130.14483184849982, 33.800932589836194], [129.8741577621982, 33.85006957461086], [129.88844144665924, 33.90868195328998], [130.15990900184565, 33.85947943019771]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_013219_0e26,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_013219_0e26/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_013219_0e26/thumb,20190830_013219_0e26,2019-08-30T01:32:19.239825Z,0.0,84,75,0.16,24,8809,32652,True,3.9,0,PS2,PSScene4Band,0,580869,3752388,3,planetscope,2019-08-31T04:48:39Z,finalized,standard,3905,0e26,1,0,2637499,127.9,54.6,2019-08-31T04:48:39Z,5.0,67,76
2,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[129.98567012738636, 33.56092273308907], [129.98167867966862, 33.57760352959408], [129.98185479477135, 33.577633200805266], [129.979341946163, 33.58786591148525], [130.22667860080114, 33.629566935569315], [130.23936370586, 33.57737965546717], [130.2428882315867, 33.562402185996035], [129.99556188506247, 33.52067093413544], [129.98567012738636, 33.56092273308907]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003304_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003304_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003304_104a/thumb,20190830_003304_104a,2019-08-30T00:33:04.773386Z,0.0,93,100,0.0,0,8165,32652,True,3.5,0,PS2,PSScene4Band,0,590874,3721761,3,planetscope,2019-08-31T04:42:30Z,finalized,standard,4103,104a,0,0,2637131,112.6,44.5,2019-08-31T04:42:30Z,0.0,93,100
3,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[130.1542695318645, 33.93204891836427], [129.90697677309615, 33.88863012414823], [129.89166669389715, 33.956004509317076], [130.13814289240418, 33.99917028039768], [130.14038561600663, 33.98953613744588], [130.14094978546487, 33.9896349975094], [130.1542695318645, 33.93204891836427]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003310_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003310_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003310_104a/thumb,20190830_003310_104a,2019-08-30T00:33:10.530593Z,0.0,72,73,0.12,26,8099,32652,False,3.5,0,PS2,PSScene4Band,0,582387,3762648,3,planetscope,2019-08-31T04:42:29Z,finalized,test,4157,104a,2,0,2637131,112.8,44.4,2019-08-31T04:42:29Z,0.0,58,74
4,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[129.99403075748876, 33.52690143848942], [130.24083338546671, 33.56851119035641], [130.25700248665513, 33.50134755559465], [130.01028667416446, 33.45971070837355], [129.99639471440085, 33.516167324839685], [129.99665772707758, 33.51621170515696], [129.99403075748876, 33.52690143848942]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003303_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003303_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003303_104a/thumb,20190830_003303_104a,2019-08-30T00:33:03.813415Z,0.0,74,67,0.18,31,8153,32652,True,3.5,0,PS2,PSScene4Band,1,592302,3715005,3,planetscope,2019-08-31T04:42:28Z,finalized,standard,4099,104a,1,0,2637131,112.5,44.6,2019-08-31T04:42:28Z,0.0,54,69
5,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[130.45918317480596, 32.64674727108679], [130.21494593908574, 32.60540505703121], [130.19935853044998, 32.67253721249625], [130.44325447193364, 32.713916380883006], [130.4457139107948, 32.70330577582156], [130.4460866205524, 32.70336886563475], [130.45918317480596, 32.64674727108679]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003250_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003250_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003250_104a/thumb,20190830_003250_104a,2019-08-30T00:32:50.380109Z,0.0,84,67,0.07,32,8135,32652,True,3.5,0,PS2,PSScene4Band,0,612453,3620496,3,planetscope,2019-08-31T04:42:23Z,finalized,standard,4101,104a,0,0,2637131,111.9,45.0,2019-08-31T04:42:23Z,0.0,61,68
6,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[130.22815170799026, 32.55039574827502], [130.47240713566103, 32.5918181626666], [130.48847276217947, 32.52468214043846], [130.24429035135978, 32.48329458191988], [130.23066128028145, 32.53984867670181], [130.2306855338874, 32.53985278564294], [130.22815170799026, 32.55039574827502]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003248_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003248_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003248_104a/thumb,20190830_003248_104a,2019-08-30T00:32:48.461215Z,0.0,67,48,0.04,43,8162,32652,True,3.5,3,PS2,PSScene4Band,5,615309,3606996,3,planetscope,2019-08-31T04:42:20Z,finalized,standard,4103,104a,0,0,2637131,111.8,45.1,2019-08-31T04:42:20Z,0.0,50,54
7,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[130.16927246297297, 33.870404314809186], [129.92147970854947, 33.82673721254503], [129.90618653777025, 33.894334479741], [130.15295768509728, 33.93772050620817], [130.1553044303467, 33.92757467808117], [130.15600907725042, 33.92769841828424], [130.16927246297297, 33.870404314809186]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003309_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003309_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003309_104a/thumb,20190830_003309_104a,2019-08-30T00:33:09.570621Z,0.0,81,78,0.1,19,8120,32652,False,3.5,0,PS2,PSScene4Band,0,583788,3755850,3,planetscope,2019-08-31T04:42:19Z,finalized,test,4175,104a,3,0,2637131,112.8,44.4,2019-08-31T04:42:19Z,0.0,62,81
8,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[130.1552475370816, 32.855872203081475], [130.40040734322628, 32.89735800539267], [130.41647493598458, 32.83017807482809], [130.1714038949757, 32.78875254238313], [130.15773471809663, 32.845283165171786], [130.1578054071005, 32.84529511410702], [130.1552475370816, 32.855872203081475]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003253_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003253_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003253_104a/thumb,20190830_003253_104a,2019-08-30T00:32:53.258973Z,0.0,67,59,0.16,31,8162,32652,True,3.5,1,PS2,PSScene4Band,5,608094,3640779,3,planetscope,2019-08-31T04:42:17Z,finalized,standard,4102,104a,3,0,2637131,112.0,44.9,2019-08-31T04:42:17Z,0.0,54,67
9,assets.analytic_sr:download,130.545,32.9506,"{'type': 'Polygon', 'coordinates': [[[129.545, 31.9506], [131.545, 31.9506], [131.545, 33.9506], [129.545, 33.9506], [129.545, 31.9506]]]}","[[[130.22916620840408, 32.546174526933314], [130.21394046634632, 32.61147070784113], [130.45777334579856, 32.65284252063818], [130.46021628234706, 32.64228073773882], [130.46092013808345, 32.642399869503855], [130.4640952780756, 32.62911956396574], [130.4741159006595, 32.58573861100015], [130.22961418088866, 32.544310564152575], [130.22916620840408, 32.546174526933314]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003249_104a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003249_104a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190830_003249_104a/thumb,20190830_003249_104a,2019-08-30T00:32:49.420662Z,0.0,87,90,0.02,9,8152,32652,True,3.5,0,PS2,PSScene4Band,1,613899,3613743,3,planetscope,2019-08-31T04:42:17Z,finalized,standard,4102,104a,0,0,2637131,111.8,45.0,2019-08-31T04:42:17Z,0.0,56,91
