,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[141.45427935812293, 39.369805128474084], [141.40434300069893, 39.18814585063284], [141.79464875034225, 39.12384628723336], [141.84519406877752, 39.30384608091769], [141.45427935812293, 39.369805128474084]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003237_28_2235,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003237_28_2235/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003237_28_2235/thumb,20200727_003237_28_2235,2020-07-27T00:32:37.288417Z,0.0,68,14,0.13,85,12652,32654,True,3.9,0,PSB.SD,PSScene4Band,0,534918,4357914,3,planetscope,2020-08-20T04:23:52Z,finalized,standard,9032,2235,1,0,3602474,117.5,56.4,2020-08-20T08:16:39Z,5.0,64,15
1,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[141.3031035302478, 38.81544535639418], [141.25393701763235, 38.63344850454209], [141.6417905889562, 38.56917818941704], [141.69183983486346, 38.749472381950746], [141.3031035302478, 38.81544535639418]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003246_13_2235,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003246_13_2235/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003246_13_2235/thumb,20200727_003246_13_2235,2020-07-27T00:32:46.132065Z,0.0,67,26,0.07,64,12674,32654,True,3.9,0,PSB.SD,PSScene4Band,10,522099,4296342,3,planetscope,2020-08-20T04:23:51Z,finalized,test,9060,2235,1,0,3602474,116.6,56.5,2020-08-20T08:16:39Z,5.0,53,36
2,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[141.34041092891695, 38.9539288539021], [141.29116944114355, 38.771978040246964], [141.67998263555438, 38.70769666485009], [141.72981200399562, 38.88798542168606], [141.34041092891695, 38.9539288539021]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003243_92_2235,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003243_92_2235/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003243_92_2235/thumb,20200727_003243_92_2235,2020-07-27T00:32:43.921153Z,0.0,77,41,0.07,51,12669,32654,True,3.9,0,PSB.SD,PSScene4Band,7,525291,4311720,3,planetscope,2020-08-20T04:23:51Z,finalized,test,9054,2235,2,0,3602474,116.8,56.5,2020-08-20T08:16:39Z,5.0,58,49
3,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[141.37825854185826, 39.09238333102455], [141.32849442275207, 38.910574399637845], [141.71807217337943, 38.84627869564659], [141.76800552506887, 39.02650524540097], [141.37825854185826, 39.09238333102455]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003241_71_2235,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003241_71_2235/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003241_71_2235/thumb,20200727_003241_71_2235,2020-07-27T00:32:41.710241Z,0.0,80,46,0.08,49,12667,32654,True,3.9,0,PSB.SD,PSScene4Band,4,528480,4327098,3,planetscope,2020-08-20T04:23:51Z,finalized,standard,9045,2235,2,0,3602474,117.0,56.5,2020-08-20T08:16:39Z,5.0,60,51
4,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[141.4162554179049, 39.23097820678237], [141.36609831638813, 39.04932023079137], [141.7561686163477, 38.98491511887204], [141.80659222001398, 39.164967258303825], [141.4162554179049, 39.23097820678237]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003239_49_2235,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003239_49_2235/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003239_49_2235/thumb,20200727_003239_49_2235,2020-07-27T00:32:39.499329Z,0.0,72,19,0.12,80,12669,32654,True,3.9,0,PSB.SD,PSScene4Band,0,531678,4342494,3,planetscope,2020-08-20T04:23:51Z,finalized,standard,9040,2235,1,0,3602474,117.2,56.4,2020-08-20T08:16:39Z,4.9,69,20
5,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[141.49223446174148, 39.508632155324214], [141.44176933086848, 39.32714640891851], [141.83310049079972, 39.26263531238511], [141.88383321841036, 39.44276133886129], [141.49223446174148, 39.508632155324214]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003235_07_2235,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003235_07_2235/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003235_07_2235/thumb,20200727_003235_07_2235,2020-07-27T00:32:35.077505Z,0.0,71,21,0.1,79,12660,32654,True,3.9,0,PSB.SD,PSScene4Band,0,538074,4373340,3,planetscope,2020-08-20T04:23:51Z,finalized,standard,9030,2235,0,0,3602474,117.7,56.3,2020-08-20T08:16:39Z,5.0,56,21
6,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[141.26543309873034, 38.67662090779062], [141.21676873440518, 38.494773266449684], [141.6039746352943, 38.43049078379716], [141.65384969981181, 38.61084564103986], [141.26543309873034, 38.67662090779062]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003248_34_2235,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003248_34_2235/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200727_003248_34_2235/thumb,20200727_003248_34_2235,2020-07-27T00:32:48.342977Z,0.0,69,31,0.08,60,12676,32654,True,3.9,0,PSB.SD,PSScene4Band,8,518901,4280928,3,planetscope,2020-08-20T04:23:50Z,finalized,test,9059,2235,1,0,3602474,116.3,56.6,2020-08-20T08:16:38Z,5.0,54,40
7,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[139.62532681185593, 38.75747445454363], [139.626319103558, 38.76101975412588], [139.62686476555484, 38.76092555486976], [139.63016022071574, 38.77302799285764], [139.91272656042997, 38.72407951012894], [139.89282555908719, 38.65283942740697], [139.6101995306709, 38.7016878506408], [139.62532681185593, 38.75747445454363]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200730_010850_100a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200730_010850_100a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200730_010850_100a/thumb,20200730_010850_100a,2020-07-30T01:08:50.549582Z,0.0,72,28,0.23,71,8780,32654,True,3.8,0,PS2,PSScene4Band,0,379146,4292481,3,planetscope,2020-08-18T03:13:06Z,finalized,standard,4549,100a,1,0,3611259,126.3,60.5,2020-08-18T10:14:45Z,1.0,54,29
8,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[139.64782678471934, 38.83652423692926], [139.9309602854667, 38.78746718967975], [139.91103514785456, 38.7161032417391], [139.6279673251261, 38.76497390151317], [139.64410641771173, 38.82424815640361], [139.6444568657942, 38.824188279809476], [139.64782678471934, 38.83652423692926]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200730_010849_100a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200730_010849_100a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200730_010849_100a/thumb,20200730_010849_100a,2020-07-30T01:08:49.537706Z,0.0,83,53,0.16,46,8786,32654,True,3.8,0,PS2,PSScene4Band,1,380796,4299507,3,planetscope,2020-08-18T00:58:57Z,finalized,standard,4558,100a,0,0,3611259,126.4,60.5,2020-08-18T10:10:56Z,1.0,57,54
9,assets.analytic_sr:download,140.467,38.4991,"{'type': 'Polygon', 'coordinates': [[[139.467, 37.4991], [141.467, 37.4991], [141.467, 39.4991], [139.467, 39.4991], [139.467, 37.4991]]]}","[[[139.66384014111324, 38.89462464848819], [139.6652591413588, 38.89968090063948], [139.9491915589105, 38.85115809467993], [139.94593533585788, 38.83975974059207], [139.94605437027303, 38.83973939641719], [139.93509912168165, 38.80046994687149], [139.9291896124129, 38.77977160464918], [139.64556152981365, 38.828232023376685], [139.65851728251258, 38.87565797435625], [139.66205874673724, 38.88827709557258], [139.6621011895422, 38.88826984167172], [139.66384014111324, 38.89462464848819]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200730_010848_100a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20200730_010848_100a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20200730_010848_100a/thumb,20200730_010848_100a,2020-07-30T01:08:48.526355Z,0.0,79,65,0.14,32,8796,32654,True,3.8,0,PS2,PSScene4Band,1,382431,4306491,3,planetscope,2020-08-18T00:58:56Z,finalized,standard,4537,100a,1,0,3611259,126.5,60.4,2020-08-18T10:14:42Z,1.0,59,68
