,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[130.8457484148976, 32.10743747868561], [130.80778549291895, 31.957309391426683], [131.0749434589134, 31.90806785257526], [131.11303942657727, 32.05900890800771], [130.8457484148976, 32.10743747868561]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190706_014949_21_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190706_014949_21_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190706_014949_21_1059/thumb,20190706_014949_21_1059,2019-07-06T01:49:49.219833Z,0.0,81,57,0.29,42,9545,32652,True,3.9,0,PS2.SD,PSScene4Band,0,670845,3553836,3,planetscope,2019-10-10T15:31:51Z,finalized,standard,7238,1059,1,0,2500277,108.5,67.5,2019-10-10T15:31:51Z,5.0,57,58
1,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[131.26870617035394, 33.77947871296358], [131.22846990178806, 33.62588685208656], [131.50605875261553, 33.57727621293232], [131.54623482137953, 33.72831955289621], [131.26870617035394, 33.77947871296358]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190706_014922_69_1059,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190706_014922_69_1059/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190706_014922_69_1059/thumb,20190706_014922_69_1059,2019-07-06T01:49:22.691385Z,0.0,89,80,0.1,19,9736,32652,True,4.0,0,PS2.SD,PSScene4Band,0,706710,3740019,3,planetscope,2019-10-10T13:52:08Z,finalized,test,7306,1059,0,0,2500277,112.7,67.1,2019-10-10T13:52:08Z,5.0,64,81
2,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[129.9623859386951, 32.81411866346606], [129.9989526858128, 32.66409456181004], [130.26542086767236, 32.710275832041305], [130.22941241107273, 32.86053336707774], [129.9623859386951, 32.81411866346606]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_021422_12_1069,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_021422_12_1069/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190628_021422_12_1069/thumb,20190628_021422_12_1069,2019-06-28T02:14:22.120036Z,0.0,67,27,0.28,72,9503,32652,True,3.9,0,PS2.SD,PSScene4Band,1,590091,3636498,3,planetscope,2019-08-15T09:35:53Z,finalized,test,7336,1069,0,0,2480810,117.3,72.0,2019-08-15T09:35:53Z,3.1,55,28
3,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[129.99454044501735, 32.68598662372206], [130.0311123092448, 32.53602019852178], [130.29747784569247, 32.58209411333023], [130.26075187216097, 32.73224271031421], [129.99454044501735, 32.68598662372206]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_021420_09_1069,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_021420_09_1069/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190628_021420_09_1069/thumb,20190628_021420_09_1069,2019-06-28T02:14:20.092614Z,0.0,77,56,0.11,43,9515,32652,True,3.9,0,PS2.SD,PSScene4Band,2,593235,3622308,3,planetscope,2019-08-15T09:35:53Z,finalized,test,7330,1069,0,0,2480810,117.0,72.1,2019-08-15T09:35:53Z,3.1,64,57
4,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[130.11353289504845, 32.65810177510656], [130.07625688095592, 32.50370463880108], [130.3495536926087, 32.45632444676181], [130.38745082450234, 32.60971918219375], [130.11353289504845, 32.65810177510656]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_014941_68_105e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_014941_68_105e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190628_014941_68_105e/thumb,20190628_014941_68_105e,2019-06-28T01:49:41.686239Z,0.0,71,60,0.09,38,9694,32652,True,4.0,1,PS2.SD,PSScene4Band,1,601101,3613935,3,planetscope,2019-08-15T09:00:44Z,finalized,test,7372,105e,0,0,2481011,108.9,68.0,2019-08-15T09:00:44Z,5.1,54,61
5,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[130.1074572170572, 32.39170116385248], [129.84059765988755, 32.4380732492326], [129.85830124695266, 32.51067201795442], [130.1248666826887, 32.46409720364623], [130.12200947882062, 32.45248229573582], [130.1223562267258, 32.45242215830902], [130.12225056419922, 32.451978042143196], [130.1074572170572, 32.39170116385248]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_013750_101e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_013750_101e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190628_013750_101e/thumb,20190628_013750_101e,2019-06-28T01:37:50.976168Z,0.0,73,57,0.28,40,8899,32652,True,3.9,0,PS2,PSScene4Band,1,579018,3597369,3,planetscope,2019-08-12T17:06:10Z,finalized,standard,4326,101e,2,0,2480852,105.1,65.5,2019-08-12T17:06:10Z,5.0,54,60
6,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[130.13874025949815, 32.52253495785014], [129.87148294516945, 32.568946230970546], [129.88645973721654, 32.62995488376114], [129.8871305080207, 32.6298377126074], [129.8899748789733, 32.641450280649494], [130.1565351877704, 32.59483271000956], [130.15101472819765, 32.57176430266754], [130.13874025949815, 32.52253495785014]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_013748_101e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_013748_101e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190628_013748_101e/thumb,20190628_013748_101e,2019-06-28T01:37:48.907328Z,0.01,84,74,0.15,24,8910,32652,False,3.9,0,PS2,PSScene4Band,0,581805,3611889,3,planetscope,2019-08-12T17:05:54Z,finalized,test,4321,101e,2,0,2480852,105.4,65.4,2019-08-12T17:05:54Z,5.0,64,76
7,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[129.85894545512122, 32.51636470612715], [129.8735553711965, 32.576191769513336], [130.14048372187497, 32.529527481325175], [130.1375840273332, 32.51789764495851], [130.13798756878793, 32.51782759843327], [130.13482168747223, 32.50456560182428], [130.1231507822475, 32.45712184363414], [129.8558817680349, 32.50349822456717], [129.85894545512122, 32.51636470612715]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_013749_101e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190628_013749_101e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190628_013749_101e/thumb,20190628_013749_101e,2019-06-28T01:37:49.941748Z,0.01,83,83,0.06,17,8903,32652,True,3.9,0,PS2,PSScene4Band,1,580398,3604644,3,planetscope,2019-08-12T17:05:30Z,finalized,standard,4328,101e,0,0,2480852,105.2,65.4,2019-08-12T17:05:30Z,5.0,63,83
8,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[130.8156327509311, 31.59632250698678], [130.85231673327291, 31.4453576021182], [131.11675951260042, 31.492215814894884], [131.08026346129327, 31.64324814467119], [130.8156327509311, 31.59632250698678]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190705_021056_35_106f,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190705_021056_35_106f/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190705_021056_35_106f/thumb,20190705_021056_35_106f,2019-07-05T02:10:56.359566Z,0.0,54,9,0.3,79,9600,32652,True,3.9,2,PS2.SD,PSScene4Band,9,672255,3502773,3,planetscope,2019-08-07T08:26:32Z,finalized,standard,7443,106f,0,0,2497491,114.9,72.2,2019-08-07T08:26:32Z,1.1,56,18
9,assets.analytic_sr:download,130.866,32.591,"{'type': 'Polygon', 'coordinates': [[[129.866, 31.591], [131.866, 31.591], [131.866, 33.591], [129.866, 33.591], [129.866, 31.591]]]}","[[[131.6964296978838, 32.68999349794423], [131.65884150466363, 32.54103844634613], [131.9274526734065, 32.4930993722481], [131.9638820177556, 32.64248851114246], [131.6964296978838, 32.68999349794423]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190705_014509_67_1057,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190705_014509_67_1057/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190705_014509_67_1057/thumb,20190705_014509_67_1057,2019-07-05T01:45:09.676014Z,0.0,41,1,0.18,97,9449,32652,False,3.9,1,PS2.SD,PSScene4Band,0,749691,3620136,3,planetscope,2019-08-07T07:52:46Z,finalized,test,7089,1057,0,1,2497558,109.7,67.5,2019-08-07T07:52:46Z,0.4,50,2
