,permissions,Latitude,Longitude,geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[137.4986611400486, 35.89674665800365], [137.75317798106087, 35.93934074351495], [137.7703216474151, 35.871831561452986], [137.51501250100958, 35.829316513634694], [137.5014047882328, 35.88404391205678], [137.50191838070603, 35.88412931543801], [137.4986611400486, 35.89674665800365]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191014_235324_0f1a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191014_235324_0f1a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191014_235324_0f1a/thumb,20191014_235324_0f1a,2019-10-14T23:53:24.698622Z,0.0,71,66,0.24,24,8201,32653,True,3.6,0,PS2,PSScene4Band,5,725514,3980727,3,planetscope,2019-10-15T16:25:06Z,finalized,standard,4264,0f1a,5,0,2751269,131.1,31.8,2019-10-15T16:25:06Z,1.0,57,76
1,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[137.65042597589124, 36.35042768712488], [137.39349148595372, 36.30847437275675], [137.3768275080957, 36.376152956293204], [137.63326964290317, 36.41773583066048], [137.63619592286065, 36.405772581764914], [137.63692592444832, 36.4058917991037], [137.65042597589124, 36.35042768712488]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191014_235332_0f1a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191014_235332_0f1a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191014_235332_0f1a/thumb,20191014_235332_0f1a,2019-10-14T23:53:32.218485Z,0.0,55,40,0.27,37,8209,32653,True,3.6,0,PS2,PSScene4Band,9,713214,4033506,3,planetscope,2019-10-15T16:24:59Z,finalized,standard,4228,0f1a,14,0,2751269,131.2,31.4,2019-10-15T16:24:59Z,1.0,49,63
2,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[138.19830029522703, 35.404638350989096], [138.20323079097088, 35.42344425835776], [138.2034352273723, 35.42340882297141], [138.20618622720124, 35.43405655985522], [138.47777976564765, 35.387008408938314], [138.46404813571098, 35.33339638165251], [138.4593013992888, 35.31536659955128], [138.18754627548503, 35.36246443337261], [138.19830029522703, 35.404638350989096]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010951_1012,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010951_1012/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010951_1012/thumb,20191013_010951_1012,2019-10-13T01:09:51.076491Z,0.0,90,80,0.12,14,8816,32654,True,3.8,0,PS2,PSScene4Band,0,244461,3924768,3,planetscope,2019-10-14T04:40:12Z,finalized,standard,4597,1012,6,0,2746478,151.4,42.9,2019-10-14T04:40:12Z,1.0,76,86
3,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[137.36074236478055, 35.62412449303698], [137.3995108530126, 35.472595709902166], [137.67816564633003, 35.519393467254304], [137.64051730374172, 35.671690316986194], [137.36074236478055, 35.62412449303698]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013729_77_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013729_77_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013729_77_106a/thumb,20191013_013729_77_106a,2019-10-13T01:37:29.772148Z,0.0,97,93,0.02,5,9691,32653,True,3.9,0,PS2.SD,PSScene4Band,0,713790,3950748,3,planetscope,2019-10-14T04:23:01Z,finalized,standard,7550,106a,2,0,2745981,158.8,44.6,2019-10-14T04:23:01Z,3.9,83,95
4,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[137.42824564789842, 35.36333551795897], [137.46647674661202, 35.21183344377488], [137.74485697733144, 35.2585972001119], [137.7063843398537, 35.41064346713401], [137.42824564789842, 35.36333551795897]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013725_63_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013725_63_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013725_63_106a/thumb,20191013_013725_63_106a,2019-10-13T01:37:25.634991Z,0.0,100,100,0.0,0,9699,32653,True,3.9,0,PS2.SD,PSScene4Band,0,720618,3921948,3,planetscope,2019-10-14T04:22:54Z,finalized,standard,7542,106a,0,0,2745981,158.7,44.9,2019-10-14T04:22:54Z,4.0,89,100
5,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[137.32717774904364, 35.75457842577639], [137.36586563101136, 35.60308703755681], [137.64538458505788, 35.649927458695494], [137.60679924445938, 35.80200544848151], [137.32717774904364, 35.75457842577639]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013731_84_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013731_84_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013731_84_106a/thumb,20191013_013731_84_106a,2019-10-13T01:37:31.840988Z,0.0,94,83,0.05,13,9697,32653,True,3.9,0,PS2.SD,PSScene4Band,0,710409,3965127,3,planetscope,2019-10-14T04:22:51Z,finalized,test,7542,106a,4,0,2745981,158.8,44.5,2019-10-14T04:22:51Z,3.9,81,87
6,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[137.39393278029553, 35.493739018186105], [137.43224726139, 35.34219041927691], [137.71041467009053, 35.388960031545004], [137.67247479619942, 35.54103290685366], [137.39393278029553, 35.493739018186105]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013727_70_106a,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013727_70_106a/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191013_013727_70_106a/thumb,20191013_013727_70_106a,2019-10-13T01:37:27.703832Z,0.0,97,84,0.08,14,9679,32653,True,3.9,0,PS2.SD,PSScene4Band,0,717150,3936333,3,planetscope,2019-10-14T04:22:33Z,finalized,standard,7543,106a,2,0,2745981,158.8,44.7,2019-10-14T04:22:33Z,4.0,71,86
7,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[138.787086722952, 36.56995325190287], [138.79049854984927, 36.58252054706788], [139.0675391454437, 36.53401925839278], [139.06496128551623, 36.52426730037319], [139.06437149525533, 36.52211035759687], [139.06439024287744, 36.52210706514016], [139.04842218456488, 36.461700433786866], [138.77156754939315, 36.51030797092115], [138.78581778661916, 36.564158137022766], [138.78556561722564, 36.56420252083939], [138.787086722952, 36.56995325190287]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010939_1038,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010939_1038/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010939_1038/thumb,20191013_010939_1038,2019-10-13T01:09:39.43574Z,0.0,69,43,0.3,42,8855,32654,True,3.8,0,PS2,PSScene4Band,1,300441,4050834,3,planetscope,2019-10-14T04:21:08Z,finalized,standard,4635,1038,14,0,2746016,152.2,41.9,2019-10-14T04:21:08Z,2.0,59,58
8,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[138.48077200485508, 35.41121555411802], [138.48150060702744, 35.413950607810676], [138.75265144795193, 35.3656042451513], [138.7491722207891, 35.35145302697928], [138.74848972566437, 35.34903818765226], [138.73459409939312, 35.29359736309707], [138.4624784557417, 35.34180108747802], [138.46825052864264, 35.36421197513932], [138.47826499852295, 35.40180466133397], [138.47832648102843, 35.4017937799752], [138.48077200485508, 35.41121555411802]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010957_1038,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010957_1038/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010957_1038/thumb,20191013_010957_1038,2019-10-13T01:09:57.99501Z,0.01,99,100,0.0,0,8813,32654,True,3.8,0,PS2,PSScene4Band,0,269388,3921864,3,planetscope,2019-10-14T04:21:00Z,finalized,standard,4636,1038,0,0,2746016,151.5,42.9,2019-10-14T04:21:00Z,2.0,99,100
9,assets.analytic_sr:download,138.636,36.3432,"{'type': 'Polygon', 'coordinates': [[[137.636, 35.3432], [139.636, 35.3432], [139.636, 37.3432], [137.636, 37.3432], [137.636, 35.3432]]]}","[[[138.51913239794996, 35.556889233416214], [138.53255515363762, 35.607110333802154], [138.8050107180099, 35.55892526097176], [138.801861910345, 35.54752314815238], [138.80236504977802, 35.54743426112672], [138.786506483337, 35.48668626152698], [138.51340520920954, 35.5348632273264], [138.51913239794996, 35.556889233416214]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010954_1038,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010954_1038/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20191013_010954_1038/thumb,20191013_010954_1038,2019-10-13T01:09:54.901711Z,0.01,99,100,0.0,0,8835,32654,True,3.8,0,PS2,PSScene4Band,0,274557,3943176,3,planetscope,2019-10-14T04:21:00Z,finalized,standard,4636,1038,0,0,2746016,151.6,42.7,2019-10-14T04:21:00Z,2.0,99,100
