,permissions,Latitude,Longitude,geojson_geometry,complete_geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.5532910437003, 14.241478927080127], [104.76881020014154, 14.281307231910338], [104.78223997226024, 14.213292684457228], [104.56611791146138, 14.17325200364523], [104.55466296802668, 14.231492159540295], [104.55525323624148, 14.231601174613775], [104.5532910437003, 14.241478927080127]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022404_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022404_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022404_1054/thumb,20190913_022404_1054,2019-09-13T02:24:04.825724Z,0.0,66,52,0.22,25,8233,32648,True,3.6,2,PS2,PSScene4Band,20,451809,1578852,3,planetscope,2019-09-14T04:35:30Z,finalized,standard,3974,1054,2,0,2671469,101.5,50.9,2019-09-14T04:35:30Z,1.0,60,74
1,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.29719636323996, 15.542641743427994], [104.5143336214535, 15.582509337386844], [104.52779215238543, 15.514469628973687], [104.31071035404592, 15.474564073167075], [104.29900004677687, 15.53293731742983], [104.29911998624311, 15.532959459041052], [104.29719636323996, 15.542641743427994]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022425_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022425_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022425_1054/thumb,20190913_022425_1054,2019-09-13T02:24:25.165477Z,0.0,82,54,0.22,39,8241,32648,True,3.6,0,PS2,PSScene4Band,0,424635,1722816,3,planetscope,2019-09-14T04:35:09Z,finalized,standard,3961,1054,7,0,2671469,102.9,50.5,2019-09-14T04:35:09Z,1.0,72,61
2,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.56992099222535, 14.150962537536833], [104.56643303376356, 14.16932561037804], [104.56687409541432, 14.16940735163492], [104.56487785805461, 14.179556784121921], [104.78056177779315, 14.219566951146751], [104.79404248125209, 14.151548154446209], [104.57780391860854, 14.11137990478693], [104.56992099222535, 14.150962537536833]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022403_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022403_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022403_1054/thumb,20190913_022403_1054,2019-09-13T02:24:03.857364Z,0.0,65,67,0.06,6,8243,32648,True,3.6,3,PS2,PSScene4Band,22,453045,1572021,3,planetscope,2019-09-14T04:35:03Z,finalized,standard,3979,1054,2,0,2671469,101.4,50.9,2019-09-14T04:35:03Z,1.0,60,91
3,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.29246494676424, 15.566456659238472], [104.28498665038344, 15.60488690543663], [104.50245303732942, 15.645018166544952], [104.50438711577159, 15.635039026341882], [104.50455147888707, 15.635069381903325], [104.51609761125493, 15.5769921182109], [104.29835765245168, 15.536796558386603], [104.29246494676424, 15.566456659238472]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022426_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022426_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022426_1054/thumb,20190913_022426_1054,2019-09-13T02:24:26.133837Z,0.0,82,58,0.18,35,8257,32648,True,3.6,0,PS2,PSScene4Band,0,423348,1729734,3,planetscope,2019-09-14T04:35:02Z,finalized,standard,3971,1054,7,0,2671469,103.0,50.5,2019-09-14T04:35:02Z,1.0,72,65
4,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.46906229712948, 14.65017115632359], [104.46605753777132, 14.665614671728878], [104.46671075227665, 14.665735743615565], [104.46478002432708, 14.675450848128598], [104.68076056831963, 14.71547420418385], [104.68920180940094, 14.672688472149042], [104.69408706805791, 14.647280997831745], [104.47761595609701, 14.607166142825427], [104.46906229712948, 14.65017115632359]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022411_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022411_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022411_1054/thumb,20190913_022411_1054,2019-09-13T02:24:11.605816Z,0.0,80,56,0.27,40,8230,32648,True,3.6,0,PS2,PSScene4Band,0,442371,1626882,3,planetscope,2019-09-14T04:35:00Z,finalized,standard,3980,1054,4,0,2671469,102.0,50.8,2019-09-14T04:35:00Z,1.0,59,60
5,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.3461696262636, 15.291838869139433], [104.34552803979321, 15.295156142623854], [104.56285231038557, 15.33498482129523], [104.5647730256638, 15.324930312803893], [104.56488670546415, 15.324951150411179], [104.57338714969161, 15.281869402427983], [104.57624571840091, 15.26690489333531], [104.35897839741286, 15.227046120896865], [104.34748605047608, 15.285101419339894], [104.34751083778123, 15.285105962874706], [104.3461696262636, 15.291838869139433]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022421_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022421_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022421_1054/thumb,20190913_022421_1054,2019-09-13T02:24:21.290988Z,0.0,86,74,0.19,23,8255,32648,True,3.6,0,PS2,PSScene4Band,0,429735,1695426,3,planetscope,2019-09-14T04:34:56Z,finalized,standard,3963,1054,3,0,2671469,102.7,50.6,2019-09-14T04:34:56Z,1.0,60,77
6,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.55163939567461, 15.390497292684971], [104.334473991734, 15.350611649765318], [104.32130813920406, 15.41876605385317], [104.53849808437052, 15.458634176713396], [104.54043338264098, 15.448529386687744], [104.54050668859459, 15.44854285762029], [104.55163939567461, 15.390497292684971]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022423_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022423_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022423_1054/thumb,20190913_022423_1054,2019-09-13T02:24:23.228232Z,0.0,89,80,0.11,16,8237,32648,True,3.6,0,PS2,PSScene4Band,0,427176,1709109,3,planetscope,2019-09-14T04:34:53Z,finalized,standard,3965,1054,4,0,2671469,102.8,50.5,2019-09-14T04:34:53Z,1.0,69,84
7,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.34648227861501, 15.290269348636663], [104.33365450240085, 15.357082191347452], [104.55043086507534, 15.396798531087438], [104.55237622603613, 15.386655483654286], [104.55296112847165, 15.386762913379075], [104.564038581739, 15.328774960036041], [104.34674635098631, 15.28894370051947], [104.34648227861501, 15.290269348636663]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022422_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022422_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022422_1054/thumb,20190913_022422_1054,2019-09-13T02:24:22.259872Z,0.0,86,86,0.14,10,8241,32648,True,3.6,0,PS2,PSScene4Band,0,428481,1702266,3,planetscope,2019-09-14T04:34:49Z,finalized,standard,3959,1054,3,0,2671469,102.7,50.6,2019-09-14T04:34:49Z,1.0,63,90
8,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.53969759152024, 15.452371179392928], [104.32245960782397, 15.412454237314211], [104.31080540412059, 15.470605061828847], [104.311479706329, 15.470729025314629], [104.3094903772988, 15.480645382480187], [104.52628090283032, 15.520422874699863], [104.53785825274244, 15.461974935268291], [104.53969759152024, 15.452371179392928]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022424_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022424_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022424_1054/thumb,20190913_022424_1054,2019-09-13T02:24:24.197117Z,0.0,84,68,0.12,26,8230,32648,True,3.6,0,PS2,PSScene4Band,0,425931,1715946,3,planetscope,2019-09-14T04:34:35Z,finalized,standard,3962,1054,6,0,2671469,102.9,50.5,2019-09-14T04:34:35Z,1.0,73,74
9,assets.analytic_sr:download,105.479,14.5905,"{'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[104.479, 13.5905], [106.479, 13.5905], [106.479, 15.5905], [104.479, 15.5905], [104.479, 13.5905]]]}}]}","[[[104.57906391061496, 14.103109795090917], [104.57823449740799, 14.107478397417085], [104.57856855056448, 14.107540449179968], [104.5765612351638, 14.117619806065493], [104.79246431679178, 14.157633524592732], [104.80572096057924, 14.09071199324048], [104.80595136336645, 14.089510959141903], [104.58961936589705, 14.049386651597779], [104.57906391061496, 14.103109795090917]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022402_1054,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022402_1054/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190913_022402_1054/thumb,20190913_022402_1054,2019-09-13T02:24:02.889004Z,0.0,57,33,0.23,30,8254,32648,True,3.6,0,PS2,PSScene4Band,32,454293,1565172,3,planetscope,2019-09-14T04:34:29Z,finalized,standard,3982,1054,5,0,2671469,101.3,51.0,2019-09-14T04:34:29Z,1.0,57,70
