,permissions,Latitude,Longitude,geojson_geometry,complete_geojson_geometry,geometry,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.45104431099334, 6.214831307055395], [100.22163868927142, 6.259891706636498], [100.23643739366194, 6.334109174480883], [100.46542323633139, 6.289211364212652], [100.46273458085129, 6.275740943364302], [100.46315095611881, 6.275659117598512], [100.45104431099334, 6.214831307055395]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031941_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031941_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031941_102e/thumb,20190106_031941_102e,2019-01-06T03:19:41.435544Z,0.02,98,60,0.09,32,8989,32647,True,3.9,0,PS2,PSScene4Band,4,635142,700302,3,planetscope,2019-01-15T01:30:12Z,finalized,standard,4377,102e,4,0,2023918,134.3,48.0,2019-01-15T01:30:12Z,1.3,84,68
1,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.21427878513997, 6.221899333538715], [100.2233051323718, 6.267355316469491], [100.45254082276085, 6.222350279762264], [100.44994674901805, 6.209316790754628], [100.45039211736558, 6.209229296382482], [100.44341223412258, 6.17302756280345], [100.43842548509527, 6.147952633414325], [100.20871860315859, 6.193134973016027], [100.21427878513997, 6.221899333538715]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031942_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031942_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031942_102e/thumb,20190106_031942_102e,2019-01-06T03:19:42.486217Z,0.0,99,87,0.03,9,8992,32647,True,3.9,0,PS2,PSScene4Band,3,633729,692919,3,planetscope,2019-01-15T01:29:54Z,finalized,standard,4382,102e,1,0,2023918,134.2,48.1,2019-01-15T01:29:54Z,1.3,90,91
2,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.23458566857508, 6.328269324702138], [100.24893991941947, 6.400526629603881], [100.47846015884105, 6.355514757998336], [100.47587911620107, 6.342711746473325], [100.47609334123966, 6.342669609299848], [100.46383321980106, 6.281245229474353], [100.23421812830473, 6.326365364774985], [100.23458566857508, 6.328269324702138]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031940_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031940_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031940_102e/thumb,20190106_031940_102e,2019-01-06T03:19:40.385395Z,0.07,97,53,0.16,40,9005,32647,True,3.9,0,PS2,PSScene4Band,1,636516,707649,3,planetscope,2019-01-15T01:29:54Z,finalized,standard,4377,102e,6,0,2023918,134.3,48.0,2019-01-15T01:29:54Z,1.3,91,60
3,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.27412585347945, 6.530833950480305], [100.2882973532122, 6.601593028952435], [100.51781369003574, 6.556600927799825], [100.51526249633243, 6.543821951686459], [100.51546021322252, 6.543783105909444], [100.50325059961682, 6.48228680997385], [100.27347153483424, 6.527447548370556], [100.27412585347945, 6.530833950480305]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031937_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031937_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031937_102e/thumb,20190106_031937_102e,2019-01-06T03:19:37.233376Z,0.06,96,48,0.18,38,9005,32647,True,3.9,0,PS2,PSScene4Band,1,640803,729891,3,planetscope,2019-01-15T01:29:53Z,finalized,test,4376,102e,13,0,2023918,134.5,47.9,2019-01-15T01:29:53Z,1.3,91,62
4,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.2531640724628, 6.423472439452303], [100.26194406977068, 6.467558063951692], [100.49161438887519, 6.422484215605153], [100.48332776868962, 6.379660064249948], [100.47698952030493, 6.348219798265634], [100.24734609461059, 6.393379552736937], [100.2531640724628, 6.423472439452303]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031939_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031939_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031939_102e/thumb,20190106_031939_102e,2019-01-06T03:19:39.334722Z,0.03,98,63,0.13,30,9005,32647,True,3.9,0,PS2,PSScene4Band,0,637950,715065,3,planetscope,2019-01-15T01:29:52Z,finalized,standard,4379,102e,7,0,2023918,134.4,48.0,2019-01-15T01:29:52Z,1.3,92,70
5,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.21020767889871, 6.200838374015869], [100.43933466452076, 6.155837259501094], [100.42503655079042, 6.081516722031235], [100.19575211329116, 6.126621096081235], [100.20749634990158, 6.187656574012427], [100.20765364150122, 6.187625631566776], [100.21020767889871, 6.200838374015869]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031943_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031943_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031943_102e/thumb,20190106_031943_102e,2019-01-06T03:19:43.53689Z,0.0,99,83,0.02,10,8984,32647,True,3.9,0,PS2,PSScene4Band,7,632310,685560,3,planetscope,2019-01-15T01:29:38Z,finalized,standard,4379,102e,0,0,2023918,134.2,48.1,2019-01-15T01:29:38Z,1.3,85,90
6,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.29116279714538, 6.618158009488838], [100.29862614641223, 6.655584784581995], [100.29888160322274, 6.655534564358765], [100.30139044027483, 6.668618416076977], [100.53096059660429, 6.623626180307848], [100.52912138066446, 6.614129691882308], [100.52836601172942, 6.610420252471282], [100.52840160618392, 6.610413254961811], [100.52336482154675, 6.58440664748669], [100.51636377587475, 6.549338281139298], [100.28658109135046, 6.594468366618778], [100.29116279714538, 6.618158009488838]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031936_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031936_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031936_102e/thumb,20190106_031936_102e,2019-01-06T03:19:36.182703Z,0.15,95,38,0.3,50,9005,32647,True,3.9,0,PS2,PSScene4Band,1,642234,737307,3,planetscope,2019-01-15T01:29:38Z,finalized,test,4375,102e,11,0,2023918,134.6,47.8,2019-01-15T01:29:38Z,1.3,89,50
7,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.4535402601585, 7.434815511827853], [100.45739200863, 7.454175028337971], [100.45767333381737, 7.454121979875498], [100.46035270122455, 7.467977109453954], [100.69327674396735, 7.424312439873434], [100.67839981284153, 7.348887928387081], [100.44545148045593, 7.3935146536973], [100.4535402601585, 7.434815511827853]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031923_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031923_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031923_102e/thumb,20190106_031923_102e,2019-01-06T03:19:23.575673Z,0.01,90,4,0.24,12,9116,32647,False,4.0,0,PS2,PSScene4Band,81,659529,825750,3,planetscope,2019-01-15T01:29:16Z,finalized,test,4362,102e,2,0,2023918,135.3,47.3,2019-01-15T01:29:16Z,1.3,82,88
8,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.19714640074301, 6.13386728873048], [100.42581454472227, 6.088985497859385], [100.41137807586782, 6.014612086433791], [100.18218483529375, 6.059616985642572], [100.19401282997325, 6.121246451833675], [100.19469222320681, 6.121112785920412], [100.19714640074301, 6.13386728873048]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031944_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031944_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031944_102e/thumb,20190106_031944_102e,2019-01-06T03:19:44.587564Z,0.0,98,97,0.0,1,8987,32647,True,3.9,0,PS2,PSScene4Band,2,630825,678153,3,planetscope,2019-01-14T23:28:05Z,finalized,standard,4378,102e,0,0,2023918,134.1,48.2,2019-01-14T23:28:05Z,1.3,85,99
9,assets.analytic_sr:download,100.609,7.00712,"{'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}","{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[99.609, 6.00712], [101.609, 6.00712], [101.609, 8.00712], [99.609, 8.00712], [99.609, 6.00712]]]}}]}","[[[100.39803353686523, 5.947818961203766], [100.16851365009282, 5.992961907592644], [100.18063608054116, 6.054193808033209], [100.18112556581512, 6.054097688898712], [100.18359915475382, 6.066986261306756], [100.41252157335765, 6.022110518719403], [100.40266228325898, 5.970957123221548], [100.39803353686523, 5.947818961203766]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031945_102e,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031945_102e/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20190106_031945_102e/thumb,20190106_031945_102e,2019-01-06T03:19:45.638237Z,0.0,99,97,0.0,3,9002,32647,True,3.9,0,PS2,PSScene4Band,0,629328,670755,3,planetscope,2019-01-14T23:27:50Z,finalized,standard,4375,102e,0,0,2023918,134.0,48.2,2019-01-14T23:27:50Z,1.3,90,97
